id,created_at,text
966623687142068200,Thu Feb 22 10:40:20 +0000 2018,Mom is not in town. Hence when the cat is away, the mice will play and everyday is dining out day. Going all out to… https://t.co/9qsOdK7coe
850933428279099400,Sun Apr 09 04:48:33 +0000 2017,To 2 fantastic years and counting.. @Timesinternet @dineout_india https://t.co/Sn1QDyfnIa
839345782738272300,Wed Mar 08 05:23:23 +0000 2017,Woman's day love. @Timesinternet @WomansDay https://t.co/AfV9GfK5Hg
826647387737247700,Wed Feb 01 04:24:30 +0000 2017,What an inspiration. With the 'Ironman' himself. @milindrunning #pinkathon #running #marathon https://t.co/vp8aOT97Ay
825613628808196100,Sun Jan 29 07:56:42 +0000 2017,Like seriously! You are still paying 100 % in restaurants. Haven't you heard about #GIRF2017. Book on @dineout_india now.
796041418900787200,Tue Nov 08 17:27:18 +0000 2016,RT @dineout_india: INDIA HAS SPOKEN! #Dineout #smartPay https://t.co/wgWRPRM7H0
792075901387157500,Fri Oct 28 18:49:45 +0000 2016,When there are people who make you feel so so amazing. Saital, you be the best. FaceTime scenes be like. ❤️ https://t.co/X842PhzTuo
787853311785316400,Mon Oct 17 03:10:41 +0000 2016,Bhutan calling. When Monday mornings never felt better. #solotraveller #YOLO #Bhutan
777864838882086900,Mon Sep 19 13:40:04 +0000 2016,Got a chance to hear one of the most influential person live - Ramdev Baba. A good Monday morning. https://t.co/Bg9fLdYNQW
777048099495616500,Sat Sep 17 07:34:38 +0000 2016,Can't wait for the Emmys #Emmys2016
774998021243371500,Sun Sep 11 15:48:21 +0000 2016,Woh jo adhuri si baat Baaki hai. To those nights! https://t.co/ElyrdmnaNV
773011764875104300,Tue Sep 06 04:15:41 +0000 2016,Happiness or sorrow - venting it out works the best here. Treadmill, you're my best friend. ✋🏼
771906470421999600,Sat Sep 03 03:03:38 +0000 2016,That's what I keep telling myself anyway. https://t.co/MuAb5NgKDt
769527715464564700,Sat Aug 27 13:31:19 +0000 2016,Over excitement always leads to heart aches. Life is funny in it's own ways.
763300458651713500,Wed Aug 10 09:06:25 +0000 2016,That moment of appreciation! 😀
761912310407557100,Sat Aug 06 13:10:25 +0000 2016,To that friend - Sagar, who serves happiness, always. #FriendWithTheOrangeCap  @dineout_india @Bikerscafes https://t.co/ZPgvu5NDoi
761222222186999800,Thu Aug 04 15:28:15 +0000 2016,Hell ya! https://t.co/2bBswEZOXk
759389784611708900,Sat Jul 30 14:06:48 +0000 2016,Heartfelt and a courageous conversation with @emraanhashmi unfolding the story of his son. Kudos. https://t.co/RxZhgfQxvk
756201868095664100,Thu Jul 21 18:59:09 +0000 2016,Another day. Another year. Another story. Miss being with the closest ones. #birthday #27
756080962736238600,Thu Jul 21 10:58:43 +0000 2016,Cutest personalised gesture ever received from an outlet. Thank you @Bikerscafes for making it so special. ☺️ https://t.co/nOH4c61uk3
755832514325966800,Wed Jul 20 18:31:28 +0000 2016,Ironically genuinely helping people is also not taken in a healthy way. Life is funny. https://t.co/r4SSmRPwsh
755433339671027700,Tue Jul 19 16:05:18 +0000 2016,Comforting stuff, until I'm back to the gym. 😁 https://t.co/ESAtkkpioW
751422220933533700,Fri Jul 08 14:26:32 +0000 2016,What an evening with this charming handsome man @irrfan_k @YfloKolkata https://t.co/IKWaCnHSwD
749804231968849900,Mon Jul 04 03:17:14 +0000 2016,Standing here is the greatest feeling ever. Center court #Wimbledon #tennis #london https://t.co/ACAiPK7jaO
748233310237827100,Wed Jun 29 19:14:57 +0000 2016,Those times when I love this city. #Kolkata #cityofjoy #howrahbridge https://t.co/9pVG1CG9kN
745545083609448400,Wed Jun 22 09:12:54 +0000 2016,RT @dineout_india: Dineout is all set to welcome the bloggers for an exciting meet up tonight at @flykouzina, #Kolkata! #BookPayEarn https:…
727516922204426200,Tue May 03 15:15:25 +0000 2016,Great to hear the 2 people who have redefined the industry @anjumodi &amp; Birju Maharaj @TajBengal @YfloKolkata https://t.co/jg31OugSEL
718767520652468200,Sat Apr 09 11:48:25 +0000 2016,The sweet 1 year. I like how it feels! 🍻  @Timesinternet @dineout_india https://t.co/WVIPoOsYSg
714863131097313300,Tue Mar 29 17:13:46 +0000 2016,RT @dineout_india: Going Out For A Bite? Download Dineout App-SAVE Upto 30% on Bill! https://t.co/ti8BsU98Ms
713608803300671500,Sat Mar 26 06:09:31 +0000 2016,Beach vacays ! #beach #tan #puri #beachlife #sunrise https://t.co/JJ1AntSKAL
710755356696129500,Fri Mar 18 09:10:56 +0000 2016,Happiness is when @imVkohli is right there in front of you! 😍 #BleedBlue #T20WorldCup #TeamIndia https://t.co/OTHIXv8yT9
710338103592898600,Thu Mar 17 05:32:55 +0000 2016,Friends will leave you, but you will never leave you.. #ThoughtOfTheDay #RealityCheck
709892818827776000,Wed Mar 16 00:03:31 +0000 2016,Drizzles on your head and how deep is your love playing along with it. Early morning runs. #run #fitness https://t.co/ietqGatgoj
707236032517771300,Tue Mar 08 16:06:24 +0000 2016,Awarded the best spinner of the session. #stayfit #spinning https://t.co/xEyTRbbtqW
707161356496011300,Tue Mar 08 11:09:40 +0000 2016,Morning surprises! #celebratingdivas #timesinternet https://t.co/KD85Ryj8Gj
707044669239070700,Tue Mar 08 03:26:00 +0000 2016,#fighter #achiever and much more.. That's what we are and will be. #InternationalWomensDay
706855093073621000,Mon Mar 07 14:52:41 +0000 2016,Life is too short to spend time with people who suck the happiness out of you. #livefree
703627659578703900,Sat Feb 27 17:08:01 +0000 2016,Bliss in every bite @Bikerscafes. Thank you @dineout_india for the super quick reservation. https://t.co/2y4PnrueCJ
702164874495791100,Tue Feb 23 16:15:26 +0000 2016,RT @dineout_india: Is your #Valentine's love burning out? Download the #Dineout app to spruce up your #love at https://t.co/NA1dednvZZ http…
701294379864973300,Sun Feb 21 06:36:24 +0000 2016,The first and last of it's kind ever! #goa'16 #40 https://t.co/eutA4sKJ2H
698127673302786000,Fri Feb 12 12:53:02 +0000 2016,You know you have the best brother when you get surprises like these all the way Pakistan. Love you most. https://t.co/bKmMwVcSJQ
697904101573591000,Thu Feb 11 22:04:38 +0000 2016,RT @dineout_india: Book a table for you and your #valentine at @Yauatcha_India, #Kolkata: https://t.co/k5qxxIY477 #PromiseDay #Love https:/…
697493195010125800,Wed Feb 10 18:51:51 +0000 2016,Blast from the past ! Evenings like these... Umm... 🙄
686825019528233000,Tue Jan 12 08:20:19 +0000 2016,RT @tanushree_10: Hi @dineout_india  I just used your service in #kolkata and super impressed. Good going. All the best @timesofindia
685522497236697100,Fri Jan 08 18:04:34 +0000 2016,The world afterall is just a selfish place.
682631846069272600,Thu Dec 31 18:38:09 +0000 2015,"Stay close to anything that makes you glad you're alive" Happy New year! To 2016. 🍻
680615767566454800,Sat Dec 26 05:06:58 +0000 2015,Living life in full throttles. Saturday morning laughter and super yum food @Thebikerscafe #marathon #gym https://t.co/VEfCqNpCXh
680058260364197900,Thu Dec 24 16:11:38 +0000 2015,At Times Food Awards 2016. @dineout_india @WhatsHot_IN #Timesfoodguide @ITCSonar https://t.co/I9EYFk3vQs
