id,created_at,text
1260241519363014700,Tue May 12 16:12:47 +0000 2020,RT @serathegamble: COMING ATCHA THIS WEEK: #writerqanda @itslizhannah https://t.co/JeSTEfzINg
1260037919382749200,Tue May 12 02:43:45 +0000 2020,@ellelipson "fictional"
1259884982996107300,Mon May 11 16:36:02 +0000 2020,COMING ATCHA THIS WEEK: #writerqanda @itslizhannah https://t.co/JeSTEfzINg
1259614124985602000,Sun May 10 22:39:44 +0000 2020,@elight the writers did!
1259564914932236300,Sun May 10 19:24:11 +0000 2020,@curlybean1 ❤️
1259529784926695400,Sun May 10 17:04:36 +0000 2020,This is so good. https://t.co/NrONVx0ClT
1259529604236107800,Sun May 10 17:03:53 +0000 2020,I dropped #MothersDay treats off for my mom, my mom in law, my goddaughter’s mom. I drove away after seeing them, m… https://t.co/lLniR58CUb
1259229990245159000,Sat May 09 21:13:19 +0000 2020,This is my preferred way to watch the press briefings, thanks. https://t.co/Afd78hmomo
1258962118730117000,Sat May 09 03:28:54 +0000 2020,For your weekend. https://t.co/xHJuUM1lNL
1258415336753295400,Thu May 07 15:16:11 +0000 2020,Today on Instagram, @feliciaday and I get into life changes brought on by the pandemic. And she talks about why you… https://t.co/eDdYsRtyJu
1258188728515739600,Thu May 07 00:15:43 +0000 2020,RT @rthompson1138: Two great writers, tons of great advice on writing and creativity and so much more, all in one interview! https://t.co/B…
1258188715307880400,Thu May 07 00:15:40 +0000 2020,@rthompson1138 https://t.co/sZo40nsgEc
1258110756836368400,Wed May 06 19:05:53 +0000 2020,RT @dez_schwartz: This is such a great interview! Sera and Felicia touch on some valuable topics in a truly relatable way. If you're a writ…
1258101535931678700,Wed May 06 18:29:15 +0000 2020,RT @CharlieChu: this conversation btwn @feliciaday @serathegamble is fantastic for anyone who is trying to write / create in our weird year…
1258095296166293500,Wed May 06 18:04:27 +0000 2020,@feliciaday Good talk 🤜🤛
1258095244614103000,Wed May 06 18:04:15 +0000 2020,RT @feliciaday: This is a good convo if you’re interested! @serathegamble is an epic writer/interviewer/badass!
1258081381965430800,Wed May 06 17:09:10 +0000 2020,"TREASURE VOMIT!" WRITER Q&amp;A with FELICIA DAY: The Full Conversation https://t.co/1hJzPign9y via @YouTube… https://t.co/MCYqb4gtQd
1258064694591410200,Wed May 06 16:02:51 +0000 2020,Head over to my Instagram to watch @feliciaday BREAK IT DOWN for us. #writerQandA https://t.co/aHWPkAkbfs
1257506167967740000,Tue May 05 03:03:28 +0000 2020,It makes me sad that #TheMagicians writers room is over so we can’t watch this scene together (whilst eating a thou… https://t.co/tQAPoQ1w1E
1257425347311739000,Mon May 04 21:42:19 +0000 2020,And, watch this space for the full-length conversation, also coming soon:  https://t.co/OFAFH8knKW
1257362232125657000,Mon May 04 17:31:31 +0000 2020,@feliciaday You made it so easy!!
1257340387577991200,Mon May 04 16:04:43 +0000 2020,COMING SOON TO AN INSTAGRAM NEAR YOU ✨💡✨ @feliciaday #writerqanda #pandemicedition #themagicians #supernatural… https://t.co/NOVrzPSGI3
1257316839236833300,Mon May 04 14:31:08 +0000 2020,RT @LynnSternberger: @serathegamble did you script this? https://t.co/1lilxZ5Gnw
1257104452839895000,Mon May 04 00:27:12 +0000 2020,@YetideBadaki https://t.co/7dCzXTng5p
1256347051857637400,Fri May 01 22:17:33 +0000 2020,@ellelipson on the individual level, societally or both?
1256304141640429600,Fri May 01 19:27:03 +0000 2020,@VictoriaMahoney @MishaGreen @JordanPeele @jjabrams @HBO So excited for this 😳!!
1256289921385390000,Fri May 01 18:30:32 +0000 2020,I’m @ seragamble on Instagram and I’m very excited about the interview clips I’m gonna start dropping there on Mond… https://t.co/RfmUHFBFHE
1256015733605036000,Fri May 01 00:21:01 +0000 2020,RT @VictoriaMahoney: I meditate every morning for 28 years now. I walk daily. Read. I have chessy mantra I use, like a boxer entering the r…
1255655191208026000,Thu Apr 30 00:28:21 +0000 2020,@everythingloria @mindykaling @neverhaveiever I can’t wait to binge the fuck outta that one!
1255598878604189700,Wed Apr 29 20:44:35 +0000 2020,A bright light. @GBerlanti https://t.co/Pp2baGQqRZ
1255518644462903300,Wed Apr 29 15:25:45 +0000 2020,@NotAMarisa Full interviews will be posted to YouTube. :)
1255265566732030000,Tue Apr 28 22:40:07 +0000 2020,RT @jk_rowling: Start writing! You'll probably hit a point where you need to stop and do a bit more world-building, but if you're itching t…
1254973633904042000,Tue Apr 28 03:20:05 +0000 2020,@bergopolis https://t.co/nF10axEIL6
1254970048420049000,Tue Apr 28 03:05:50 +0000 2020,Okay, that's it. Have a good night! https://t.co/a2pUwNaMJY
1254969630491177000,Tue Apr 28 03:04:10 +0000 2020,Hearing this repeatedly from so many writers I admire over the last few weeks has reminded me of how great it feels… https://t.co/sJCHuNb8RB
1254969135030694000,Tue Apr 28 03:02:12 +0000 2020,The only writers who don't get stuck are writers who choose to repeat themselves.
1254969074150289400,Tue Apr 28 03:01:58 +0000 2020,So if you are a writer who is home right now, writing seriously, and you keep getting stuck, I hope it helps a litt… https://t.co/xBBScSjZOJ
1254968660319326200,Tue Apr 28 03:00:19 +0000 2020,When I first started writing seriously, I'd get stuck, as one does, and I'd completely freak out. I thought it mean… https://t.co/xEd1Fkl0m7
1254968287567310800,Tue Apr 28 02:58:50 +0000 2020,That's not to say it's ALWAYS hard, or that it isn't also sometimes SUPER FUN. But it is to say: as far as I can te… https://t.co/oAvd1TY2Pd
1254968008750936000,Tue Apr 28 02:57:44 +0000 2020,I'll start sharing interviews soon-- I plan to put clips up on my instagram. But since I've now talked to several v… https://t.co/iMCVC73fUb
1254967570072875000,Tue Apr 28 02:55:59 +0000 2020,Since I've been home for a few weeks, I decided to reach out to a bunch of writers I know and ask how their work is… https://t.co/QGtk1cO3dL
1254907629576441900,Mon Apr 27 22:57:48 +0000 2020,This is so cool. https://t.co/eClx7rzHXH
1254539700640997400,Sun Apr 26 22:35:47 +0000 2020,This question is covered in the latest @physicalkidspod. :) https://t.co/0Ornr3JiQR
1254531740661452800,Sun Apr 26 22:04:09 +0000 2020,@laurenfairwx @hedgewitchs thanks! The ladies do a fabulous job with the show.
1254504797102694400,Sun Apr 26 20:17:05 +0000 2020,In which we talk about everything. #TheMagicians https://t.co/8pxV6rMrXI
1254223241847042000,Sun Apr 26 01:38:17 +0000 2020,RT @glamourmag: If you need to remember Penn Badgley won’t murder you 👇 https://t.co/Fk8EDi3Y0I
1254182199290499000,Sat Apr 25 22:55:12 +0000 2020,@MysticxLipstick ✨✨✨
1254165027864510500,Sat Apr 25 21:46:58 +0000 2020,@ellelipson @go4mike @morethanbunnies now I miss our writers' room https://t.co/EEF4UAyEQA
1254164894372384800,Sat Apr 25 21:46:26 +0000 2020,@BrittanyCurran @ellelipson It's pretty perfect.
1254164188508721200,Sat Apr 25 21:43:38 +0000 2020,@ellelipson same. needed it
1254163110509740000,Sat Apr 25 21:39:21 +0000 2020,CC: @ellelipson for your immediate and complete attention https://t.co/ItDltDvpYs
1254162674318889000,Sat Apr 25 21:37:37 +0000 2020,@MysticxLipstick Damn. How'd you discover that?!
1254161934930210800,Sat Apr 25 21:34:41 +0000 2020,Some of my favorite moments have been spent sitting in corners of this bookstore with photography books I'd never e… https://t.co/j6mnUCFbrD
1254153466680758300,Sat Apr 25 21:01:02 +0000 2020,RT @BumbleWard: Writers, if you are looking for tips and inspiration from an established showrunner working  in the industry, look no furth…
1254150672359936000,Sat Apr 25 20:49:55 +0000 2020,RT @JackiePenn18: If you haven’t checked out @serathegamble ‘s Writer Q&amp;A videos, you’re missing out.
1254087015840137200,Sat Apr 25 16:36:59 +0000 2020,New Writer Q&amp;A up on my Instagram. Go there if you are struggling with infusing drive into your script, want to kno… https://t.co/XgmeZ7v7Ts
1253755421346549800,Fri Apr 24 18:39:20 +0000 2020,AAAH! Very very excited for @surlysgirl's new opus and would like to eat it all now today thanks https://t.co/JdmOzkk3MN
1253696347351310300,Fri Apr 24 14:44:36 +0000 2020,@BumbleWard Sending love.
1253136078707425300,Thu Apr 23 01:38:17 +0000 2020,@liztigelaar @LittleFiresHulu @atticalocke @amytalkington @shannonmhouston @dramaraamla @OutCrushed @katherinekearns 🏆🏆🏆
1253134864536068000,Thu Apr 23 01:33:28 +0000 2020,@TreyCallaway I’m so into this. As are my sexy-ass bagels. That hyphen is massively important, PS
