id,created_at,text
1259129925291966500,Sat May 09 14:35:42 +0000 2020,RT @thehill: "You’re soothing terrified patients, consoling heartbroken loved ones, summoning every ounce of the compassion and strength th…
1258921298903945200,Sat May 09 00:46:41 +0000 2020,RT @JoshuaPotash: This is how a Chinese school is making sure their students don’t spread COVID.  What are U.S. states that are re-opening…
1258920809072070700,Sat May 09 00:44:45 +0000 2020,RT @StarBridgeHIT: Here at StarBridge we would like to honor all the nurses and say THANK YOU for all that you do. You are the true heroes!…
1258578062117044200,Fri May 08 02:02:47 +0000 2020,RT @davidmuntz: Advancing your Healthcare IT Career – Leading in the Time of COVID-19…and Beyond https://t.co/RpTvA88tpM Great read from Ca…
1258578039950229500,Fri May 08 02:02:42 +0000 2020,RT @StarBridgeHIT: This month one of our very own Advisors @CathyIocona  published a blog entitled "Advancing your Healthcare IT Career – L…
1258577985533337600,Fri May 08 02:02:29 +0000 2020,Well said! https://t.co/KvKmaqKxRL
1258172751292051500,Wed May 06 23:12:14 +0000 2020,My favorite nurse of all is daughter Katie Killinger @schadykat an Ortho NP in Boston currently working ICU shifts… https://t.co/zZTGreEk7f
1258081773675839500,Wed May 06 17:10:43 +0000 2020,Agree! Speed to solution will be expected. https://t.co/H3w7f5HSI2
1257708677194285000,Tue May 05 16:28:10 +0000 2020,Awesome!! https://t.co/bnQgcFvl5S
1257708129166463000,Tue May 05 16:25:59 +0000 2020,RT @davidmuntz: IT requests increase while budgets decrease https://t.co/FKNDTe5geR via @sgschade Important read to help prepare for the ne…
1257696863794462700,Tue May 05 15:41:13 +0000 2020,Health systems are relying on technology more than ever yet budgets are tightening for all. Some thoughts on how to… https://t.co/UtWXXeigGI
1257009259172241400,Sun May 03 18:08:56 +0000 2020,RT @califf001: This well done but ominous tweetorial by Slavitt raises many thoughts, none of which are novel: https://t.co/VkBvIv1KzR
1256969615772704800,Sun May 03 15:31:24 +0000 2020,RT @amyklobuchar: Out of national tragedies, like the Great Depression, the Cold War, and the Great Recession, our country came back strong…
1256969186854801400,Sun May 03 15:29:42 +0000 2020,RT @PeteButtigieg: This is a moment to reach out to the "future former Republicans" in our own lives, who are as horrified by the president…
1256969132194640000,Sun May 03 15:29:29 +0000 2020,RT @ewarren: Government delivers best when its actions are fair, transparent, and accountable. Donald Trump’s approach to COVID-19 has been…
1256033102733992000,Fri May 01 01:30:02 +0000 2020,So true! https://t.co/PRxVPE59Fm
