id,created_at,text
1259921306192998400,Mon May 11 19:00:22 +0000 2020,RT @ManMundra: Twitter world can u pls help me reach out to the medical bed suppliers. Mumbai is looking for 30 ICU beds for makeshift ICU…
1259912194566664200,Mon May 11 18:24:09 +0000 2020,RT @OfficialJLD: The truth is that this happened all the time with Jerry Stiller.  He was so funny and such a dear human being. We loved hi…
1259910717320228900,Mon May 11 18:18:17 +0000 2020,RT @brajeshlive: आंकड़ों से जो तस्वीर उभर रही है उसे अच्छे से समझ लीजिये। 17 मई यानि जिस दिन लॉक डाउन की अवधि समाप्त होगी तब भारत में कोरो…
1259864602751283200,Mon May 11 15:15:03 +0000 2020,RT @salimdotcomrade: The renowned virologist and former Professor of Virology, Christian Medical College (CMC), Vellore, Dr T Jacob John ur…
1259861139300790300,Mon May 11 15:01:17 +0000 2020,Heres one more. Is the health pf our planet being kicked around for various reasons we may not know? https://t.co/l6xBZYmWbh
1259858620382150700,Mon May 11 14:51:16 +0000 2020,RT @MumbaiMirror: Ahead of #InternationalNursesDay, we bring you the story of @iSHIKHAMALHOTRA, an actor who went back to her uniform in th…
1259840143931949000,Mon May 11 13:37:51 +0000 2020,RT @RahulBhatActor: My views , if you agree Retweet https://t.co/U9bRiSyyQQ
1259819104023658500,Mon May 11 12:14:15 +0000 2020,RT @PrimeVideoIN: in 4-5 days, ya'll will start asking for #PaatalLok season 2. this tweet is from the future
1259813952499802000,Mon May 11 11:53:47 +0000 2020,RT @whyquit_com: https://t.co/wX0Trv3lnY
1259813036321202200,Mon May 11 11:50:08 +0000 2020,@satishkolls Cool. Thnx.
1259812967190687700,Mon May 11 11:49:52 +0000 2020,Thnx so much. With your help I quit  about 15 years ago. Have been sharing your website on various platforms. https://t.co/SFTFCpkcBJ
1259804731381215200,Mon May 11 11:17:08 +0000 2020,@nairsameer He was so brilliant in #Seinfeld. 🙏
1259804562438754300,Mon May 11 11:16:28 +0000 2020,Bravo!!! @SonuSood thats so wonderful.
1259803514718400500,Mon May 11 11:12:18 +0000 2020,@satishkolls Where is it? My fav was when #Seinfeld wrapped with the look alikes of them in an episode.
1259803127869345800,Mon May 11 11:10:46 +0000 2020,https://t.co/3NsM5tlfbx
1259785008262156300,Mon May 11 09:58:46 +0000 2020,@sanket Really admire your work Sanket. It seems as if the world is in reverse motion.
1259781217391505400,Mon May 11 09:43:42 +0000 2020,@sanket London Taxis 😊
1259780819008159700,Mon May 11 09:42:07 +0000 2020,May his soul Rest in Peace. I actually have been tevisiting #Seinfeld Aseem. He was superb in it. https://t.co/8HPkleCvmI
1259767133312938000,Mon May 11 08:47:44 +0000 2020,@ShekharGupta @Nidhi Could it be because of the situation at the hospitals?
1259766986399088600,Mon May 11 08:47:09 +0000 2020,RT @ShekharGupta: First ICMR says 2 -ve tests before a Covid patient can go home. Then it said 1 enough. Now, says not even 1 needed if pat…
1259751269737959400,Mon May 11 07:44:42 +0000 2020,RT @prosit_roy: #HardikMehta #GunjitChopra #SagarHaveli #JagjeetSandhu #IshwakSingh #AasifKhan #NiharikaLyraDutt @bose_anindita10 @sharmama…
1259751244169543700,Mon May 11 07:44:36 +0000 2020,RT @prosit_roy: Kya duty aur society ke beech mein sach dhoond payega Hathi Ram? #PaatalLok   New Series, May 15  @PrimeVideoIN @OfficialCS…
1259691571881980000,Mon May 11 03:47:29 +0000 2020,@Ishikamohan @ThePuccaCritic @Namrata_Joshi @MumbaiFilmFest You are very welcome Ishika. 🤗
1259564663408218000,Sun May 10 19:23:11 +0000 2020,Mira I am a huge fan of “ Nine Lives: In Search of the Sacred in Modern India. I wish someone produces a film on it… https://t.co/y4OJQHIewl
1259507007964381200,Sun May 10 15:34:05 +0000 2020,The way we have treated Them they wont be back easily. And if they I hope this time they make sure that this doesn’… https://t.co/6j7Wk4yFVB
1259493793566318600,Sun May 10 14:41:35 +0000 2020,@VishalBhardwaj 🤗🤗🤗 https://t.co/lkP7oHykwI
1259458860055576600,Sun May 10 12:22:46 +0000 2020,@Namrata_Joshi @ThePuccaCritic @MumbaiFilmFest @Ishikamohan I was blown away by her performance. Sheer magic. Very rarely seen.
1259458521008988200,Sun May 10 12:21:25 +0000 2020,@Namrata_Joshi @ThePuccaCritic @MumbaiFilmFest @Ishikamohan I have been saying that for a long time. @Ishikamohan p… https://t.co/uc7c7xgtdk
1259458123082825700,Sun May 10 12:19:50 +0000 2020,RT @cjwerleman: India: Police in Ahmedabad, Gujarat raided Muslim owned homes during Iftar last night. They attacked pregnant women, childr…
1259457698518626300,Sun May 10 12:18:09 +0000 2020,RT @nanditadas: https://t.co/iaskq8yBgm via @CNNStyle
1259408127146913800,Sun May 10 09:01:10 +0000 2020,https://t.co/iVGJsJhsDH
1259397993779785700,Sun May 10 08:20:54 +0000 2020,RT @AnushkaSharma: #PaatalLok mein jo jitna seedha dikhta hai uska sach utna he ulta hota hai.  New Series, May 15  @PrimeVideoIN @Official…
1259388970120560600,Sun May 10 07:45:03 +0000 2020,RT @_YogendraYadav: "It is ironical that an article written to criticize the Pulitzer prize and point out its origins in sensationalist yel…
1259213089158819800,Sat May 09 20:06:10 +0000 2020,@shufta20 @LambaAlka Tute dilon ka ek bahut bada dil ban raha hai is duniya main jiske age sb ek din har jayenge.
1259194004391878700,Sat May 09 18:50:19 +0000 2020,Where is all the help we all keep talking about. https://t.co/41PEa05DAh
1259186021289193500,Sat May 09 18:18:36 +0000 2020,RT @RahulBhatActor: #caronatimes 🤣   https://t.co/Xel5Kr5tYo
1259156957870477300,Sat May 09 16:23:07 +0000 2020,RT @indiaforums: Anushka Sharma's Production, Paatal Lok has been Shot in Real Locations   @AnushkaSharma #PaatalLok @PrimeVideoIN https://…
1259156528516329500,Sat May 09 16:21:25 +0000 2020,@RahulBhatActor Thats a good measure to know the politics in India.
1259094076332232700,Sat May 09 12:13:15 +0000 2020,Hope this brings in the desired goals. https://t.co/Cs0EIHND0O
1259083524969074700,Sat May 09 11:31:19 +0000 2020,RT @PritishNandy: @sharmamatvipin @IAmSudhirMishra @ndtv Indeed it is worrisome. Why can’t private doctors prescribe tests?
1259068802135847000,Sat May 09 10:32:49 +0000 2020,RT @AltNews: A rumour viral on social media platforms claims that Mumbai and Pune will be under military lockdown with no access to essenti…
1259068586946998300,Sat May 09 10:31:58 +0000 2020,@neeleshmisra I remember my dad had made one for me. A small one as i was only around 10 years old.
1259033520460099600,Sat May 09 08:12:37 +0000 2020,Any thoughts please. Saw it on @ndtv too last night too. No one is talking about it. Isnt it worrisome Mumbai?
1259026635979780000,Sat May 09 07:45:16 +0000 2020,Testing on a private doctor’s prescription is currently not permitted,” said a message from one of the private labs… https://t.co/vq3Nk6a98J
1259025791301517300,Sat May 09 07:41:54 +0000 2020,@sanjaybhutiani Achi baat ye hai ki aap ho bhi jaate ho😊🤗😀
1259020865791905800,Sat May 09 07:22:20 +0000 2020,@sanjaybhutiani You are very very welcome Sanjay 🤗🤗🤗
1258830608303747000,Fri May 08 18:46:19 +0000 2020,@sanjaybhutiani Haan😀
1258828315629981700,Fri May 08 18:37:13 +0000 2020,@MuktiBhawan Thanks so much. The feeling is quite mutual. 🤗
1258778282842972200,Fri May 08 15:18:24 +0000 2020,What a beautiful news @MuktiBhawan congratulations to all of you. https://t.co/9XmNRHLzyv
1258760808911138800,Fri May 08 14:08:58 +0000 2020,RT @indiaforums: 110 Different Location were Used to Shoot #PaatalLok; Reveals Sudip Sharma  @PrimeVideoIN https://t.co/bMrlJBh5S5
1258753020352852000,Fri May 08 13:38:01 +0000 2020,#NasiruddinShah puts across @irrfank Legacy so beautiful. A must read. https://t.co/MUaHEDbKkQ
1258738874366357500,Fri May 08 12:41:48 +0000 2020,RT @_YogendraYadav: नोट भी था हाथ में। कितना कस कर पकड़ा होगा, रोटी से भी ज्यादा! #हमारी_मौत फोटो साभार: इमरान, औरंगाबाद https://t.co/5onfS…
1258732127799005200,Fri May 08 12:15:00 +0000 2020,RT @chhabs: Today I posted this pic of #IrrfanKhan on Insta. It’s from his last American film - a charming indie called Puzzle. The film pl…
1258709302971261000,Fri May 08 10:44:18 +0000 2020,Tomrw on @TataSky its also on @ZEE5India  #MaheshDattani’s play set during the communal riots of partition. Makes y… https://t.co/f1VXU88B65
1258701640732827600,Fri May 08 10:13:51 +0000 2020,Which might be the case. https://t.co/6lxIj2ASAb
1258701537695522800,Fri May 08 10:13:26 +0000 2020,RT @sujitnair90: Liquor Shops opened in Delhi by AAP, opposed by BJP.  In UP, opened by BJP, opposed by Congress.  In Punjab, opened by Con…
1258701429159522300,Fri May 08 10:13:00 +0000 2020,RT @htshowbiz: ‘It was #IrrfanKhan’s strength that kept #Sutapa and his sons going’: @sharmamatvipin remembers the man behind the actor (by…
1258701064343150600,Fri May 08 10:11:33 +0000 2020,RT @TheLallantop: दिल्ली में तबलीगी जमात के 3000 से अधिक लोग अभी भी क्वारंटीन में हैं. वो क्वारंटीन में 28 दिन से ज्यादा बिता चुके हैं. टे…
1258678466704105500,Fri May 08 08:41:46 +0000 2020,This is the real tragedy the real loss when people are this insensitive and heartless. Pathetic souls. https://t.co/cd8mvuKKll
1258659576561283000,Fri May 08 07:26:42 +0000 2020,I lost one of my dearest and most inspiring friends. I wish I could share every moment I spent with him… https://t.co/y1HTUeIdNG
1258504553147723800,Thu May 07 21:10:42 +0000 2020,@SatyaSaraswat Great. Thnx.
1258457803280113700,Thu May 07 18:04:55 +0000 2020,https://t.co/9nY6NWWssa
1258455105235415000,Thu May 07 17:54:12 +0000 2020,@chhabs @prashy74 @netflix One of the best Opening credits.
1258454887949467600,Thu May 07 17:53:20 +0000 2020,@salonayyy @anubhavsinha You are absolutely brilliant Saloni.
1258429925968629800,Thu May 07 16:14:09 +0000 2020,RT @AltNewsHindi: वायरल वीडियो का दावा है कि प्रवासी मजदूर ट्रेन में मिलने वाले खाने की बर्बादी कर रहे हैं. स्वराज्य के कॉलमनिस्ट ने लिखा…
1258382738190504000,Thu May 07 13:06:39 +0000 2020,RT @MumbaiPolice: We know there is a lot of free time. But it can definitely be utilised to do things better than spreading #rumours ! Neit…
1258360019906486300,Thu May 07 11:36:22 +0000 2020,@gaurav_vats3 @taapsee @PrimeVideoIN I was just thinking about it. True that Gaurav. Thnx.
1258351221305249800,Thu May 07 11:01:24 +0000 2020,All @taapsee fans do watch #Thappad on @PrimeVideoIN if you missed it in theatres.
1258310428746121200,Thu May 07 08:19:19 +0000 2020,RT @livemint: #CoronavirusOutbreak | The vaccine is reportedly one of the first to successfully neutralize SARS-CoV-2 in animal models  (@S…
1258306521152188400,Thu May 07 08:03:47 +0000 2020,RT @AltNewsHindi: राजस्थान में 100 के करीब नर्सों ने PPE किट नहीं मिलने पर इस्तीफ़ा दिया था. इस ख़बर के बाद सोशल मीडिया में साम्प्रदायिक ऐं…
1258305468872577000,Thu May 07 07:59:36 +0000 2020,Delhi Police: Delhi Police, immediately stop the persecution of activists and protesters - Sign the Petition!… https://t.co/iDrAh91SQy
1258108371414048800,Wed May 06 18:56:24 +0000 2020,Will things get worse in Mumbai/Maharashtra?
1258107883767529500,Wed May 06 18:54:28 +0000 2020,RT @MumbaiMirror: WATCH: She is a lactating mother and also a doctor on #COVID19 duty.  @CMOMaharashtra @OfficeofUT @rajeshtope11 https://t…
1258107002250641400,Wed May 06 18:50:58 +0000 2020,@MunishBhardwaj Yes wonderful city. I did two film there last year and shot for a web series.
1258090683115556900,Wed May 06 17:46:07 +0000 2020,RT @REMAXca: RE/MAX doesn’t share or support Mr. Hooda’s views and we can confirm he’s been terminated from RE/MAX. His website is in the p…
1258090357683675100,Wed May 06 17:44:50 +0000 2020,RT @nytimes: The New York City subway had its first planned overnight shutdown in the system’s 115-year history. A team of our reporters an…
1258039006018728000,Wed May 06 14:20:46 +0000 2020,@rmanish1 @cowvala Where?
1257904711513989000,Wed May 06 05:27:08 +0000 2020,RT @thevirdas: A statement of thanks to the High Court. For this judgement. For my art-form. https://t.co/jXy6TVYpmW
1257903917393801200,Wed May 06 05:23:59 +0000 2020,RT @Javedakhtarjadu: @BDUTT @themojo_in Dear Barkha Dutt You are the symbol of this nation’ s sensitivity . You are the personification of…
1257898837152198700,Wed May 06 05:03:48 +0000 2020,Bravo! @REMAXca https://t.co/HylAdYhUQf
1257898663348600800,Wed May 06 05:03:06 +0000 2020,Bravo! Canada. So proud of you. https://t.co/IP8mQHU2Kg
1257762556640243700,Tue May 05 20:02:16 +0000 2020,RT @CinemaRareIN: Original Series #PaatalLok by #SudipSharma @prosit_roy and #AvinashArun, feat. @Jaiahlawat @NeerajKabi1 @GulPanag @swasti…
1257718664817762300,Tue May 05 17:07:51 +0000 2020,RT @fayedsouza: For those horrified by #boyslockeroom, look at the language used to troll women on twitter everyday.  When you look the oth…
1257709862751883300,Tue May 05 16:32:53 +0000 2020,Great decision. Too risky at tjis time when the cases are going up. https://t.co/peBI49A4Wk
1257697043880935400,Tue May 05 15:41:56 +0000 2020,@farhad_samji You are very very welcome Farhad bhai. 🤗
1257695655608283100,Tue May 05 15:36:25 +0000 2020,RT @arunava: Bookshops are opening after being closed for 40 days. Please support your local bookshop. Most are taking orders online or on…
1257695572728836000,Tue May 05 15:36:06 +0000 2020,@farhad_samji Happy Birthday Farhad bhai. 🤗
1257692372969775000,Tue May 05 15:23:23 +0000 2020,RT @vinodkapri: 1232 KILOMETRES   Just completed toughest &amp; most unforgettable journey of my life which began in  Ghaziabad to Saharsa,Biha…
1257679684310954000,Tue May 05 14:32:57 +0000 2020,@gaurav_vats3 @irrfank @NetflixIndia I think @PrimeVideoIN @PrimeVideo is more apt for such films.
1257673065426636800,Tue May 05 14:06:39 +0000 2020,@DwivediKishor @irrfank Yes I know. Both share an amazing bond.
1257672694469812200,Tue May 05 14:05:11 +0000 2020,Does anyone has an update on this? https://t.co/XsOkORJNmH
1257670870564106200,Tue May 05 13:57:56 +0000 2020,A must for all @irrfank fans. My favourite film of his. https://t.co/TCbYUiouUG
1257670504510439400,Tue May 05 13:56:29 +0000 2020,@OfficialCSFilms #PataalLok https://t.co/3eTIICuwg9
1257670135680127000,Tue May 05 13:55:01 +0000 2020,Those of you who havent seen it please see #ThappadOnPrime It is one of the most thought provoking films by @anubhavsinha
1257657364074786800,Tue May 05 13:04:16 +0000 2020,This is incredible Vinod.
1257635479832326100,Tue May 05 11:37:18 +0000 2020,RT @pbhushan1: No Aarogya Setu app?Pay Rs 1000 fine or face 6 months jail in Noida! This is an order of the police in Noida. This is totall…
1257635412828319700,Tue May 05 11:37:02 +0000 2020,@fayedsouza Everything.
1257633882477740000,Tue May 05 11:30:57 +0000 2020,Nilesh I may have tweeted twice. I cdnt see my earlier tweet so did it again.
1257633542256783400,Tue May 05 11:29:36 +0000 2020,RT @AltNews: A video from Pakistan that could be traced back to at least 2015 is massively viral on social media with the false claim that…
1257633480252354600,Tue May 05 11:29:22 +0000 2020,RT @AltNewsHindi: मुंबई में पुलिस के साथ कुछ लोगों की झड़प हुई. न्यूज़ 18 के अमीश देवगन ने इसे मस्जिद में पुलिस के साथ बदसलूकी का मामला बता…
1257604630311137300,Tue May 05 09:34:43 +0000 2020,@neeleshmisra i always wished someone in India doing a show like #InsideTheActorsStudio by  #JamesLipton. Asking qu… https://t.co/LbEh2skbc7
1257567749653454800,Tue May 05 07:08:10 +0000 2020,RT @DanHusain: #LaurieGarrett She Predicted the Coronavirus. What Does She Foresee Next? https://t.co/JlMvDe7CSq
1257567638642811000,Tue May 05 07:07:44 +0000 2020,@prosit_roy You are very welcome. The trailer looks rock solid. Congratulations👏👏👏
1257559283685679000,Tue May 05 06:34:32 +0000 2020,RT @MumbaiMirror: Containers with perishable and essential commodities sit in ports with no way to move them.  #COVID #COVID19 #Coronavirus…
1257559028181291000,Tue May 05 06:33:31 +0000 2020,@satysingh @JerrySeinfeld the show #Seinfeld
1257558558935101400,Tue May 05 06:31:39 +0000 2020,@prosit_roy wishing you a very very Happy Birthday Prosit.
1257548465824919600,Tue May 05 05:51:33 +0000 2020,RT @PJkanojia: कोरोना से मरने वाले और संक्रमित लोगों के रेश्यो के मामले में गुजरात सबसे आगे है। सबसे कम टेस्ट भी वहीं हो रहा है। डोनाल्ड…
1257546895980822500,Tue May 05 05:45:18 +0000 2020,RT @RahulGandhi: A conversation with Nobel Laureate, Abhijit Banerjee on the economic impact of the COVID19 crisis. https://t.co/dUrok8Wm3Q
1257546777160331300,Tue May 05 05:44:50 +0000 2020,@neeleshmisra I often wished someone in India does interviews full of insights and peek into creative minds like… https://t.co/UlzzrxndS3
1257539927350235100,Tue May 05 05:17:37 +0000 2020,RT @sardesairajdeep: First with Raghuram Rajan, now with Abhijit Banerjee.. as @RahulGandhi turns interviewer, maybe we need to look for an…
1257539712719286300,Tue May 05 05:16:46 +0000 2020,I dont see people entering a cinema hall like before for a long long while. It is a wishful thinking.
1257539021724455000,Tue May 05 05:14:01 +0000 2020,RT @ANI: #WATCH Delhi: A man showers flower petals on people standing in queue outside liquor shops in Chander Nagar area of Delhi. The man…
1257402875698991000,Mon May 04 20:13:01 +0000 2020,@RanvirShorey No theres one thing it cant do. Stop the hatred and stop it from turning  it into communal.
1257402155662741500,Mon May 04 20:10:09 +0000 2020,Here is #PataalLok trailor @OfficialCSFilms  https://t.co/5xCG9MgXQl
1257400092228796400,Mon May 04 20:01:58 +0000 2020,RT @AUThackeray: Test Test Test. Isolate. Don’t be afraid of numbers till they touch zero new cases. Do everything we must, to keep it ther…
1257376076008956000,Mon May 04 18:26:32 +0000 2020,The decision to allow wine shops will ruin everything whatever we may have achieved so far by staying home. A rando… https://t.co/7UUylDGrIW
1257375419390623700,Mon May 04 18:23:55 +0000 2020,RT @bose_anindita10: #PaatalLok ke dwaar khul chuke hain, kya aap paatal lok mein pravesh karne ke liye tayyar ho? &lt;https://t.co/Pg3eKVKGh2…
1257357343546843100,Mon May 04 17:12:05 +0000 2020,Yes it seems absolutely true the way relaxations have been goven without much controls and a plan. https://t.co/iot6g4j1HL
1257267775543734300,Mon May 04 11:16:11 +0000 2020,RT @TheLallantop: महाराष्ट्र के भिवंडी से भी एक ट्रेन चली. गोरखपुर के लिए. इस ट्रेन से घर जाने के लिए पहुंचे करीब 100 मजदूरों को लौटा दिया…
1257230067828011000,Mon May 04 08:46:21 +0000 2020,RT @AshGowariker: As an actor, I was a part of #DISCOVERYOFINDIA in 1988 by #ShyamBenegal babu! 🙇‍♂️ One day, I witnessed a scene between #…
1257229606018408400,Mon May 04 08:44:30 +0000 2020,@shufta20 What about Jannat 1😊
1257195793028534300,Mon May 04 06:30:09 +0000 2020,RT @Riteishd: We as a country should bear the cost of migrants going back to their homes.  Train services should be free. They (Labourers)…
1257193931898368000,Mon May 04 06:22:45 +0000 2020,Not good. https://t.co/Q1pSFPgj2c
1257193432734290000,Mon May 04 06:20:46 +0000 2020,RT @IAmSudhirMishra: First we give them the disease , then we throw them out of their jobs and the six by six feet cages that they are forc…
1257179548602429400,Mon May 04 05:25:36 +0000 2020,What about the migrant labourers who already paid their train fares? They should be refunded.
1257173014505861000,Mon May 04 04:59:38 +0000 2020,RT @yogitabhayana: गरीब मरीज सुल्तान का Hip रिप्लेसमेंट होना है। कोई हॉस्पिटल इलाज नही कर रहा।प्राइवेट हॉस्पिटल के लिये पैसे नही।आज जीटीबी…
1257057675323428900,Sun May 03 21:21:19 +0000 2020,@justpulkit @JaiHMehta @anubhavsinha @mehtahansal I never saw you both smoke. 😊
1257057320086802400,Sun May 03 21:19:54 +0000 2020,RT @mainpankajkumar: मध्य प्रदेश के गुना में एक मजदूर परिवार को शौचालय में क्वारंटीन किया गया है. आप समझ सकते हैं समाज की सबसे मजबूत और आखि…
1257056763968282600,Sun May 03 21:17:42 +0000 2020,RT @russellcrowe: 20 years ago today Gladiator was released in cinemas in Australia.  What we do in life, echoes in Eternity...
1257039103947726800,Sun May 03 20:07:31 +0000 2020,RT @MrSamratX: Unfortunately, nationalism in India has become a threat to patriotism in India.
1257022461138223000,Sun May 03 19:01:23 +0000 2020,RT @the_hindu: Just in: Maharashtra Chief Minister Uddhav Thackeray has requested the Central government not to charge railway fares from m…
1257022012624474000,Sun May 03 18:59:36 +0000 2020,@ashukla30 Thanks Anu. Very inspiring to hear that. 🙏
1256997588210815000,Sun May 03 17:22:33 +0000 2020,@anubhavsinha I quit almost 15 years ago after trying many different options. But believe it or not Anubhav sir i f… https://t.co/46EM1x2zdy
1256968286744400000,Sun May 03 15:26:07 +0000 2020,RT @paranjoygt: Mumbai Police file FIR against Arnab Goswami, accuses him of spreading hatred via @htTweets https://t.co/EPQqnWxwM1
1256938893506576400,Sun May 03 13:29:19 +0000 2020,RT @nowitsabhi: Naam yaad rakhna, #PaatalLok ki yatra mein zarurat padegi.  Trailer Out On May 5, 11:34 am @PrimeVideoIN @OfficialCSFilms @…
1256938859935314000,Sun May 03 13:29:11 +0000 2020,RT @nowitsabhi: Miliye #PaatalLok ke sabse bhayanak prani se, naam hai Hathoda Tyagi. Trailer Out On May 5, 11:34 am @PrimeVideoIN @Officia…
1256938839416815600,Sun May 03 13:29:06 +0000 2020,RT @nowitsabhi: Sanjeev Mehra - Journalism ki duniya ka ek aisa naam jiska har shabd logon ke liye sach bann jaata hai.  #PaatalLok Trailer…
1256924950578880500,Sun May 03 12:33:55 +0000 2020,RT @ThePrintIndia: One thing in common between Covid hotspots in Italy and Spain is nitrogen oxide  Simon Brandon writes  https://t.co/Ua5E…
1256891747398856700,Sun May 03 10:21:59 +0000 2020,RT @justpulkit: Irrfan ❤️. A must read for all. Well put by @RajaSen https://t.co/xDAJ3jD5C7
1256891486991380500,Sun May 03 10:20:57 +0000 2020,RT @EconomicTimes: The ICMR on Saturday lauded the containment strategy and the robust public healthcare system of Kerala and said it would…
1256891072774430700,Sun May 03 10:19:18 +0000 2020,RT @thewire_in: At a hospital in England’s Warrington, doctors told DW how severely ill coronavirus patient showed recovery signs after the…
1256890628161466400,Sun May 03 10:17:32 +0000 2020,RT @the_hindu: On April 20, India’s ambassador to the #UAE Pavan Kapoor had warned Indian expatriates against such behaviour https://t.co/t…
1256890179169575000,Sun May 03 10:15:45 +0000 2020,RT @anuragkashyap72: Just thought of this great film I was shown on the edit machine @ShoojitSircar ’s “SHOEBITE” . Can in times like these…
1256889916102897700,Sun May 03 10:14:42 +0000 2020,RT @toramatix: Naseeruddin Shah’s tribute to Irrfan Khan: “Death, I have always believed, is the most unimportant part of life. It doesn’t…
1256871787511476200,Sun May 03 09:02:40 +0000 2020,RT @prosit_roy: @swastika24 #HardikMehta #GunjitChopra #SagarHaveli #JagjeetSandhu #IshwakSingh #AasifKhan #NiharikaLyraDutt #AninditaBose…
1256871767965982700,Sun May 03 09:02:35 +0000 2020,RT @prosit_roy: Media ki duniya ka janamana chehra aur naam hai inka Sanjeev Mehra. #PaatalLok Trailer Out On May 5, 11:34 am @PrimeVideoIN…
