id,created_at,text
1258970878844391400,Sat May 09 04:03:42 +0000 2020,RT @coda_hq: 🏆 If you need one more reason to join our stellar team, Coda was named one of @Inc's Best Workplaces of 2020.   Read more abou…
1258290054138491000,Thu May 07 06:58:21 +0000 2020,@ChrisPrinz @coda_hq Ha, don't always hear love for formulamap() 😀
1258189774277337000,Thu May 07 00:19:52 +0000 2020,@ChrisPrinz I had a side list at one point of my favorite Excel formulas and what the ideal equivalents would be. W… https://t.co/eRPFvu2WFM
1257434535752589300,Mon May 04 22:18:49 +0000 2020,RT @mg: Going live in about 10 for the @coda_hq NYC May “virtual meetup”. Chatting about some of the things I’ve been working on in their a…
1257069457433755600,Sun May 03 22:08:08 +0000 2020,@ChrisPrinz @RoamResearch @AmazonKindle @coda_hq That sounds great!
1257064342039654400,Sun May 03 21:47:48 +0000 2020,@ChrisPrinz @RoamResearch @AmazonKindle @coda_hq Your doc is awesome for me -- the Blues will form the outline, the… https://t.co/Fw7YCOArIF
1257064248288505900,Sun May 03 21:47:26 +0000 2020,@ChrisPrinz @RoamResearch @AmazonKindle @coda_hq In a given chapter, title &amp; key headings are Blue. Then Yellow is… https://t.co/lFwKwzdpI1
1257063875775586300,Sun May 03 21:45:57 +0000 2020,@ChrisPrinz @RoamResearch @AmazonKindle @coda_hq My color coding is: Blue = "Outline/Topics", Yellow = "Highlights… https://t.co/wyb4dXzA18
1256760135034130400,Sun May 03 01:39:00 +0000 2020,@ChrisPrinz @RoamResearch @AmazonKindle @coda_hq Oh I love this! I highlight all the time on Kindle, and this is so… https://t.co/bKlzqSsTZU
1256635445334536200,Sat May 02 17:23:31 +0000 2020,@Melmosen @coda_hq But one tip for how I handle this: duplicate a page into a hidden page, make updates there, and then swap it when ready.
1256635179579273200,Sat May 02 17:22:28 +0000 2020,@Melmosen @coda_hq Interesting suggestion - we've optimized for a connected experience right now (doc and published… https://t.co/r8ukQFs2eZ
1256004779785904000,Thu Apr 30 23:37:29 +0000 2020,@roundearth @SilversteinNoah Really impressive!
1253117825150906400,Thu Apr 23 00:25:45 +0000 2020,RT @yuhkiyam: @coda_hq Congrats @coda_hq on this launch! Can't wait to go through what others have made and remix some of these for our own…
1253117465287987200,Thu Apr 23 00:24:20 +0000 2020,RT @reidhoffman: 🥳 Congrats to my friends @coda_hq on the launch of the Doc Gallery today! I'm excited to be a Maker in this space, and hop…
1253117039935230000,Thu Apr 23 00:22:38 +0000 2020,RT @adamnash: Congrats to the @coda_hq team on the launch of their new Doc Gallery. Proud to have the "3 Bucket Planning Guide" be one of t…
1253116786989359000,Thu Apr 23 00:21:38 +0000 2020,RT @brandontrew: Congrats to the @coda_hq team on the launch of their new Doc Gallery https://t.co/EYa7RJzyM8.  The team collaborated with…
1253116683914375200,Thu Apr 23 00:21:13 +0000 2020,RT @Enderdoon: Go @coda_hq and @shishirmehrotra! We’re managing our network and various portfolio programs on Coda! https://t.co/hOrAT9xDKH
1253116654038352000,Thu Apr 23 00:21:06 +0000 2020,RT @wadefoster: Great to see @Zapier's distributed meeting template featured in @coda_hq's new Doc Gallery. If you want to run better remot…
1253110559282618400,Wed Apr 22 23:56:53 +0000 2020,RT @gokulr: 🥳 Congrats to @shishirmehrotra and my friends at @coda_hq on the launch of the Doc Gallery today! I'm excited to be a Maker in…
1253110546011832300,Wed Apr 22 23:56:50 +0000 2020,RT @elatable: Really impressed by the breadth and topical relevancy of the examples herein...   Well done @coda_hq @shishirmehrotra and tea…
1253110429754089500,Wed Apr 22 23:56:22 +0000 2020,RT @SSomasegar: The Coda Doc Gallery: A new home for makers to explore and share docs. https://t.co/NrjIdBiSTj via @shishirmehrotra https:/…
1253110391741182000,Wed Apr 22 23:56:13 +0000 2020,RT @ezelby: 🥳 Congrats to my friends @coda_hq on the launch of the Doc Gallery today! Fun to see @signalfire's Back Office Adulting Guide f…
1253039416764887000,Wed Apr 22 19:14:11 +0000 2020,RT @patrick_oshag: Spoke with @shishirmehrotra yesterday and found his thinking deeply interesting, especially on the topic of bundles in b…
1253039390432956400,Wed Apr 22 19:14:05 +0000 2020,RT @sriramk: Been loving these "interactive docs"  @coda_hq  has been working towards. And jealous of  @gokulr for his "SPADES" framework p…
1253039328546058200,Wed Apr 22 19:13:50 +0000 2020,@sriramk @sarthakgh @coda_hq @gokulr Ha, zero! But that said, I do agree with him :)
1253038894766940200,Wed Apr 22 19:12:07 +0000 2020,@manifold_ai @coda_hq Oh awesome! Any lessons in particular that work well for you?
1253038664541601800,Wed Apr 22 19:11:12 +0000 2020,@elatable @coda_hq Thanks Bradley! It's now ready for your doc, got an idea you want to publish?
1253030032659714000,Wed Apr 22 18:36:54 +0000 2020,@patrick_oshag @coda_hq Enjoyed our chat as well! Looking forward to the podcast :)
1253018339133157400,Wed Apr 22 17:50:26 +0000 2020,Oh and check out some insightful reviews on ProductHunt: https://t.co/JNpuw8EQAR
1253018187584508000,Wed Apr 22 17:49:50 +0000 2020,Very excited to give a nice home for all those amazing published @coda_hq docs! Check out the launch below. https://t.co/qWCBc4hR0b
1252664841141055500,Tue Apr 21 18:25:46 +0000 2020,@interplato @coda_hq We don't have a direct way to do this yet (very common request though so we'll get to it!). Wh… https://t.co/5uSO3mZS5m
1251052023199359000,Fri Apr 17 07:37:00 +0000 2020,@rahulvohra @meetbryce @maggiecrowley @coda_hq @Superhuman definitely. it's a gift.
1248488304980275200,Fri Apr 10 05:49:42 +0000 2020,@rileyrichter @visualdevfm @LaceyKesler @mattvaru @googlesheets @coda_hq @airtable Loved listening to this, and enj… https://t.co/JTj5pPN6gn
1248452308972626000,Fri Apr 10 03:26:40 +0000 2020,@KatieS @herb_jacobs :( :( Deepest condolences
1247077377517088800,Mon Apr 06 08:23:11 +0000 2020,@JMSerruya Interesting question. I've generally found this to be easier with distributed teams as groups form more… https://t.co/V9dHroKOj1
1247064832848715800,Mon Apr 06 07:33:20 +0000 2020,And for anyone interested, I'll be joining our @coda_hq webinar series tomorrow to discuss this further: https://t.co/RfaFZ0j0C0
1247064570968957000,Mon Apr 06 07:32:17 +0000 2020,As more and more teams adjust to distributed work, I wrote up a few of the lessons I've learned from running distri… https://t.co/QQ9riNjtyJ
1246863364631834600,Sun Apr 05 18:12:46 +0000 2020,As everyone becomes a @zoom_us super user, I've found it helpful to add a bit of levity to meetings with fun backgr… https://t.co/eweAlySJeK
1246644614930415600,Sun Apr 05 03:43:32 +0000 2020,@jamescham @peteskomoroch @coda_hq Yep it's game changing. It's mostly based on @destraynor's method, I modified it… https://t.co/cx6IrLn6yf
1246586148870213600,Sat Apr 04 23:51:12 +0000 2020,@jamescham @peteskomoroch @coda_hq It's based on this template from @destraynor  https://t.co/Egh9cfBL71
1246586062006177800,Sat Apr 04 23:50:52 +0000 2020,@jamescham @peteskomoroch @coda_hq I think you may be referring to this: https://t.co/WGnSSmdAjv
1246323432414777300,Sat Apr 04 06:27:16 +0000 2020,@lexir Such a heartfelt and helpful writeup, thanks @lexir!
1245128361803788300,Tue Mar 31 23:18:29 +0000 2020,One of the most insightful product processes I've seen. Nice work @yuhkiyam! https://t.co/nbuw9F4GeW
1241929434015264800,Mon Mar 23 03:27:05 +0000 2020,Great way to see how close each state is to being too late https://t.co/ECVqqpy0oo
1241586659046523000,Sun Mar 22 04:45:01 +0000 2020,Some (very cute) levity in a tough time! https://t.co/AYh9HXs4gr
1241446464896688000,Sat Mar 21 19:27:56 +0000 2020,Please sign this White House petition! https://t.co/MQH9QXjPlC
1241055636646838300,Fri Mar 20 17:34:56 +0000 2020,This was such a fun idea from @andrewstinger - try it out with your team. My favorite was "twin day" :) https://t.co/Of4VAGv7V5
1240904223912419300,Fri Mar 20 07:33:16 +0000 2020,RT @donnellymjd: (1/) Five days ago I forecast that NYC’s hospitals would be at capacity with #coronavirus cases by Mar 30. I was wrong. Ne…
1240772664047747000,Thu Mar 19 22:50:30 +0000 2020,Everyone should read this. Very good articulation of what should happen now, and what should happen next. https://t.co/yidpjiA9xa
1240500371589492700,Thu Mar 19 04:48:30 +0000 2020,@mg @rsarver Will this work with Zoom or just Hangouts?
1240318682946883600,Wed Mar 18 16:46:32 +0000 2020,This is a must follow thread. The fact that the Imperial College model and @donnellymjd's models come to such indep… https://t.co/wYqsD9va66
1239975531069599700,Tue Mar 17 18:02:58 +0000 2020,Such a great idea! https://t.co/eiTS9rwvYh
1239975450568298500,Tue Mar 17 18:02:39 +0000 2020,RT @ElizSlavitt: Looking for ways to stay socially and intellectually engaged in these uncertain times? My startup, Speakeasy, is offering…
1239717432370925600,Tue Mar 17 00:57:23 +0000 2020,@mfcaso has worked with / tolerated me for 7 years. Her system is amazing and definitely worth seeing! https://t.co/8HNadSPlUJ
1239327828077736000,Sun Mar 15 23:09:14 +0000 2020,@mg @jonnyliebs @ShaneMac @coda_hq @Uber Definitely.
1239307445568041000,Sun Mar 15 21:48:14 +0000 2020,@mg @jonnyliebs @ShaneMac @coda_hq @Uber Oh I'd love to see too!
1238984575545569300,Sun Mar 15 00:25:16 +0000 2020,@berniespofforth Do you have a source for this? I've been looking for this data.
1238941153916932000,Sat Mar 14 21:32:44 +0000 2020,@amaxim_ @coda_hq Looks awesome! One small style suggestion would be to set some of the wider sections to "auto" or… https://t.co/L93gxy8ZT3
1238604720752578600,Fri Mar 13 23:15:52 +0000 2020,@amaxim_ Looking forward to seeing how it evolves, please keep sharing!
1238594897914945500,Fri Mar 13 22:36:50 +0000 2020,Nice to see a few cases where an unexpected crisis can bring families together. ❤️ https://t.co/9FiZeZJlfa
1238391035065012200,Fri Mar 13 09:06:45 +0000 2020,This one is more unexpected trivia on cases per million. 1st chart is countries with &gt;100 cases -- highest is Icela… https://t.co/qKMGbmPn7N
1238390289967902700,Fri Mar 13 09:03:47 +0000 2020,This is cases per million. The US is currently well below Italy -- is that true or just lack of testing (previous t… https://t.co/UtCPhinl5H
1238389880813572000,Fri Mar 13 09:02:10 +0000 2020,Testing data is hard to find. This is sourced from Wikipedia and Worldometer (more recent time stamp when conflicti… https://t.co/IC9QJsI13A
1238389444534624300,Fri Mar 13 09:00:26 +0000 2020,Doubling rate for the US is still quite scary (~2 days) https://t.co/3Ln3opCOmN
1238388102646730800,Fri Mar 13 08:55:06 +0000 2020,As part of the daily update of @bigal123's COVID19 data summary doc, we updated yesterdays case data and also added… https://t.co/ME2ZQr4Ash
1238239023870562300,Thu Mar 12 23:02:43 +0000 2020,@patrickc @coda_hq does this.
1237958880589537300,Thu Mar 12 04:29:31 +0000 2020,@ifindkarma @paulg @Iam_BrookeSmith Been tracking this here: https://t.co/6KKaQnIMVR
1237958465051492400,Thu Mar 12 04:27:52 +0000 2020,Data updated with today's results. This is a sobering chart. https://t.co/1UgOpLrGKp https://t.co/IRxp0NIYLt
1237957741831807000,Thu Mar 12 04:25:00 +0000 2020,@peeyush @jetra67 @bigal123 Good suggestion, just added it. Is this what you had in mind? https://t.co/iXgkpst0P3
1237834047524495400,Wed Mar 11 20:13:29 +0000 2020,@JasonHirschhorn Thanks. @bigal123 made the doc. This is the chart I'm hoping everyone is paying attention to. https://t.co/zROuF1iTVF
1237645303190151200,Wed Mar 11 07:43:29 +0000 2020,@rklau @bigal123 FYI @bigal123 did a bunch of updates to his doc. I just used it to make a few important calls for… https://t.co/T35dnJJHfj
1237643626617823200,Wed Mar 11 07:36:49 +0000 2020,Many of us trying to make sense of the flurry of data on  coronavirus. @bigal123 updated his doc to provide some re… https://t.co/2hkrSFugit
1237507373020807200,Tue Mar 10 22:35:24 +0000 2020,Thoughtful approach to running distributed meetings -- from a company that was doing it since before it was cool :) https://t.co/TKILAh3nRe
