id,created_at,text
1253606938455076900,Fri Apr 24 08:49:19 +0000 2020,It is a great time for people to realize that our country is run by bureaucrats, civil servants, police, teachers,… https://t.co/bpcZCJNNsH
1253595885843345400,Fri Apr 24 08:05:24 +0000 2020,@mukund1981 I would take anything which whitehouse is saying with a pinch of salt.
1253595091316301800,Fri Apr 24 08:02:15 +0000 2020,@ShamikaRavi @narendramodi @PMOIndia @NITIAayog @drharshvardhan @muditkapoor Wait for this update everyday!
1251368507050045400,Sat Apr 18 04:34:36 +0000 2020,@manthanbgupta Hi Manthan, we also have to take our family member to Tata memorial hospital for treatment on urgent… https://t.co/XA5BWEEhkh
1244849162765516800,Tue Mar 31 04:49:03 +0000 2020,RT @ShamikaRavi: Move to stratified random sampling (district level) to catch community spread NOW. This requires scaling up to approx 4L t…
1244571044607742000,Mon Mar 30 10:23:54 +0000 2020,RT @ashokgehlot51: Administration &amp; health officials have been doing a commendable work in #Bhilwara in order to contain spread of corona.S…
1244505749310464000,Mon Mar 30 06:04:27 +0000 2020,RT @ShamikaRavi: #DailyUpdate #Covid19India  Cases rising. At lower rate. Think of a truck on a highway, coming towards you at 100km/h... a…
1243158774845591600,Thu Mar 26 12:52:03 +0000 2020,RT @GoenkaPk: Ventilator 3: at other end we are working on an automated version of the Bag Valve Mask ventilator (commonly known as Ambu ba…
1241664500224290800,Sun Mar 22 09:54:20 +0000 2020,RT @anandmahindra: —To help in the response to this unprecedented threat, we at the Mahindra Group will immediately begin work on how our m…
1219617274446909400,Tue Jan 21 13:46:32 +0000 2020,RT @deepigoyal: Uber Eats India is now Zomato. Here's to better food for more people, and new beginnings.  For more details: https://t.co/c…
1156470682659639300,Wed Jul 31 07:44:31 +0000 2019,RT @deepigoyal: We are proud of the idea of India - and the diversity of our esteemed customers and partners. We aren’t sorry to lose any b…
1139494656096387100,Fri Jun 14 11:27:51 +0000 2019,Where can I buy good quality spices in Gurgaon?
1114425122025365500,Sat Apr 06 07:10:28 +0000 2019,@mukund1981 Satya vachan!
1101680533006966800,Sat Mar 02 03:08:01 +0000 2019,@pankajchaddah All the best pankaj!
1101158779192655900,Thu Feb 28 16:34:46 +0000 2019,@kunalkamra88 The outcome of recent elections in 3 states shows it is a parody? Show some balance dude
1101056330779881500,Thu Feb 28 09:47:40 +0000 2019,RT @mepooja: Looking for someone with 7+ years of experience in marketing and brand building. Having worked  in the consumer goods/ consume…
1063836386183266300,Sat Nov 17 16:48:54 +0000 2018,RT @ExseedSpace: Yes, @SpaceX will take us up, but your wishes will take us higher! We launch in less than 72 hours.   https://t.co/IoRBMX4…
1043427620258541600,Sat Sep 22 09:11:45 +0000 2018,RT @ICC: Dada and The Wall - Ganguly and Dravid. What a pair! 🙌  On this month's Legends' Corner they look back at the great moments of the…
1037635898828103700,Thu Sep 06 09:37:31 +0000 2018,RT @ZomatoIN: #Section377 #LoveIsLove ❤️🧡💛💚💙💜 https://t.co/BIVAGHsNoI
1036286022693396500,Sun Sep 02 16:13:35 +0000 2018,RT @anaggh: 2017 Food Delivery Ranking 1 Scootsy  2 Swiggy 3 Zomato 2018 Food Delivery Ranking 1 Zomato 2 Swiggy 3 Scootsy  Nariman Point a…
1034848041327632400,Wed Aug 29 16:59:34 +0000 2018,RT @ZomatoIN: And you thought only Radhika is versatile 😜 https://t.co/nqfHikbeeU
1033523425799745500,Sun Aug 26 01:16:01 +0000 2018,RT @Nike: You can take the superhero out of her costume, but you can never take away her superpowers. #justdoit https://t.co/dDB6D9nzaD
1030854631667118100,Sat Aug 18 16:31:11 +0000 2018,RT @deepigoyal: We’ve partnered with The Akshaya Patra Foundation to start a relief fund for those affected by the Kerala floods – everyone…
1029685471281127400,Wed Aug 15 11:05:21 +0000 2018,RT @deepigoyal: Meet Vimal Kumar, one of the 50,000+ unsung heroes who'd miss their meal to deliver yours.  This Independence Day, we're ta…
1028311289553023000,Sat Aug 11 16:04:51 +0000 2018,RT @rha_india: .@narendramodi On our 72nd Independence Day, 190 million hungry Indians will sleep hungry - we (@rha_india) will serve a mil…
1023947907450515500,Mon Jul 30 15:06:19 +0000 2018,RT @deepigoyal: Gold class dining begins for Nagpur, Lucknow and Indore. 🎉  Buy Zomato Gold now and enjoy 1+1 on food or 2+2 on drinks at t…
1019210665729421300,Tue Jul 17 13:22:13 +0000 2018,RT @deepigoyal: Zomato Piggybank is now open to more folks in India than before - open your Zomato app to see if you're on the list!  It’s…
1016606396618424300,Tue Jul 10 08:53:47 +0000 2018,RT @deepigoyal: By the way, Zomato turns 10 today. Read our 10th anniversary blog post here - https://t.co/rNJc5Q4PFU https://t.co/bYUJoLNR…
1016578855266422800,Tue Jul 10 07:04:20 +0000 2018,RT @deepigoyal: Super excited to introduce Zomato Piggybank - https://t.co/I4xs5NHHwd https://t.co/h1Hrxhqy6t
1011970397166661600,Wed Jun 27 13:51:58 +0000 2018,RT @deepigoyal: Zomato is in 63 cities in India now. https://t.co/Mpy7qKTSMm 😇
1011889482964955100,Wed Jun 27 08:30:27 +0000 2018,RT @deepigoyal: Our delivery executives doing the right thing. #proud #zomato #delivery @deeppurpled https://t.co/VnmXpulCrA
1005052305295663100,Fri Jun 08 11:41:57 +0000 2018,RT @yash_yash6100: @b50 Zomato, through Zomato gold is single handedly expanding the market. Almost everyone I know who has zomato gold eat…
1005051212842930200,Fri Jun 08 11:37:36 +0000 2018,RT @deepigoyal: Special announcement: Zomato Gold has arrived in #Chandigarh and #Ahmedabad! 🔶  Buy now and enjoy privileged benefits on fo…
1002499454304333800,Fri Jun 01 10:37:50 +0000 2018,RT @TheStoicEmperor: Much of modern education feels like an increasingly unhinged attempt to cure students of a disease they do not have.
1002296546614898700,Thu May 31 21:11:33 +0000 2018,RT @deepigoyal: People of #Jaipur, #ZomatoGold has finally arrived! 🔶  Buy it now and enjoy 1+1 on food or 2+2 on drinks across 100+ top re…
991270141399679000,Tue May 01 10:56:33 +0000 2018,RT @deepigoyal: Twitter people – we are looking for Android developers for our Gurgaon HQ. If you are someone who fits the bill, or know so…
986066486690177000,Tue Apr 17 02:19:05 +0000 2018,RT @deepigoyal: We are looking for stud junta to join us to build the Zomato of tomorrow. I’ve attached our recruiting checklist. Please em…
