id,created_at,text
1259667662616981500,Mon May 11 02:12:28 +0000 2020,@nsharmz @minarad @SlackHQ Whoops. I was a little too slow in typing … listen to Neha instead!
1259667473097298000,Mon May 11 02:11:43 +0000 2020,@minarad @SlackHQ Sorry about that! I'm using an early beta of multi-org shared channels right now and it is aces.… https://t.co/Np5jPli6aU
1259580139442061300,Sun May 10 20:24:41 +0000 2020,@yoda That is very kind — thank you 🙇‍♂️
1258847603870953500,Fri May 08 19:53:51 +0000 2020,@noah_weiss Agreed. Let’s make it happen!
1258836345344032800,Fri May 08 19:09:07 +0000 2020,@toddmckinnon I voted for the Sopranos, but, for you, maybe: https://t.co/dtXtfqhfg7
1258833653494214700,Fri May 08 18:58:25 +0000 2020,This is a quality tweet (and animation), team! Nice work :) https://t.co/Xn6VEHJxE4
1258830799064850400,Fri May 08 18:47:05 +0000 2020,@noah_weiss … out someone who is presenting in front of their boss and their boss's boss &amp; their boss's boss's boss… https://t.co/wdTf2aAtvO
1258830282133614600,Fri May 08 18:45:01 +0000 2020,@noah_weiss ❤️  I just mean that, for me anyway, the problem is never the % of the room's area that is occupied, bu… https://t.co/O8nbA5xQfi
1258812239986868200,Fri May 08 17:33:20 +0000 2020,@noah_weiss Nope, it's still just as bad :)
1258503611358736400,Thu May 07 21:06:57 +0000 2020,RT @FeliciaHorowitz: As a Mother I am heartbroken. Friday, May 8th, is Ahmaud Arbery's 26th birthday - on Mother’s Day Weekend! We can’t ig…
1258428379470037000,Thu May 07 16:08:00 +0000 2020,@joshelman I look forward to checking it out
1258190079459090400,Thu May 07 00:21:05 +0000 2020,@far33d Also: https://t.co/w3anKCDRF0
1258187794142257200,Thu May 07 00:12:00 +0000 2020,@far33d Oh yes! I almost tried creating an arrangement myself :)
1258133128570269700,Wed May 06 20:34:47 +0000 2020,@benedictevans Yeah, that was not a bad substitute! (I think they overdid it with the foley for the sheep though …… https://t.co/xXWY5oTb3a
1258129447317729300,Wed May 06 20:20:09 +0000 2020,Every so often I re-watch this to remember when Twitter (and the world!) seemed so much lighter and freer and funne… https://t.co/0iH9Nm70yg
1258128648478920700,Wed May 06 20:16:59 +0000 2020,@KTamas @carolynz @SlackHQ Both work fine for me — what happens when you use them? (Or is this some kind of "meme j… https://t.co/7YPubK3RSf
1257855395420201000,Wed May 06 02:11:10 +0000 2020,@Rsquared I’m sorry for your loss
1257844070832980000,Wed May 06 01:26:10 +0000 2020,@bendreyfuss HOLLYWOOD
1257384483839508500,Mon May 04 18:59:56 +0000 2020,@schmooey @ericsyuan @SlackHQ @zoom_us That's a great idea — passing it on to the platform team :)
1257087137993814000,Sun May 03 23:18:23 +0000 2020,This might be the first time I’ve ever been genuinely impressed with AR 😳 https://t.co/mO26UNCbzv
1257038216596557800,Sun May 03 20:04:00 +0000 2020,@helena It all went to @adambain a few minutes later anyway!
1256443405913034800,Sat May 02 04:40:26 +0000 2020,@jhong @joshelman @peterpham Logitech PTZ Pro 2.  Huge step up from a normal webcam but nothing like the quality of… https://t.co/icjc9Czewc
1256383586741043200,Sat May 02 00:42:44 +0000 2020,@toddmckinnon @HowIBuiltThis @SlackHQ You gotta get one
1256330723809611800,Fri May 01 21:12:40 +0000 2020,RT @HowIBuiltThis: Did you catch when @SlackHQ founder @Stewart Butterfield broke the fourth wall during today's livestream?  A bit surreal…
1256324855680495600,Fri May 01 20:49:21 +0000 2020,I too am playing in this tournament and you'd actually be surprised how bad I am at poker despite any/all traits I… https://t.co/WadesAxJGs
