id,created_at,text
1261454171909189600,Sat May 16 00:31:25 +0000 2020,@jezbutts @KirstenMuseum And maybe, might need to switch now...
1261454085963710500,Sat May 16 00:31:05 +0000 2020,@jezbutts @KirstenMuseum I can’t believe this??!?! This is honestly like changing my world. How is this the Internet, I love it
1261449394840195000,Sat May 16 00:12:26 +0000 2020,@jezbutts @KirstenMuseum Wait omg WHAT, This is so crazy?!?! How did you all meet?!
1261424708966166500,Fri May 15 22:34:21 +0000 2020,@KirstenMuseum @jezbutts Omg we met like 9? Years ago on https://t.co/QQtFxvpVP2 I THINK???
1261421587254870000,Fri May 15 22:21:57 +0000 2020,@jezbutts @KirstenMuseum Wait omg do you two know each other??
1261142776281997300,Fri May 15 03:54:03 +0000 2020,@rachel_pick I want to see the roof! Honestly high art
1261120832899895300,Fri May 15 02:26:51 +0000 2020,@mattiekahn Ugh I was supposed to train for the marathon this year 😭
1261120418053853200,Fri May 15 02:25:12 +0000 2020,@annalikestweets @HopeRehak Um me2 plz
1261113107813990400,Fri May 15 01:56:09 +0000 2020,@marnieshure can you host a zoom listen and just share the audio of it??
1261112077353181200,Fri May 15 01:52:04 +0000 2020,@cleopalooza omg! stay safe! But congrats on your final!! &lt;3
1260985445808308200,Thu May 14 17:28:52 +0000 2020,@AlannaBennett I just finished reading last night and now...I'm not sure if I can watch the show?? 'fuck you for wa… https://t.co/o3JVdni801
1260973495204417500,Thu May 14 16:41:23 +0000 2020,@thejessgoodwin Wow um yes
1260973313251332000,Thu May 14 16:40:40 +0000 2020,@bowlcutbaby A big year for you
1260960331519733800,Thu May 14 15:49:05 +0000 2020,@lemonsand @hannahorens Ohhh yes I’m so excited about this book! Loved Playing With Matches a lot too!
1260949948973092900,Thu May 14 15:07:49 +0000 2020,@HopeRehak also just like copenhagen SHAWARMA. Sorry I'm like getting in a deep copenhagen nostalgia hole this morning
1260949821101355000,Thu May 14 15:07:19 +0000 2020,@HopeRehak UGH HOPE. do you remember even like the McDonalds shawarma-esque chili sandwiches they had???
1260949607267340300,Thu May 14 15:06:28 +0000 2020,@HopeRehak nahh this was just a small hole-in-the-wall place. But Lagkagehuset had one similar I think.
1260949010225025000,Thu May 14 15:04:05 +0000 2020,THIS GIRL FINALLY SIGNED UP FOR THE SCRIPTWRITING 101 CLASS SHE'S BEEN DREAMING ABOUT SINCE HIGH SCHOOL
1260948634549485600,Thu May 14 15:02:36 +0000 2020,@HopeRehak YES. Actually, the interns would always get them from this like pizza/sandwich shop that was near that S… https://t.co/zBbUR9pWwZ
1260943316935458800,Thu May 14 14:41:28 +0000 2020,@_A_W_C thanks so much for the advice! I just signed up for a scriptwriting 101 class! It's just online, no zoom, b… https://t.co/joThZcGEv8
1260939298096001000,Thu May 14 14:25:30 +0000 2020,RT @j_zimms: Oh shit you can watch the EXTREMELY good Shakespeare in the Park Much Ado from last year online! It's soooooo good https://t.c…
1260937002507214800,Thu May 14 14:16:23 +0000 2020,did you have this type of sandwich there @HopeRehak ?? it was everywhere!
1260936888422215700,Thu May 14 14:15:55 +0000 2020,This place in Copenhagen had a sandwich with pesto, parma, tomatoes, arugula, bean sprouts, on freshly made bread,… https://t.co/LU7qodOvrg
1260901300755103700,Thu May 14 11:54:31 +0000 2020,@ellesep Omg which one
1260688926676791300,Wed May 13 21:50:37 +0000 2020,@mattiekahn TRULY. Sofia has the power
1260688647617216500,Wed May 13 21:49:30 +0000 2020,@mattiekahn !!!
1260669405081546800,Wed May 13 20:33:02 +0000 2020,@feeltheheath just like...thinking of the visual production of this and !!!!!
1260669328661381000,Wed May 13 20:32:44 +0000 2020,@feeltheheath wow I NEED THIS
1260669034879729700,Wed May 13 20:31:34 +0000 2020,@blgtylr omfg @astridtaran
1260639307750146000,Wed May 13 18:33:27 +0000 2020,@searchpartymax @hbomax the best scene @astridtaran we should do a brunch rewatch
1260596647739961300,Wed May 13 15:43:56 +0000 2020,RT @atticshape: this girl on tiktok just bodied wes anderson in one minute https://t.co/fFSpXI7Ddp
1260581399939219500,Wed May 13 14:43:20 +0000 2020,@astridtaran FINALLY!!!!!!!!
1260414773126201300,Wed May 13 03:41:13 +0000 2020,@bluesuedeschue I LOVE BoJack so so so much
1260361059329880000,Wed May 13 00:07:47 +0000 2020,Avril Lavigne https://t.co/4mAleSrruW
1260359422129442800,Wed May 13 00:01:17 +0000 2020,@lindseyromain @nerdist GREAT TIMING as I prepare to read this
1260357423811956700,Tue May 12 23:53:20 +0000 2020,@vcav @gothamwriters Ohhh fun!!!! I’ve been wanting to take screen writing forever too! I think I’m taking the 101… https://t.co/l3Nh82ibsk
1260348691891839000,Tue May 12 23:18:38 +0000 2020,@_A_W_C oh incredible! Have you ever taken any of the strictly online ones?
1260348278853468200,Tue May 12 23:17:00 +0000 2020,@iwearaviators interested! I love talking to interns/students!
1260347893434577000,Tue May 12 23:15:28 +0000 2020,@_A_W_C oh amazing! Would you recommend then? I'm thinking about taking a Script Writing 101 or TV Writing class
1260346644220051500,Tue May 12 23:10:30 +0000 2020,@vcav @gothamwriters omg which one??
1260345577386250200,Tue May 12 23:06:16 +0000 2020,Has anyone taken a class with Gotham Writers before?
1260343725231952000,Tue May 12 22:58:54 +0000 2020,@erikawynn omg noooo run
1260292350749876200,Tue May 12 19:34:46 +0000 2020,portrait of a cat in quarantine https://t.co/tbES3dOGmY
1260256019898392600,Tue May 12 17:10:24 +0000 2020,@ellaceron I’m at war with my neighborhood ice cream truck
1260252082164154400,Tue May 12 16:54:45 +0000 2020,@hcjewell tag yourself, I'm the kid dressed as harry potter
1260251682677706800,Tue May 12 16:53:10 +0000 2020,"What I Did for Love" but instead it's everyone who decided to stay in NYC
1260238150141653000,Tue May 12 15:59:23 +0000 2020,@lemonsand @elenawonders @pengshepherd just ordered it from Word!!
1260238017341673500,Tue May 12 15:58:52 +0000 2020,@saribethrose it was a screenshot of him singing this wonderful song https://t.co/WskOu1f7G6
1260233989454995500,Tue May 12 15:42:51 +0000 2020,yesterday when I tried to screen share I accidentally projected a photo of Jake Gyllenhaal to my entire team
1259986052867113000,Mon May 11 23:17:39 +0000 2020,@lemonsand @elenawonders @pengshepherd omg I need this
1259979496637128700,Mon May 11 22:51:35 +0000 2020,@TKDano Bodega, wine store, pet store, coffee 2x a week. Bar window cocktails on the weekends
1259876560296980500,Mon May 11 16:02:34 +0000 2020,@astridtaran ZOOM PARTY
1259850369309593600,Mon May 11 14:18:29 +0000 2020,@lemonsand Hahaha, yes that is so so true!
1259846546335633400,Mon May 11 14:03:18 +0000 2020,@lemonsand Yea! I’ve been teaching myself guitar and really want to take a screen-writing class! Have also started… https://t.co/5BlZ0IuoHU
1259693002034905000,Mon May 11 03:53:10 +0000 2020,@fffffrida SO GOOD. honestly like PWB as a taxidermist gave me such life. I'm like so shocked where the story is go… https://t.co/Q72TzIsjmx
1259692758572445700,Mon May 11 03:52:12 +0000 2020,@fffffrida meeeeeee
1259691423852630000,Mon May 11 03:46:54 +0000 2020,I truly find comfort in the fact that my bodega downstairs consistently closes, every night, at 11:46pm
1259686730564862000,Mon May 11 03:28:15 +0000 2020,whatever you do, don't listen to "New York" by St. Vincent right now
1259686511701905400,Mon May 11 03:27:22 +0000 2020,@soalexgoes GOD I can just hear this tweet. That's how many times I've watched this
1259686382194299000,Mon May 11 03:26:52 +0000 2020,everything about this screencap is HOT ok
1259685862411063300,Mon May 11 03:24:48 +0000 2020,@soalexgoes THE BEST les miserables ugh so good
1259685475360653300,Mon May 11 03:23:15 +0000 2020,wow just remembered what it was like to waltz into the lincoln square amc and watch Lady Bird alone with my bodega… https://t.co/cDSJWRXZvg
1259683657712914400,Mon May 11 03:16:02 +0000 2020,Ruby holding a bag from Østerbro, Copenhagen in tonight's RUN really spoke to me #RunHbo https://t.co/mJaP3NQDej
1259609101597900800,Sun May 10 22:19:46 +0000 2020,@delia_cai I also want to stay for some strange reason! My lease isn’t up until December though, but I’ve never fel… https://t.co/aX6d7b8Gay
1259606848120017000,Sun May 10 22:10:49 +0000 2020,@sundayriley ✨
1259293551436927000,Sun May 10 01:25:53 +0000 2020,@shutupgunther Ahhh so lucky!!
1259290725608558600,Sun May 10 01:14:40 +0000 2020,@shutupgunther WOW you did this yourself?!?!
1259186553479483400,Sat May 09 18:20:43 +0000 2020,@hannahorens The Four Horseman!
1258963876789485600,Sat May 09 03:35:53 +0000 2020,Want to escape one dystopia for another? I wrote about one of my FAVORITE dystopian shows for @atlasobscura ! https://t.co/MTIcivu6rO
1258963406142537700,Sat May 09 03:34:01 +0000 2020,I somehow don’t think I’ve introduced any of you to my cat Luna yet https://t.co/UHZhpr0jf6
1258962344333512700,Sat May 09 03:29:47 +0000 2020,@mattbooshell https://t.co/pGBvXKXgFl
1258955918479429600,Sat May 09 03:04:15 +0000 2020,@mattbooshell why are there so many amazing songs about seventeen, when it's literally the worst year. I mean that'… https://t.co/TBiiLax7za
1258936147465638000,Sat May 09 01:45:42 +0000 2020,@StoneMtnFarms @katefeetie I second this method!
1258527349445804000,Thu May 07 22:41:17 +0000 2020,@ezwrites I know MANY brooklyn stray cat instagram accounts that can maybe help make that cat YOURS
1258526524585599000,Thu May 07 22:38:00 +0000 2020,@katefeetie i feel this. my favorite thing to do when people visit nyc is point out places I've cried
1258526178299670500,Thu May 07 22:36:37 +0000 2020,@annabelgat_ loooove the cat marnell memoir. it's very chaotic and juicy, but also insightful and sad
1258454366706643000,Thu May 07 17:51:16 +0000 2020,RT @june_lastname: thursday https://t.co/dTKk32oLlu
1258453358597333000,Thu May 07 17:47:16 +0000 2020,@hels ....normal people?
1258392408364064800,Thu May 07 13:45:04 +0000 2020,@rachsyme The Invisible Man!
1258390043510681600,Thu May 07 13:35:40 +0000 2020,RT @LukeMones: Monster Mash is NOT a Halloween song. Never was. It's about falling back in love. It's about old New York. It's about rememb…
1258197076518875100,Thu May 07 00:48:53 +0000 2020,@rachsyme Motion City Soundtrack, Webster Hall (A surprising thing to happen in 2020)
1258061035514278000,Wed May 06 15:48:19 +0000 2020,RT @JillKrajewski: X is for friends who do stuff together Æ is for you &amp; me A-12 is for anywhere &amp; anytime at all down here in the deep blu…
1258059834479566800,Wed May 06 15:43:32 +0000 2020,anyone else's allergies Extremely Bad today? I feel like I'm dying
1258046669486162000,Wed May 06 14:51:14 +0000 2020,@judgementali wow this made me miss the feeling of everyone all of a sudden singing your karaoke song with you 😭
1257720656738898000,Tue May 05 17:15:46 +0000 2020,@4evrmalone Not today to be clear, but I remember it clearly
1257720576384413700,Tue May 05 17:15:27 +0000 2020,@4evrmalone The day I discovered reliant k and flyleaf were christian rock....lol
1257672057111875600,Tue May 05 14:02:39 +0000 2020,Nothing like popping in on zoom to discover you’re having a great hair day
1257658021188194300,Tue May 05 13:06:53 +0000 2020,@eiffeltyler I use a magic bullet for my smoothies and it’s great!
1257510384145174500,Tue May 05 03:20:13 +0000 2020,@annalikestweets @thelonelyisland LOVED THIS SHOW SO MUCH
1257510035623739400,Tue May 05 03:18:50 +0000 2020,@bowlcutbaby Sending so much love and thinking of you ❤️❤️❤️
1257489480082210800,Tue May 05 01:57:09 +0000 2020,@HelloCVH Yes, Minnesota
1257436443380723700,Mon May 04 22:26:24 +0000 2020,yessss!!! https://t.co/i0aPxdKafP
1257362155759980500,Mon May 04 17:31:13 +0000 2020,Whenever I’m craving iced coffee I now ask myself, do I need coffee, or just the water that comes with my iced americano?
1257347238105415700,Mon May 04 16:31:56 +0000 2020,@CoffeeAndKink blueberries. meatloaf. soft cheese
1257323823948460000,Mon May 04 14:58:54 +0000 2020,@erikawynn can we have a midnight sun quarantine reread book club @annalikestweets
1257323738216796200,Mon May 04 14:58:33 +0000 2020,@erikawynn omg
1257135645820104700,Mon May 04 02:31:09 +0000 2020,@erikawynn @leahcarroll NIGHTMARE
1257086165808820200,Sun May 03 23:14:32 +0000 2020,5’ and under 5’ friends, what kind of bike should I get?
1256784337149792300,Sun May 03 03:15:10 +0000 2020,@megclark_txt I LOVE my tuft and needle pillow, seriously lifechanging
1256648146907734000,Sat May 02 18:14:00 +0000 2020,@katefeetie I read this recipe hald asleep and dreamt about it
1256274446890999800,Fri May 01 17:29:03 +0000 2020,RT @RMBouton: Announcing the Convocation of the Atlas Obscura Guild of Trivial Knowledge and Fascinating Ephemera! Join me and the @atlasob…
1256253270907068400,Fri May 01 16:04:54 +0000 2020,@iwearaviators @Bandcamp omg what french pop?!
1256228042906763300,Fri May 01 14:24:39 +0000 2020,@rachsyme Volcano from Anthro, forever and always
1256208611975614500,Fri May 01 13:07:26 +0000 2020,@terrastar12 Lmao TRUTH! I just always need to prep for days off so 🙃
1256195075530543000,Fri May 01 12:13:39 +0000 2020,@terrastar12 When is it though
1255968045434011600,Thu Apr 30 21:11:31 +0000 2020,@rachsyme I’ve had this random mug since I was a child but it brings me such joy https://t.co/OPxSKU9xxI
1255963142091411500,Thu Apr 30 20:52:02 +0000 2020,@carriecourogen @SuperYakiStuff omfg NEED. Just went deep into this entire shop and also need the 13 Going on 30 one
1255962291050250200,Thu Apr 30 20:48:39 +0000 2020,RT @Colinoscopy: made a Rube Goldberg machine https://t.co/gWRNnmm5Ic
1255890282433974300,Thu Apr 30 16:02:31 +0000 2020,@CaitlinWolper Wow umm I need in on this
1255865886533136400,Thu Apr 30 14:25:34 +0000 2020,@ericeidelstein lol @astridtaran
1255865737798996000,Thu Apr 30 14:24:59 +0000 2020,It's my three-year NYC anniversary! Although I wish I could spend it with my friends eating great food, I just want… https://t.co/uHZTUD4gt2
1255350886634852400,Wed Apr 29 04:19:09 +0000 2020,@mekosoff Omg I want to be Shosh
1255350467858698200,Wed Apr 29 04:17:29 +0000 2020,@astridtaran Got my POSTER!!!!
1255349224243376000,Wed Apr 29 04:12:32 +0000 2020,@astridtaran OMFG CUTE!!!!
1255240619024363500,Tue Apr 28 21:00:59 +0000 2020,@tatianatenreyro https://t.co/ssPJk3CF3E
1255207982083772400,Tue Apr 28 18:51:18 +0000 2020,@rachsyme YES! I am in!!!!!!!!
1255205937423487000,Tue Apr 28 18:43:10 +0000 2020,RT @atlasobscura: Exciting news: We've been nominated for a Webby Award for Best Social in Travel! We're so incredibly thrilled by this hon…
1255176507703439400,Tue Apr 28 16:46:14 +0000 2020,RT @evaandheriud: me portrait of a lady on fire-ing in quarantine alone https://t.co/Dl58zXhRQ4
1254945200432177200,Tue Apr 28 01:27:06 +0000 2020,Ending that Run episode felt like a personal attack #HBORUN
1254817017758130200,Mon Apr 27 16:57:45 +0000 2020,For some reason I decided to listen to The Last Five Years recordings this morning hahahahahahahaha
1254811216159150000,Mon Apr 27 16:34:41 +0000 2020,@sophyish YESSSSS
1254783738191286300,Mon Apr 27 14:45:30 +0000 2020,@ezwrites they NEED to record a cast album
1254769747104694300,Mon Apr 27 13:49:54 +0000 2020,@ezwrites Honestly same
1254621123968471000,Mon Apr 27 03:59:20 +0000 2020,RT @Racheldoesstuff: That cut song from Assassins is amazing and I'm floored that this is the first time I'm hearing it. #Sondheim90Concert
1254621014211932200,Mon Apr 27 03:58:54 +0000 2020,@IndieWire um omfg @astridtaran
1254618796159107000,Mon Apr 27 03:50:05 +0000 2020,RT @JarettSays: Drinking at 4pm when quarantine began vs. drinking at 4pm now https://t.co/Do3mt6hYkK
1254615433275211800,Mon Apr 27 03:36:43 +0000 2020,RT @courtenlow: I would utterly lay down in traffic for these women. https://t.co/FyvG52FlHd
1254614924342423600,Mon Apr 27 03:34:42 +0000 2020,RT @streep_lover: The perfection aka Christine Baranski , Meryl Streep and Audra McDonald ladies and gentlemen #Sondheim90Concert https://t…
1254613635474866200,Mon Apr 27 03:29:34 +0000 2020,UGH I LOVE THEATRE, TAKE ME BACK TO BROADWAY #Sondheim90Concert
1254613410228166700,Mon Apr 27 03:28:41 +0000 2020,RT @ezwrites: I love theater!!! I’m so happy!!! I love you all! I can’t wait to be back seeing a show. I’m just gonna cry now. Fuck.
1254611678639075300,Mon Apr 27 03:21:48 +0000 2020,RT @carriecourogen: my last three brain cells https://t.co/z3m0dapveP
1254611282201849900,Mon Apr 27 03:20:13 +0000 2020,RT @LouisPeitzman: Choose to believe Bernie decided to lean into the irony of doing "No One Is Alone" a cappella. #Sondheim90Concert
1254611043977965600,Mon Apr 27 03:19:17 +0000 2020,Bernadette!!!!!!!!!!!!!!!!! #Sondheim90Concert
1254609718439481300,Mon Apr 27 03:14:01 +0000 2020,Guess what I could die for annaleigh ashford #Sondheim90Concert
1254609492395860000,Mon Apr 27 03:13:07 +0000 2020,Here for Jake to continue leaning into his broadway career #Sondheim90Concert
1254609109414002700,Mon Apr 27 03:11:35 +0000 2020,@Scamandalous I SCREAMED!!!!!!!
1254608299204501500,Mon Apr 27 03:08:22 +0000 2020,AHHHHHHHHHHHHH I CAN’t tweet fast enough
1254608165850808300,Mon Apr 27 03:07:50 +0000 2020,Tag yourself, I’m christine baranski  pouring wine before singing Ladies Who Lunch #Sondheim90Concert
1254607017022492700,Mon Apr 27 03:03:16 +0000 2020,RT @4evrmalone: DONNA MURPHY I AM READY TO HEED YOUR COMMAND https://t.co/AQW74mcx7g
1254606419585904600,Mon Apr 27 03:00:54 +0000 2020,RT @LouisPeitzman: Not sure if I'm crying because this song is perfect (right now, but also always) or because Raúl is getting his redempti…
1254606258532991000,Mon Apr 27 03:00:16 +0000 2020,Take Me to the World hits different now... #Sondheim90Concert
1254605825341087700,Mon Apr 27 02:58:32 +0000 2020,TAKE ME TO THE WORLD!!!!! 😭😭😭 #Sondheim90Concert
1254605430162165800,Mon Apr 27 02:56:58 +0000 2020,TONY WORTHY how was this done over video??? #Sondheim90Concert https://t.co/ruFjr4MiYD
1254603617484636200,Mon Apr 27 02:49:46 +0000 2020,RT @LauraMLippman: This Sondheim concert was created in a laboratory to destroy me. In a good way.
1254601660556509200,Mon Apr 27 02:41:59 +0000 2020,@mattbooshell You’re missing out on HISTORY
1254595517746741200,Mon Apr 27 02:17:35 +0000 2020,I don’t always do stage door, but I did for Once on This Island and Lea stopped to talk to me after saying listenin… https://t.co/X1S0P99MQ5
1254594886235566000,Mon Apr 27 02:15:04 +0000 2020,Lea Salonga is serious all class, a queen, I love her forever #Sondheim90Concert
1254591972335063000,Mon Apr 27 02:03:30 +0000 2020,Tag yourself, I’m the birds in the background of Mandy Patinkin’s performance #Sondheim90Concert
1254591728536957000,Mon Apr 27 02:02:31 +0000 2020,RT @svershbow: Mandy Patinkin hanging out with his dog is my entire brand. #Sondheim90Concert https://t.co/8kLQKknOwf
1254591506784161800,Mon Apr 27 02:01:39 +0000 2020,RT @rachsyme: Dad is here https://t.co/PWBYgLUMsh
1254591332330373000,Mon Apr 27 02:00:57 +0000 2020,@4evrmalone Mine’s rescheduled to October which is even more lol
1254591106353897500,Mon Apr 27 02:00:03 +0000 2020,@astridtaran Tbh when I watched this I thought it was a Blades of Glory bit
1254586877539205000,Mon Apr 27 01:43:15 +0000 2020,Perfection, that’s what this is #Sondheim90Concert https://t.co/x1cE5JEGxj
1254584266794696700,Mon Apr 27 01:32:52 +0000 2020,This is maybe the most beautiful version of Johanna I've ever heard???? #Sondheim90Concert
1254579811164528600,Mon Apr 27 01:15:10 +0000 2020,The #Sondheim90Concert is the closest I'll get to theatre in who knows how long and I'm CRYING
1254510257881206800,Sun Apr 26 20:38:47 +0000 2020,@astridtaran omg WHAAT
1254271984944414700,Sun Apr 26 04:51:59 +0000 2020,@astridtaran Omg what
1254271861661274000,Sun Apr 26 04:51:29 +0000 2020,kate mckinnon doing a sketch with her cat is giving me life
1254261249950482400,Sun Apr 26 04:09:19 +0000 2020,But who is Miley Quarantining with
1254257778153214000,Sun Apr 26 03:55:31 +0000 2020,RT @ditzkoff: This ended me. ⁦@nbcsnl⁩ https://t.co/rMaqPBYlj2
1254256780454121500,Sun Apr 26 03:51:34 +0000 2020,RT @GiphyPop: this GIF will loop forever in my mind tbh  #SNLAtHome @nbcsnl #FredArmisen https://t.co/fdiWv1NpYu
1254253335684800500,Sun Apr 26 03:37:52 +0000 2020,SNL at home is the best thing to happen to SNL
1254171579447218200,Sat Apr 25 22:13:00 +0000 2020,@meaganrosae hi scorpio moon here! when I like people I text them a lot about my day, etc. but also will get moody/… https://t.co/FPyCVHilfA
1253872715762741200,Sat Apr 25 02:25:25 +0000 2020,Thanks!!!! Ocean’s is far superior. Watching Snatch now and it’s Not Great?
1253869616536981500,Sat Apr 25 02:13:07 +0000 2020,Help me solve a debate!! What’s the better 2000/2001 heist film
1253821457089605600,Fri Apr 24 23:01:44 +0000 2020,@CaitlinWolper @mekosoff also that it's still rescheduled with all the supporting artists too, but LOL I read this… https://t.co/cd3YcSWTN6
1253820804258771000,Fri Apr 24 22:59:09 +0000 2020,@astridtaran @AntOz he's not wrong
1253516078090764300,Fri Apr 24 02:48:16 +0000 2020,Should I get a switch for animal crossing lol
1253428277198196700,Thu Apr 23 20:59:23 +0000 2020,@lemonsand I LOVE DEVs so far but the music stresses me out a bit!
1253427944736710700,Thu Apr 23 20:58:04 +0000 2020,RT @MarcSnetiker: There’s been some confusion over rooming here at Shiz https://t.co/jGEoqEzb09
1253427833864515600,Thu Apr 23 20:57:37 +0000 2020,RT @MarkRuffalo: Happy Anniversary to 13 Going on 30 today! Remember what the world was like when Razzles were all the rage? Missing that t…
1253419302692089900,Thu Apr 23 20:23:43 +0000 2020,@katefeetie YAYAYAYAYAY
1253410378937065500,Thu Apr 23 19:48:16 +0000 2020,I REALLY want a hat from a Williamsburg bar. Who's selling merch??
1253357983909785600,Thu Apr 23 16:20:04 +0000 2020,someone invite me to their powerpoint party so I can make a presentation on how I know phoebe bridgers and conor oberst are dating
1253161571116814300,Thu Apr 23 03:19:35 +0000 2020,@meaganrosae Honestly haven’t had mine at all, but IUD/stress does that I guess
1253123518641975300,Thu Apr 23 00:48:23 +0000 2020,@erikawynn @Jbandos thanks I hate it
1253122097230090200,Thu Apr 23 00:42:44 +0000 2020,@mattbooshell you're the only quarantine musical I'd ever listen to
1253113651277463600,Thu Apr 23 00:09:10 +0000 2020,@alexa_harrison FOUND IT https://t.co/pzTyH7HL3t
1253112867412480000,Thu Apr 23 00:06:03 +0000 2020,@alexa_harrison Sameee
1253089717874315300,Wed Apr 22 22:34:04 +0000 2020,where can I get a fake nose ring, asking for me
1253083120842289200,Wed Apr 22 22:07:51 +0000 2020,@lemonsand Nope! So easy! I marinate cut up chicken breasts in teriyaki/soy/ginger/garlic for like 2 hours then sau… https://t.co/utRUlKp8E8
1253078094149300200,Wed Apr 22 21:47:53 +0000 2020,@lemonsand Teriyaki chicken stir fry!
1252967774802120700,Wed Apr 22 14:29:31 +0000 2020,@bfishbfish I don't have roof access but like not being able to go to the beach on the 4th is too depressing to do… https://t.co/3R7a0pYxYi
1252957977855828000,Wed Apr 22 13:50:35 +0000 2020,@astridtaran @dixiechicks it's so upsetting! Like what better time to release an album
1252948996898898000,Wed Apr 22 13:14:54 +0000 2020,WTF NO! The world needs this energy @dixiechicks. If FIONA DID IT SO CAN YOU!!!! https://t.co/YZry1As0eK
1252749775767814100,Wed Apr 22 00:03:16 +0000 2020,RT @tatianatenreyro: ICYMI, my american psycho oral history went up yesterday! https://t.co/Vvt5rixu4f
1252749601519677400,Wed Apr 22 00:02:34 +0000 2020,@shutupgunther Yes
1252684372685308000,Tue Apr 21 19:43:22 +0000 2020,RT @GemCityGem: THIS IS LITERALLY WHAT THEY DID WITH THE FLU PANDEMIC IN 1918 AND IT LITERALLY CAUSED ANOTHER UPTICK WHY IS THIS HELL WORLD…
1252683758173634600,Tue Apr 21 19:40:56 +0000 2020,how I long to be mad on a crowded subway platform, wondering where my train is
1252674907290427400,Tue Apr 21 19:05:46 +0000 2020,RT @bigu: Every Zoom after 4 p.m. now: https://t.co/LfIJ0NgFMk
1252670239264903200,Tue Apr 21 18:47:13 +0000 2020,@KirstenMuseum hahaha oh trust me MN me is ON THIS*  *EXCITED but not emotionally prepared
1252669663294754800,Tue Apr 21 18:44:55 +0000 2020,@lemonsand did you get the tornado alert too?
1252667906493755400,Tue Apr 21 18:37:57 +0000 2020,ok weather twitter, who else just got a tornado warning alert on their phone??
1252619743695118300,Tue Apr 21 15:26:34 +0000 2020,@seancchang @rachgarb @MonroeSchultz omg thank you!! This is 3 blocks from me, so feels like it's meant to be!
1252426108659658800,Tue Apr 21 02:37:07 +0000 2020,@MonroeSchultz Most importantly, have those other two people found this pizza in nyc??
1252371908395327500,Mon Apr 20 23:01:45 +0000 2020,Wow, it’s 7 already? Nothing like the sound of applause to remind you of the passage of time am I right?
1252343421894750200,Mon Apr 20 21:08:33 +0000 2020,@katefeetie I spent 2 hours today looking of pizza places
1252343319805354000,Mon Apr 20 21:08:09 +0000 2020,@bluesuedeschue Oooo that’s a great idea! Just a lot of places here have pies that are SO BIG/not the right portion… https://t.co/NxQHGPPwII
1252316496199647200,Mon Apr 20 19:21:34 +0000 2020,@lemonsand yeah! They have like super super thin slices, usually circular, but cut into squares. the triangle corne… https://t.co/s6s55zEfwu
1252315910200856600,Mon Apr 20 19:19:14 +0000 2020,@lemonsand Ahhh not quite! I think that’s more like a grandma slice.
1252312791328993300,Mon Apr 20 19:06:50 +0000 2020,ok Brooklyn. I could use your help. I'm really craving thin-crust-tavern-midwest-style pizza cut into squares. Like… https://t.co/jd5vuEhN81
1252296593077928000,Mon Apr 20 18:02:28 +0000 2020,RT @heylucymay: what is their soundcloud https://t.co/AlClmznzpH
1252295985235099600,Mon Apr 20 18:00:04 +0000 2020,@lemonsand it's honestly a lot. pretty sure someone from The Infatuation is quarantining in the same place or like a resort nearby
1252284785134841900,Mon Apr 20 17:15:33 +0000 2020,@nwalks ok so I feel the next step here is a live stream of Spiderman: Turn Off the Dark. I need it. I never saw it and I NEED IT.
1252284566020243500,Mon Apr 20 17:14:41 +0000 2020,@katefeetie did you contact crazy cat fam on insta?? they're still looking I think!
1252284147751673900,Mon Apr 20 17:13:01 +0000 2020,@erikawynn which bathrobe??
1252200342231691300,Mon Apr 20 11:40:01 +0000 2020,@lapocho ...omg?!
1251851434913665000,Sun Apr 19 12:33:35 +0000 2020,Alright twitter fam, where can I buy a really great satin/silk robe? What’s your favorite place to buy loungewear?
1251702316811591700,Sun Apr 19 02:41:02 +0000 2020,@mtedder I just adopted this nugget! https://t.co/oqzqNIrcBn
1251702061974065200,Sun Apr 19 02:40:01 +0000 2020,@astridtaran @gidglick ...should we watch panic room at brunch tomorrow?
1251701988905140200,Sun Apr 19 02:39:44 +0000 2020,@astridtaran @gidglick Omg
1251293327846248400,Fri Apr 17 23:35:51 +0000 2020,@rachsyme omg yes, thank you!
1251292687283740700,Fri Apr 17 23:33:19 +0000 2020,@astridtaran @Klee_FilmReview omg I haven't thought about that movie in YEARS. so so good
1251286878952849400,Fri Apr 17 23:10:14 +0000 2020,@rachsyme yess I need one about transformation and owning ones life
1251240172634738700,Fri Apr 17 20:04:38 +0000 2020,@bfishbfish ugh yes totally agree
1251159674142900200,Fri Apr 17 14:44:46 +0000 2020,in the mood to make tonight's facetime dinner date EXTREMELY lavish and extra. I will wear A DRESS. MAKEUP. maybe o… https://t.co/xs6UeOGeNG
1251156071051227100,Fri Apr 17 14:30:27 +0000 2020,anyone know where I can still buy dumbbell weights? 😭
1250975528682692600,Fri Apr 17 02:33:02 +0000 2020,@bluesuedeschue Is this at the broadview? Lol
1250606476021969000,Thu Apr 16 02:06:33 +0000 2020,me at 20: starting to get a little more confident, finding the best of friends at college, also getting published (… https://t.co/CyZokdm2O4
