id,created_at,text
1259354378189910000,Sun May 10 05:27:36 +0000 2020,@TS7Track3 #TaylorSwiftSpotify
1259352850578182100,Sun May 10 05:21:31 +0000 2020,@READYF0RlT all the time
1258508540911644700,Thu May 07 21:26:32 +0000 2020,@taylorswift13 YES MA’AM WE ALL ARE
1258448667326984200,Thu May 07 17:28:37 +0000 2020,@taylorswift13 I LOVE YOUUUU
1257036659612201000,Sun May 03 19:57:48 +0000 2020,@FredTJoseph My 5th grade math teacher didn’t think I’d do well in math, and even told me once to “put on your big… https://t.co/CPG5Sx8BE4
1256351306538778600,Fri May 01 22:34:28 +0000 2020,@amazonmusic anything by @taylorswift13
1256124323091316700,Fri May 01 07:32:30 +0000 2020,@stouffers 💙❤️🖤
1255553500508909600,Wed Apr 29 17:44:16 +0000 2020,@shurider17 My mom’s friend works as a firefighter, and learned from the sign in our driveway that I’m a senior. So… https://t.co/VPPPSEbIWX
1254490344307261400,Sun Apr 26 19:19:40 +0000 2020,@taylornation13 JE SUIS CALME!!! https://t.co/uIbA2Q2OEV
1254485786537459700,Sun Apr 26 19:01:33 +0000 2020,@taylornation13 @taylorswift13 @brendonurie ME!
1254288925549609000,Sun Apr 26 05:59:18 +0000 2020,@SwiftCamzz #ScooterBraunIsOverParty
1254288539723993000,Sun Apr 26 05:57:46 +0000 2020,@shiftyswifty89 I STAND WITH TAYLOR SWIFT
1253859429365223400,Sat Apr 25 01:32:38 +0000 2020,@blesstherain13 men are disgusting
1252472664914083800,Tue Apr 21 05:42:07 +0000 2020,@kjswiftie13 IDSB
1252329476857442300,Mon Apr 20 20:13:09 +0000 2020,@Everything_TN @GovBillLee if the stay at home order ends April 30th, then schools should open May 1st.
1251892511074914300,Sun Apr 19 15:16:48 +0000 2020,i just want to give taylor a hug i love her so much
1251892428027633700,Sun Apr 19 15:16:28 +0000 2020,@kjswiftie13 🤍
1251323624771981300,Sat Apr 18 01:36:15 +0000 2020,@kjswiftie13 Rep
1251321838040486000,Sat Apr 18 01:29:09 +0000 2020,@berk_rodgers https://t.co/XkwjuR3Vf1
1250609309056209000,Thu Apr 16 02:17:49 +0000 2020,@wcsSHS i made bread https://t.co/KUrOwBAM78
1250299301361680400,Wed Apr 15 05:45:57 +0000 2020,@kjswiftie13 i love me by demi lovato. she has good music but i can’t support anyone who likes scooby snack
1248982047105986600,Sat Apr 11 14:31:39 +0000 2020,@kjswiftie13 1
1248692498454794200,Fri Apr 10 19:21:05 +0000 2020,@kjswiftie13 REP
1247720303247179800,Wed Apr 08 02:57:56 +0000 2020,@wcsSHS @wcsSSMSas @wcsSHSrt 🦄❤️
1247720021981311000,Wed Apr 08 02:56:49 +0000 2020,RT @wcsSHS: Congratulations Holly! #seniors #olesparty https://t.co/wN5uyrCEJw
1247332072458309600,Tue Apr 07 01:15:15 +0000 2020,@stouffers Pink!
1246533136160297000,Sat Apr 04 20:20:33 +0000 2020,RT @GivingIsFUN13: Not many people have extra $ to donate right now, so we’d like to dedicate our twitter to retweeting swifties in need. I…
1245922779951579100,Fri Apr 03 03:55:13 +0000 2020,@noahlevy13 How you get the girl
1245922572618825700,Fri Apr 03 03:54:24 +0000 2020,@kjswiftie13 cwn
1245481567633444900,Wed Apr 01 22:42:00 +0000 2020,@almostfuckingdo dd smthng bd
1245474311730757600,Wed Apr 01 22:13:10 +0000 2020,RT @secretmoments13: my school got cancelled until the rest of the year, i’m waiting for taylor to cancel loverfest. if she’s reading this:…
1245473020371701800,Wed Apr 01 22:08:02 +0000 2020,Alright guys. If you’re in the Franklin area, please consider ordering from Ground Restaurant. They’re seriously st… https://t.co/P0AEj5Dz09
1245471249092038700,Wed Apr 01 22:01:00 +0000 2020,RT @caitie_ts13: I wish I was part of that “group” Taylor loves so much.
1245471158281085000,Wed Apr 01 22:00:38 +0000 2020,@shiftyswifty89 You’re going to be just fine. You’re doing your best and no one can ask more of you.
1245470792206430200,Wed Apr 01 21:59:11 +0000 2020,@amazonmusic DELICATE
1245470690045841400,Wed Apr 01 21:58:46 +0000 2020,@caitie_ts13 Same
1245470623192756200,Wed Apr 01 21:58:30 +0000 2020,@shurider17 Oh i hope she gets better soon!
1245443519868788700,Wed Apr 01 20:10:49 +0000 2020,RT @thelasttay: The incredible Swifties who are still working to make sure we're all safe and healthy. 💕  Nurses, teachers, cashiers, thera…
1245443454668345300,Wed Apr 01 20:10:33 +0000 2020,@thelasttay @taylornation13 @taylorswift13 Thank you so much for this. I’m a cashier at Walmart and it’s been so stressful. Thank you.
1245395843533938700,Wed Apr 01 17:01:22 +0000 2020,@everlastiing__ @dog_rates SOME ARE GOOD GIRLS
1245395810935849000,Wed Apr 01 17:01:14 +0000 2020,@BuraGOATsky65 @dog_rates SOME ARE GOOD GIRLS
1245395772943761400,Wed Apr 01 17:01:05 +0000 2020,@aksh_lcfc @dog_rates SOME ARE GOOD GIRLS
1244994338456772600,Tue Mar 31 14:25:55 +0000 2020,@peter_etheridge Rep
1244994230780657700,Tue Mar 31 14:25:30 +0000 2020,@columbusswift Red
1244994165886288000,Tue Mar 31 14:25:14 +0000 2020,@shurider17 I’d love this!
1244993995413037000,Tue Mar 31 14:24:34 +0000 2020,@noahlevy13 I’m SO PROUD NOAH
1244993000968794000,Tue Mar 31 14:20:36 +0000 2020,@stouffers Hi stouffer’s, thanks for making mac and cheese ❤️
1244729910821822500,Mon Mar 30 20:55:11 +0000 2020,@wcsSHS *mix
1244704289068650500,Mon Mar 30 19:13:22 +0000 2020,@kjswiftie13 My mom said Red
1244703983366819800,Mon Mar 30 19:12:09 +0000 2020,@kjswiftie13 Speak now
1244473476779565000,Mon Mar 30 03:56:12 +0000 2020,@berk_rodgers @jamescharles WE LOVE PERRY RODGERS
