id,created_at,text
1261330580156932000,Fri May 15 16:20:19 +0000 2020,@karlas_peter I think it would be a hit. Sorry should’ve said it&gt;&gt;&gt;&gt;&gt;&gt;liar https://t.co/b8SSg7okr6
1261330501232705500,Fri May 15 16:20:00 +0000 2020,@milascheri OMG but Idk if it is single material... (still #3 on my ranking) https://t.co/b8SSg7okr6
1261330406814736400,Fri May 15 16:19:38 +0000 2020,@mysticalyuh Yeah I think so 😭 but I think if it is promoted well, it could do good... but it’s harder for ballads… https://t.co/UGiuSnw2sP
1261330175456936000,Fri May 15 16:18:42 +0000 2020,Katy Perry’s Daisies chorus reminds me of Anne-Marie’s “Don’t Leave Me Alone” wee  But I like it and it’s a very be… https://t.co/Jl15LaYIgI
1261328575204122600,Fri May 15 16:12:21 +0000 2020,@rami_t17 I MISSED YOU OMG ❤️
1261328528370434000,Fri May 15 16:12:10 +0000 2020,@gonzaloarizag Plss https://t.co/b8SSg7okr6
1261328261298237400,Fri May 15 16:11:06 +0000 2020,If Romance had another single, which one out of these 3 would you like it to be?
1261327927217664000,Fri May 15 16:09:46 +0000 2020,@Faegon3 Imagine being tasteful* yess I am https://t.co/b8SSg7okr6
1261327193461985300,Fri May 15 16:06:51 +0000 2020,@chartdata @DUALIPA Congrats https://t.co/b8SSg7okr6
1261326423421268000,Fri May 15 16:03:48 +0000 2020,@LeniaSwift13 Perry@
1261326387723542500,Fri May 15 16:03:39 +0000 2020,Plss😭 https://t.co/LbrjIscOfq
1261326215392223200,Fri May 15 16:02:58 +0000 2020,@LeniaSwift13 OMG Well I’m 16 about to turn 17 so ✨ https://t.co/b8SSg7okr6
1261325798847504400,Fri May 15 16:01:19 +0000 2020,@LeniaSwift13 No way... I THOUGHT YOU WERE LIKE 20 or 19 WHAT
1261325549072457700,Fri May 15 16:00:19 +0000 2020,@Faegon3 Where’s the smile https://t.co/b8SSg7okr6
1261323886827909000,Fri May 15 15:53:43 +0000 2020,@stan22_matt YESS OMGG I MISSED YOU SO MUCH ❤️
1261323679411167200,Fri May 15 15:52:54 +0000 2020,@mysticalyuh @FancamCharts @bzdkarma We both going to flop now but next week we going Top 2 https://t.co/b8SSg7okr6
1261321291312828400,Fri May 15 15:43:24 +0000 2020,@Faegon3 Tea, well I’m back and I can see your smile pics yay I missed them
1261320517933576200,Fri May 15 15:40:20 +0000 2020,@DKWTDROSEANNE Perry@ https://t.co/b8SSg7okr6
1261319996870930400,Fri May 15 15:38:16 +0000 2020,@DKWTDROSEANNE But she needs to make 5 albums to exit that label I hate it here https://t.co/b8SSg7okr6
1261319803740082200,Fri May 15 15:37:30 +0000 2020,@DKWTDROSEANNE Perry@ where is sc5 https://t.co/b8SSg7okr6
1261319710139977700,Fri May 15 15:37:07 +0000 2020,@UsedToIlomilo PLSSSS
1261319675738292200,Fri May 15 15:36:59 +0000 2020,@Faegon3 Omggg yayy you’re back with those smile pics
1261319486856183800,Fri May 15 15:36:14 +0000 2020,Btw thanks to @UsedToIlomilo for sending it to me ✨
1261319406304592000,Fri May 15 15:35:55 +0000 2020,PLSS I JUST WATCHED SABRINA BEING DRUNK ON TIK TOK PLSSSSSS I LOVE IT SM https://t.co/b8SSg7okr6
1261319122211737600,Fri May 15 15:34:47 +0000 2020,@mysticalyuh No ✨ https://t.co/b8SSg7okr6
1261319054784114700,Fri May 15 15:34:31 +0000 2020,@UsedToIlomilo PLSS THE WAY I LOVE HER SO MUCH OMG
1261318645663367200,Fri May 15 15:32:53 +0000 2020,@alwyskarla THANK YOU❤️❤️
1261318604794011600,Fri May 15 15:32:44 +0000 2020,@UsedToIlomilo Pls I was inactive I couldn’t even wish her a happy bday 😭
1261318349704790000,Fri May 15 15:31:43 +0000 2020,@UsedToIlomilo NO OMG I NEED TO SEE IT OGMGMMGMG
1261317731091206100,Fri May 15 15:29:15 +0000 2020,@FancamCharts @bzdkarma I’m coming to flop bc I was inactive we https://t.co/b8SSg7okr6
1261317640355811300,Fri May 15 15:28:54 +0000 2020,@thishamelessboy I’m still trying to feel better but I think that talking to you guys helps me a lot ❤️
1261316753130389500,Fri May 15 15:25:22 +0000 2020,@thishamelessboy HIII I MISSED YOU❤️❤️❤️
1261316693223182300,Fri May 15 15:25:08 +0000 2020,@mysticalyuh Stop spilling the truth omg* https://t.co/b8SSg7okr6
1261316167567839200,Fri May 15 15:23:03 +0000 2020,Is this a Dorothy wannabe or something- https://t.co/9X5qdhmhNc
1261315749303500800,Fri May 15 15:21:23 +0000 2020,@UsedToIlomilo Weee https://t.co/b8SSg7okr6
1261315669460766700,Fri May 15 15:21:04 +0000 2020,@mysticalyuh THANK YOU I MISSED YOU SO MUCH YOU DON’T EVEN KNOW ❤️❤️
1261314868281573400,Fri May 15 15:17:53 +0000 2020,BLINDING LIGHTS* I DIDN’T MISS MY TYPOS https://t.co/b8SSg7okr6
1261314620528173000,Fri May 15 15:16:54 +0000 2020,@MisterRudeman @selsbabyy Omg https://t.co/b8SSg7okr6
1261314425723801600,Fri May 15 15:16:07 +0000 2020,RT @SabrinaAnnLynn: singing “your mother and mine” from Peter Pan tonight on The Disney Family Singalong: Volume II at 7/6c on ABC✨#DisneyF…
1261314308232921000,Fri May 15 15:15:39 +0000 2020,RT @SabrinaAnnLynn: 21 sabage 🎂 https://t.co/ms3mxuoc9V
1261314276825993200,Fri May 15 15:15:32 +0000 2020,RT @SabrinaAnnLynn: Clouds, a film based on the incredible story of Zach Sobiech’s life, is coming to @disneyplus this fall ☁️ i am so luck…
1261313929558573000,Fri May 15 15:14:09 +0000 2020,@UsedToIlomilo I’m still trying to feel better but I’m back bc I missed talking to you guys❤️❤️Ilysm
1261313532127252500,Fri May 15 15:12:34 +0000 2020,@yassslgz WEEE— OMG ILYSM ❤️❤️I MISSED YOU TOO
1261313411616514000,Fri May 15 15:12:06 +0000 2020,@LeniaSwift13 😭😭❤️❤️
1261312009766830000,Fri May 15 15:06:31 +0000 2020,@LeniaSwift13 OH MY GODD😭😭😭 BUT I’M BACK YAYY OMG I MISSED YOU SO MUCH ELENE YOU DON’T EVEN KNOW
1261311676143599600,Fri May 15 15:05:12 +0000 2020,@StanJoeAlwyn Yes I listened to it like 15 seconds https://t.co/b8SSg7okr6
1261311537769300000,Fri May 15 15:04:39 +0000 2020,@LeniaSwift13 I MISSED YOU TOO OMG, I JUST CHECKED YOUR LAST MUTUAL CHARTS NOW AND I’M ABOUT TO EXIT THE CHART WEEE
1261311279114977300,Fri May 15 15:03:37 +0000 2020,@LeniaSwift13 PERRY@ AS WE SHOULD
1261311224429654000,Fri May 15 15:03:24 +0000 2020,What the f word is this... I would like to unsee this pls https://t.co/r1SHSWeIXW
1261311081093480400,Fri May 15 15:02:50 +0000 2020,RT @CrypticNoOne: Nickelodeon might've had the biggest fall off I've ever seen
1261310925467988000,Fri May 15 15:02:13 +0000 2020,@LeniaSwift13 We coming to end overrated to this stans
1261310641291300900,Fri May 15 15:01:05 +0000 2020,I’m back which means that my classical Used To This daily hate tweets will be back soon 💖 https://t.co/zRzBc2YOX1
1261310255390171100,Fri May 15 14:59:33 +0000 2020,@LeniaSwift13 OMGGG THE WAY ILYSM ELENE I CANT 😭😭😭😭😭😭😭😭
1261310171592048600,Fri May 15 14:59:13 +0000 2020,Aitana Spanish queen ft. Taylor AOTD we would love to see it https://t.co/87Sxbfdsxx
1261310014171512800,Fri May 15 14:58:36 +0000 2020,@LeniaSwift13 Omg who is it https://t.co/b8SSg7okr6
1261309946865606700,Fri May 15 14:58:19 +0000 2020,@gwsuccesssful Perry@ https://t.co/b8SSg7okr6
1261309510204997600,Fri May 15 14:56:35 +0000 2020,@gwsuccesssful I had to make another one bc the Sue Me fancam wasn’t getting too much views and this one debuted at… https://t.co/Y9vewktMny
1261309161113075700,Fri May 15 14:55:12 +0000 2020,@gwsuccesssful I missed you too omg legend https://t.co/b8SSg7okr6
1261309089608589300,Fri May 15 14:54:55 +0000 2020,@gwsuccesssful I’m back to end your tastelessness 💖 https://t.co/b8SSg7okr6
1261308935656669200,Fri May 15 14:54:18 +0000 2020,@heswildfIower I missed you too ❤️
1261308812281217000,Fri May 15 14:53:49 +0000 2020,So... I’ve missed so much things huh... I’m aware of everything   Please don’t let a p€d0 get the #1, stream SWU, S… https://t.co/TGPHxYJ95O
1261308516427534300,Fri May 15 14:52:38 +0000 2020,@thislovel Thank you ily ❤️
1261308320150888400,Fri May 15 14:51:52 +0000 2020,@istandwith_tay ❤️❤️
1261308281047449600,Fri May 15 14:51:42 +0000 2020,@DKWTDROSEANNE ME TOO ILY ❤️
1261308251062313000,Fri May 15 14:51:35 +0000 2020,@LeniaSwift13 I MISSED YOU TOO ELENE ILYSM 💛
1261307970807349200,Fri May 15 14:50:28 +0000 2020,Thanks for all the love messages💜 I had to log out for some days bc I had some tough problems and twitter wasn’t a… https://t.co/HaVL6ma0KZ
1261307578853752800,Fri May 15 14:48:55 +0000 2020,Hi guys I’m back 🥺 how are you? I missed you ❤️
1258741577872269300,Fri May 08 12:52:33 +0000 2020,Hi guys I’m not feeling well rn, I have some hard things going on in my private life rn, so I’ll leave for some day… https://t.co/BcykaO4SXW
1258727580024426500,Fri May 08 11:56:55 +0000 2020,@anenov9 Me too tbh 😪
1258727385286967300,Fri May 08 11:56:09 +0000 2020,RT @foraIifetime: @knnewagb tmz: ariana has a new boyfriend all of us: https://t.co/eDctiCzK1B
1258722740430934000,Fri May 08 11:37:41 +0000 2020,@stan22_matt @wholedaythrough @thishamelessboy Yeah that’s right tho
1258721803440193500,Fri May 08 11:33:58 +0000 2020,RT @skinnysel: WHEN ARIANA MARRIES DALTON SO HER LAST NAME IS GOMEZ, AND HER AND SELENA DO A COLLAB CALLED "THE GOMEZES"  AND IT GOES #1 FO…
1258721595264303000,Fri May 08 11:33:08 +0000 2020,@stan22_matt @wholedaythrough @thishamelessboy Tbh in my opinion Liar was kinda generic, like it wasn’t something n… https://t.co/g9p4vFg27K
1258721373897339000,Fri May 08 11:32:16 +0000 2020,@gomezsunicorn Yasss❤️
1258717000542621700,Fri May 08 11:14:53 +0000 2020,@skinnysel Yeah exactly 😩
1258716352338165800,Fri May 08 11:12:18 +0000 2020,@Alex64471178 Ikr 😔
1258715388252246000,Fri May 08 11:08:29 +0000 2020,@Alex64471178 Shameless was lead single material 😭
1258710872396005400,Fri May 08 10:50:32 +0000 2020,RT @usedtocamriana: when camila said something was coming i didn’t think she meant a ticket refund
1258710524142981000,Fri May 08 10:49:09 +0000 2020,@rami_t17 Thank you legend 🥺❤️
1258708873331998700,Fri May 08 10:42:35 +0000 2020,@ThePopTingz @scooterbraun AREN’T THEY TIRED??? I HATE THESE R@TS SO MUCH
1258707554579996700,Fri May 08 10:37:21 +0000 2020,@julieisswiftie Wee https://t.co/6YC9vX1ZkC
1258706295739289600,Fri May 08 10:32:21 +0000 2020,RT @afterswift13: 🛴 deleted reputation from Taylor's spotify just imagine how tired we are omg  https://t.co/5EVAB9Efcc
1258706245080486000,Fri May 08 10:32:09 +0000 2020,@roseoftheparty @karlasmanners Suddenly I don’t forgive you 🥰
1258706037227610000,Fri May 08 10:31:19 +0000 2020,@Rap3dLover 😌✨
1258705845157798000,Fri May 08 10:30:33 +0000 2020,@roseoftheparty @karlasmanners Except for hatin living proof but now I forgive you 🥰
1258705445184831500,Fri May 08 10:28:58 +0000 2020,@roseoftheparty @karlasmanners Suddenly you have taste
1258705261331652600,Fri May 08 10:28:14 +0000 2020,I hate doing homework ✨🦋😍
1258705173616234500,Fri May 08 10:27:53 +0000 2020,Ok now I have to go fr, see y’all next week or next month 😍✨ https://t.co/Yijg68Fq8Z
1258704949053141000,Fri May 08 10:27:00 +0000 2020,@roseoftheparty @karlasmanners Yes it is-
1258704851971817500,Fri May 08 10:26:36 +0000 2020,@stan22_matt 😌😌✨✨
1258704250810568700,Fri May 08 10:24:13 +0000 2020,@roseoftheparty Overrated to this tease
1258704194044919800,Fri May 08 10:24:00 +0000 2020,@Preciouschipep1 Wbk
1258703910790889500,Fri May 08 10:22:52 +0000 2020,@roseoftheparty Deserves #1 yess
1258703790380912600,Fri May 08 10:22:23 +0000 2020,@roseoftheparty Crickets 🦗 https://t.co/6cTIyqww8g
1258703662190399500,Fri May 08 10:21:53 +0000 2020,@roseoftheparty LEAVE, LP HATER EW
1258703560952422400,Fri May 08 10:21:29 +0000 2020,@shawnsvelocity Literally 😭😭
1258703450419933200,Fri May 08 10:21:02 +0000 2020,Shameless, Living Proof and BKOB knowing they are the holy trinity of Romance https://t.co/n7w7MlzbEq
1258702846947725300,Fri May 08 10:18:38 +0000 2020,Living Proof haters shopping for taste https://t.co/b3d0cvb5JU
1258702353290735600,Fri May 08 10:16:41 +0000 2020,This picture is so iconic wow https://t.co/JbjHYtuKYS
1258701867296718800,Fri May 08 10:14:45 +0000 2020,@wholedaythrough Yes because I’m still crying shameless wasn’t the lead 😭😭
1258701679983280000,Fri May 08 10:14:00 +0000 2020,@LeniaSwift13 @shamelessruins @ChantelHalsey @wildinstyles @corneliastreet1 @taylorsbestday I fell down 1 spot... e… https://t.co/uLnZQydOWC
1258701505982587000,Fri May 08 10:13:19 +0000 2020,@stan22_matt Same😭😭
1258701058546819000,Fri May 08 10:11:32 +0000 2020,MAKE IT A SINGLE PLEASE 😭 @SabrinaAnnLynn https://t.co/ulTitsY9u4
1258700848533823500,Fri May 08 10:10:42 +0000 2020,@_Iamunkown_ Yeah, I just knew something was wrong the day she announced there would be 2 singles releasing at the same time tbh
1258700664764588000,Fri May 08 10:09:58 +0000 2020,@PopCrave @6ix9ine WHY, WHY DID THEY LET HIM DO THAT, EWWWW  https://t.co/b8SSg7okr6
1258699720769364000,Fri May 08 10:06:13 +0000 2020,@robbiee00 Ikr 😭😭 I just know she had amazing visuals for the tour
1258699044844703700,Fri May 08 10:03:32 +0000 2020,@StanJoeAlwyn Exactly!! The visuals were extremely beautiful and I remember that I was very hyped just bc of it 😭
1258698470673780700,Fri May 08 10:01:15 +0000 2020,@PopCrave @ArianaGrande @justinbieber YAYY CONGRATS 🥰 https://t.co/b8SSg7okr6
1258688033198669800,Fri May 08 09:19:47 +0000 2020,@PopBase WHAAAAT OMGGG😍😍😍 https://t.co/b8SSg7okr6
1258684936556548000,Fri May 08 09:07:28 +0000 2020,RT @romancemiley: camila cabello as stich; a thread: https://t.co/d65QVcdDDo
1258489350083555300,Thu May 07 20:10:17 +0000 2020,@PopBase WHAAATT— CONGRATULATIONS ❤️❤️   https://t.co/b8SSg7okr6
1258475142793040000,Thu May 07 19:13:50 +0000 2020,RT @usedtocamriana: making “jokes” about manchester will never sit right with me.
1258474798071582700,Thu May 07 19:12:27 +0000 2020,RT @afterswift13: LWYMMD, NTLTC and LYTLM knowing they are the most iconic comebacks of the last decade  https://t.co/hZ5Q6n4pIo
1258474710721081300,Thu May 07 19:12:07 +0000 2020,@PopCrave @6ix9ine Why is he still “relevant” https://t.co/b8SSg7okr6
1258474644778205200,Thu May 07 19:11:51 +0000 2020,@PopCrave @6ix9ine Ew no https://t.co/b8SSg7okr6
1258461555722793000,Thu May 07 18:19:50 +0000 2020,@PopCrave @taylorswift13 End Game getting the recognition it deserves, ended tasteless swiffers https://t.co/b8SSg7okr6
1258461282388369400,Thu May 07 18:18:45 +0000 2020,RT @SwiftCamzz: THERE'S 160 STARTS IN THE PICTURE AND I DONT KNOW WHAT TO DO WITH THIS INFORMATION https://t.co/gMLWNBi9yp
1258459702456922000,Thu May 07 18:12:28 +0000 2020,@PopBase @taylorswift13 End Game getting that recognition perry@   https://t.co/b8SSg7okr6
1258457737152925700,Thu May 07 18:04:40 +0000 2020,RT @taylorswift13: 🍷 🐍 biiig isolation 🐍 🍷 https://t.co/MJbhD8Bau1
1258457596274643000,Thu May 07 18:04:06 +0000 2020,This is so accurate 😭 https://t.co/3RpnNTXG2z
1258457534156935200,Thu May 07 18:03:51 +0000 2020,RT @floridaaakilos: we’re all making fun of X Æ A-12 like Lana Del Rey isn’t gonna name her baby Cigarette Rose or some shit
1258431898705068000,Thu May 07 16:21:59 +0000 2020,@PopBase @billieeilish @LilNasX @billioriain @Camila_Cabello @ShawnMendes @PostMalone @ArianaGrande All 5 are legen… https://t.co/OMOHE5cWdS
1258431858246914000,Thu May 07 16:21:50 +0000 2020,@PopBase @billieeilish @LilNasX @billioriain @Camila_Cabello @ShawnMendes @PostMalone @ArianaGrande 7 rings iconic https://t.co/b8SSg7okr6
1258431826370211800,Thu May 07 16:21:42 +0000 2020,@PopBase @billieeilish @LilNasX @billioriain @Camila_Cabello @ShawnMendes @PostMalone @ArianaGrande Señorita did th… https://t.co/O2xfpKGGtq
1258429511756066800,Thu May 07 16:12:30 +0000 2020,@PopCrave @katyperry NRO deserved to be the lead https://t.co/b8SSg7okr6
1258429471494996000,Thu May 07 16:12:21 +0000 2020,@PopCrave @katyperry We’ll be streaming https://t.co/b8SSg7okr6
1258426910889128000,Thu May 07 16:02:10 +0000 2020,@PopCrave @DojaCat Coming for #1 right after savage  https://t.co/b8SSg7okr6
1258416044961661000,Thu May 07 15:19:00 +0000 2020,RT @badkindofcamila: feel like shit just want her back :(💔 https://t.co/6AoqRZPipr
1258415346115117000,Thu May 07 15:16:13 +0000 2020,@LeniaSwift13 Weee
1258415283972210700,Thu May 07 15:15:58 +0000 2020,RT @badkindofcamila: when this haircut makes a comeback it’s over for all of us https://t.co/OWlQNyMjc0
1258415236459176000,Thu May 07 15:15:47 +0000 2020,@LeniaSwift13 I can confirm that
1258407672933744600,Thu May 07 14:45:43 +0000 2020,@UsedToIlomilo Weee
1258407649399447600,Thu May 07 14:45:38 +0000 2020,@LeniaSwift13 @shamelessruins @wildinstyles @ChantelHalsey @taylorsbestday Not so rare 😔✨🦋
1258407433300578300,Thu May 07 14:44:46 +0000 2020,@LeniaSwift13 @shamelessruins @wildinstyles @ChantelHalsey @taylorsbestday OMG THEN THAT THING SHOULD HAVE TAGGED ME 😭😭
1258406861029683200,Thu May 07 14:42:30 +0000 2020,@LeniaSwift13 @shamelessruins @wildinstyles @ChantelHalsey @taylorsbestday OMG I’M THERE but you didn’t tag me 😭💔
1258406522482233300,Thu May 07 14:41:09 +0000 2020,@UsedToIlomilo Actually, more than 1 swiftie 😭
1258406230302883800,Thu May 07 14:40:00 +0000 2020,@StanJoeAlwyn 😬😬
1258387297952825300,Thu May 07 13:24:46 +0000 2020,@Doody_loves_U I’ve saw 3 swifties tweeting the same thing 😭
1258386768539377700,Thu May 07 13:22:39 +0000 2020,RT @LeniaSwift13: https://t.co/RGHbJdawbU
1258386332310810600,Thu May 07 13:20:55 +0000 2020,Oomf stealing tweets to another one wee 💀 https://t.co/VhvPndJn7N
1258375899881365500,Thu May 07 12:39:28 +0000 2020,@Doody_loves_U @aricbelloswift Um-  I obviously follow more people bc I follow real celebs like taylor 😭😭and singer… https://t.co/32YQZU606x
1258375399370784800,Thu May 07 12:37:29 +0000 2020,@Doody_loves_U @aricbelloswift No bc I follow real celebs 🤡
1258374605791789000,Thu May 07 12:34:20 +0000 2020,RT @imaybebored: me pausing my music to see if my mum is really calling me or if it’s just the song
