id,created_at,text
1257671603288244200,Tue May 05 14:00:51 +0000 2020,Trend in Week 1 of #natgas utility earnings: Small/midcap #utilities issue profit &amp; revenue concerns on bad debt &amp;… https://t.co/2NbRSjFrWe
1257669098714140700,Tue May 05 13:50:54 +0000 2020,RT @SPGMI_Energy: The energy sector is being tested like never before.   What do vast behavioral shifts teach us about the response to clim…
1256378711554822100,Sat May 02 00:23:21 +0000 2020,@Allison_Good1 I would say that is a "Whoa there" pour ... if it weren't for the fact that I know you're a straight OG.
1255234976297226200,Tue Apr 28 20:38:34 +0000 2020,Clarity on how COVID-19 is impacting #natgas utilities begins here: Tulsa-based One Gas says unpaid customer bills… https://t.co/VV99q2o47S
1254819285559578600,Mon Apr 27 17:06:45 +0000 2020,What to listen for as #natgas utility earnings calls start this week amid the COVID-19 pandemic: plans for debt and… https://t.co/9IEv74tMVH
1253798044857962500,Fri Apr 24 21:28:42 +0000 2020,@TristanHallman There will always be a place for you in the Bills Mafia. And when I say a place, I mean the spot on… https://t.co/0rh8LPXjKv
1252353922158563300,Mon Apr 20 21:50:17 +0000 2020,@Allison_Good1 @oil_gonif I just learned about it from my sister. It's my next move.
1252353411686600700,Mon Apr 20 21:48:15 +0000 2020,@Allison_Good1 @oil_gonif Alas, no one in my neighborhood carries Basil Hayden, and I'm told FedEx damaged our firs… https://t.co/tAGzYRODfS
1252352493771583500,Mon Apr 20 21:44:36 +0000 2020,@MattJacksonEdD Ha! Lucky for me, I cover natural gas utilities and pipeline safety these days. But after covering… https://t.co/9YBY3WlLNU
1252322056512909300,Mon Apr 20 19:43:39 +0000 2020,Define irony: Protesters self-isolating in cars while protesting self-isolation orders. https://t.co/oXUja92eai
1252277051853353000,Mon Apr 20 16:44:50 +0000 2020,@brecht_coal @Bryan_Schutt Times like this I wish I still drove so I could credibly share in the low fuel price Twitter shenanigans.
1252267029257752600,Mon Apr 20 16:05:00 +0000 2020,CA regulators declined to launch a pilot project to electrify mobile home parks in 10-yr upgrade plan. Staff recomm… https://t.co/ThIPlkVDxP
1252264410036437000,Mon Apr 20 15:54:35 +0000 2020,CA regulators authorized #natgas &amp; electric utilities to replace aging distribution systems in mobile home parks th… https://t.co/Nm8bkhghsj
1251586534127612000,Sat Apr 18 19:00:57 +0000 2020,@typingelbow That @foimbert smile warms my heart
1251275500657541000,Fri Apr 17 22:25:01 +0000 2020,RT @SarahColeSmith: Utility regulators have 'no rules of the road' for addressing coronavirus:   https://t.co/d2SXDqP9dN  by @tdichristophe…
1251275435339591700,Fri Apr 17 22:24:46 +0000 2020,RT @newmarkjschool: Update: A private foundation will match each dollar we raise for the Future Journalist Fund. Help us help get 2020 stud…
1251158387124891600,Fri Apr 17 14:39:39 +0000 2020,COVID-19 presents an unprecedented challenge for utility regulators who must balance the interests of ratepayers an… https://t.co/7fgfIzlRUR
1249862505129824300,Tue Apr 14 00:50:17 +0000 2020,Every few years I'm reminded that I will have a crush on @LisaLoeb until the day I die. https://t.co/gzLml1mpI5
1247974014477353000,Wed Apr 08 19:46:05 +0000 2020,Gas utilities used to get a bonus tacked onto their stock valuations at UBS for improving their balance sheets sinc… https://t.co/Bzr5q8YEBX
1247971861666898000,Wed Apr 08 19:37:32 +0000 2020,Here are the oil and gas producers that bond market betters think are most likely to default on their debt, via… https://t.co/xyJXp2agXD
1247971470250258400,Wed Apr 08 19:35:59 +0000 2020,RT @DarrenSweeney24: CenterPoint executive turnover, oil exposure has analysts questioning next steps $CNP W/ @Allison_Good1 and @tdichrist…
1247560531336138800,Tue Apr 07 16:23:03 +0000 2020,RT @SPGMI_Energy: There's a crisis coming for the oil market: It's running out of storage. #Longreads #OOTT  "We may have some Permian prod…
1247248261087400000,Mon Apr 06 19:42:12 +0000 2020,Santa Cruz makes 30: California building #natgas bans &amp; electrification codes continue to advance despite COVID-19… https://t.co/9139PIvD1Z
1243530150282776600,Fri Mar 27 13:27:46 +0000 2020,Check out @SullyCNBC's fascinating interview with Scott Sheffield, where the Pioneer Natural Resources CEO names na… https://t.co/cHtQzVy45w
1243523994659238000,Fri Mar 27 13:03:18 +0000 2020,@Rachelsapin 1982 ... https://t.co/nngsunruUM
1243297647173283800,Thu Mar 26 22:03:53 +0000 2020,@ChrisHayesG @thesheetztweetz @CNBC You can take my desk, but you're going to have to pry me kicking and screaming… https://t.co/bQzf4EsSps
1243203014451740700,Thu Mar 26 15:47:50 +0000 2020,@thesheetztweetz @CNBC Well deserved. Congratulations, bud.
1242839453510533000,Wed Mar 25 15:43:11 +0000 2020,@leonorjr @booksaremagicbk @greenlightbklyn @IsaacFitzgerald It becomes a very different show in season 2, much mor… https://t.co/kbHmw1ZAWC
1242838784464621600,Wed Mar 25 15:40:31 +0000 2020,RT @SarahColeSmith: #Coronavirus is slowing the #gasban momentum and creating obstacles for #pipeline opponents:  https://t.co/0BAEcRZgbl…
1242819501659508700,Wed Mar 25 14:23:54 +0000 2020,The #natgas market will be the first in the energy complex to rebound, Goldman Sachs forecasts. A drop in gas produ… https://t.co/SPgV7sespo
1242494926341976000,Tue Mar 24 16:54:09 +0000 2020,RT @ChrisHayesG: The world we're living in... https://t.co/a9YDUdlWPu
1242129594515443700,Mon Mar 23 16:42:27 +0000 2020,@leonorjr @booksaremagicbk @greenlightbklyn @IsaacFitzgerald OMG, is this your first time watching it? If so, I am… https://t.co/SiFNHtwbL2
1242119895208337400,Mon Mar 23 16:03:55 +0000 2020,@leonorjr @booksaremagicbk @greenlightbklyn @IsaacFitzgerald HOW IS HE HOT EVEN WHILE EATING WHAT APPEARS TO BE A D… https://t.co/EXAveMgHuG
1242088206285316000,Mon Mar 23 13:57:59 +0000 2020,@leonorjr @booksaremagicbk @greenlightbklyn @IsaacFitzgerald I've been reading Isaac Asimov's "Foundation" series a… https://t.co/m2i9cSn6sQ
1242066378254934000,Mon Mar 23 12:31:15 +0000 2020,$WTI crude oil had its worst 2 weeks ever, plunging 56.5% after the OPEC+ alliance collapsed. E&amp;P and midstream ind… https://t.co/bdtNUbPHJh
1242064257916842000,Mon Mar 23 12:22:50 +0000 2020,ICYMI: #Natgas utilities will have to identify ways to "reduce or eliminate the need for gas infrastructure and inv… https://t.co/XcJQeKJEgY
1242062703830720500,Mon Mar 23 12:16:39 +0000 2020,RT @Allison_Good1: ICYMI Friday: https://t.co/L0PNBwDD6s
1239272983740457000,Sun Mar 15 19:31:18 +0000 2020,@hinx @butchoy1978 @NatashaColon_ @hotelsdotcom @CheapOair That seemed to work for this fellow @CheapOair customer.… https://t.co/H5JiCHxacq
1239272556219244500,Sun Mar 15 19:29:36 +0000 2020,@Bri_anna02 @SpiritAirlines @CheapOair @WellsFargo Thanks for the advice, Bri. I'll contact my bank as soon as I ge… https://t.co/cl6hA6uTzV
1239270202929483800,Sun Mar 15 19:20:15 +0000 2020,@MarthiaSides @CheapOair Their system seems to be breaking down, giving customers no way to reach them and process… https://t.co/8PyGrePMvP
1239270108201193500,Sun Mar 15 19:19:52 +0000 2020,@TeresaRDowling @CheapOair Their system seems to be breaking down, giving customers no way to reach them and proces… https://t.co/6eSApVXoET
1239270077796692000,Sun Mar 15 19:19:45 +0000 2020,@Bri_anna02 @SpiritAirlines @CheapOair Their system seems to be breaking down, giving customers no way to reach the… https://t.co/3sBx3wyTgu
1239270055390711800,Sun Mar 15 19:19:40 +0000 2020,@MicheleJPR @CheapOair Their system seems to be breaking down, giving customers no way to reach them and process tr… https://t.co/z9XEAqTxRv
1239269970699333600,Sun Mar 15 19:19:20 +0000 2020,@Frances63888664 @CheapOair Their system seems to be breaking down, giving customers no way to reach them and proce… https://t.co/Nfg4RoR58o
1239269935827824600,Sun Mar 15 19:19:11 +0000 2020,@channa013 @CheapOair Their system seems to be breaking down, giving customers no way to reach them and process tri… https://t.co/6EzfqWY5Mv
1239269812305608700,Sun Mar 15 19:18:42 +0000 2020,@optomatrix @Miss_HughesPE @EtihadHelp @bharani_usa @CheapOair Their system seems to be breaking down, giving custo… https://t.co/R99MVBx2Cf
