id,created_at,text
1261084333286273000,Fri May 15 00:01:49 +0000 2020,@kzadrogahart @amywilson wildwood
1261060964105027600,Thu May 14 22:28:57 +0000 2020,@winkinj I’ve watched a few of this reporter’s segments and he seems like a straight local news reporter to me. the… https://t.co/0JkBGeAVGT
1261057235658162200,Thu May 14 22:14:08 +0000 2020,news 12: "the enemy of the people" https://t.co/HdDBWzfll8
1260999886742392800,Thu May 14 18:26:15 +0000 2020,@Notteham ew
1260998607295189000,Thu May 14 18:21:10 +0000 2020,if Jenks isn't open where will all the bennies in tacky clothes hang out this summer
1260993702488617000,Thu May 14 18:01:41 +0000 2020,my favorite part of the Murphy press briefings are when we finally get to questions from the press and he's like, cmon hurry up we gotta go
1260992079079112700,Thu May 14 17:55:14 +0000 2020,@NewsFallon wow fallon bravo truly
1260992040063688700,Thu May 14 17:55:05 +0000 2020,RT @NewsFallon: E.O. #1 &amp; 2 https://t.co/sn0tRZKO1R
1260966994775625700,Thu May 14 16:15:33 +0000 2020,RT @klandergan: Meanwhile, at the Assembly remote voting session in Jersey &gt;&gt;&gt;  "Fuck him"  "Assemblyman, we can hear your line right now."
1260929135272132600,Thu May 14 13:45:07 +0000 2020,@DJX7734 the closest we could get to Murphy answering that is some stores are essential and others are not
1260696532417994800,Wed May 13 22:20:50 +0000 2020,@paulswib small business killer!
1260678545644363800,Wed May 13 21:09:22 +0000 2020,RT @Olivianuzzi: Why are you personally attacking a reporter for doing her job?
1260650289901658000,Wed May 13 19:17:05 +0000 2020,I'm going to buy so many books and pick them up at so many curbsides
1260649184450932700,Wed May 13 19:12:41 +0000 2020,@MattFriedmanNJ how about paying per web page
1260642400726327300,Wed May 13 18:45:44 +0000 2020,RT @_cingraham: https://t.co/zar7kCrT3v
1260586466423570400,Wed May 13 15:03:28 +0000 2020,RT @mccanner: She named her goats what now https://t.co/txwdZMaY7v https://t.co/EFhTltm4Xw
1260585456867082200,Wed May 13 14:59:28 +0000 2020,@sicksicksickx she can't chill! the bunnies are invading!
1260570649917096000,Wed May 13 14:00:37 +0000 2020,@jongsmjo I mean. it's objectively funny.
1260565691289276400,Wed May 13 13:40:55 +0000 2020,wildlife is beginning to take over the South Orange/Maplewood area. soon all of NJ will belong to the bunnies. https://t.co/vvWj7w8wCM
1260551692719984600,Wed May 13 12:45:18 +0000 2020,RT @northjersey: Governor Murphy, let's cut the praise and start answering the tough questions | Stile https://t.co/Sa1vmlzu3X
1260417733235220500,Wed May 13 03:52:59 +0000 2020,RT @elongreen: nope https://t.co/kVcZsXQx2E
1260386681770967000,Wed May 13 01:49:36 +0000 2020,still not over the Robert Pattinson pasta story
1260377752928125000,Wed May 13 01:14:07 +0000 2020,@amywilson @jennschiffer I covered Montclair and i’ll never forget Renee Baskerville because she always pronounced… https://t.co/RRajzddGYD
1260372587504435200,Wed May 13 00:53:36 +0000 2020,@jessiereport margot needs some decorating tips
1260283322334396400,Tue May 12 18:58:53 +0000 2020,@billrisch close, 144 headed north
1260282104518189000,Tue May 12 18:54:03 +0000 2020,sort of comforting to know that, even in the middle of all this, the Garden State Parkway remains a total disaster that can ruin your day
