id,created_at,text
1261449199469527000,Sat May 16 00:11:40 +0000 2020,@erg617 @Cellar335 @JerseyCity @JC_Upfront @TheDirtJC @StevenFulop @GovMurphy @NJGov @CityofHoboken @dontsithome… https://t.co/XBygURvy6D
1261447024492200000,Sat May 16 00:03:01 +0000 2020,@reeder1865 https://t.co/DZhgm6Mafv
1261441118115451000,Fri May 15 23:39:33 +0000 2020,BREAKING: Cocktails-to-go for takeout and delivery now legal in New Jersey, and one special bar in Jersey City had… https://t.co/7Y9ogllLU6
1261434929855860700,Fri May 15 23:14:58 +0000 2020,RT @CakeBossBuddy: Hey Everyone, the Hoboken Relief Fund benefit concert is 6:00pm Saturday Night. I’m co-hosting to help benefit local Hob…
1261434667657359400,Fri May 15 23:13:55 +0000 2020,RT @hMAG: Main Street Pops Announces Line-Up for Virtual Film Festival Launch Party  https://t.co/0XNPtJ6OR2 https://t.co/C4pHopzXQ0
1261406924962066400,Fri May 15 21:23:41 +0000 2020,Hoboken looks to expand outdoor dining on sidewalks and streets + introduce open streets liquor licenses:… https://t.co/E5OWgqFvUx
1261389056996302800,Fri May 15 20:12:41 +0000 2020,Find yourself in an emotional rut while staying home? Here’s how to avoid it: https://t.co/vHWGTPoP40 https://t.co/kZCso3Zei7
1261385376280842200,Fri May 15 19:58:03 +0000 2020,Tonight's song pick — “I Want U Back” by the Jackson 5 🎶: https://t.co/3oLmMhuYKq https://t.co/qacNVtL5JN
1261356424690622500,Fri May 15 18:03:01 +0000 2020,The list of #COVID19 antibody tests that are currently FDA-approved: https://t.co/vNjYugxkBt https://t.co/zCPPEKUoxh
1261335944004882400,Fri May 15 16:41:38 +0000 2020,Chipped tooth? Toothache? This directory shows open dentist offices in #HudsonCounty: https://t.co/tZMeXzwIkH https://t.co/5KqL4WJAtP
1261314389719879700,Fri May 15 15:15:59 +0000 2020,Salt + Seed in #JerseyCity has launched a virtual vegan market🎉The store is accepting orders through 5/17 for deliv… https://t.co/rAKhCAxuGx
1261308211271008300,Fri May 15 14:51:26 +0000 2020,RT @LushDecor: Spring Interior Design Trends to Bring Your Home Decor to The Next Level - https://t.co/NdGIvHHLFf via @thehobokengirl  #Hom…
1261252424880308200,Fri May 15 11:09:45 +0000 2020,Exciting news🚨Sirenetta Seafood + Raw Bar🦞 is showing signs of progress at the former Maxwell’s location at 10th +… https://t.co/gQkXEJ6PAw
1261057154427093000,Thu May 14 22:13:49 +0000 2020,All the resources to virtually learning a language in #Hoboken + #JerseyCity: https://t.co/njBxWEgsRw https://t.co/WXZqplc74c
1261045074462486500,Thu May 14 21:25:49 +0000 2020,#Hoboken to close #AdamsStreet this weekend to continue "open streets" pilot: https://t.co/IAhtJqpK0c https://t.co/MWX48g1Y2K
1261038202187546600,Thu May 14 20:58:31 +0000 2020,Giving birth during a pandemic — a local mom shares her unique story: https://t.co/EWOKwyDUwF https://t.co/I5L45JVbd8
