id,created_at,text
1258867581634609200,Fri May 08 21:13:14 +0000 2020,RT @RoyalFamily: "Never give up, never despair - that was the message of VE Day"  An address by Her Majesty The Queen on the 75th anniversa…
1258649458344185900,Fri May 08 06:46:30 +0000 2020,We recognise the victory of democracy over dictatorship, of freedom over fascism, of liberty over tyranny – and cel… https://t.co/8p3dwkjQHa
1258649457043869700,Fri May 08 06:46:29 +0000 2020,We reflect on the sacrifices made on the battlefield, at sea, in the air and at home – and we pay tribute to those… https://t.co/Fco9YkM7fX
1258649456007921700,Fri May 08 06:46:29 +0000 2020,On VE Day, we commemorate all those who fought and died for the cause of freedom during the Second World War (1/3)
1257945768226369500,Wed May 06 08:10:17 +0000 2020,The UK can be the catalyst for multilateral cooperation in the 2020s and beyond – my piece for @thetimes on the glo… https://t.co/3R2CWNWqsf
1255754230096449500,Thu Apr 30 07:01:53 +0000 2020,Delighted to be working with @JDRFUK to champion its global programme of research into type 1 diabetes. 400,000 peo… https://t.co/zdVQSiDOdn
1247258167140114400,Mon Apr 06 20:21:34 +0000 2020,My thoughts and prayers are with @BorisJohnson and his family as he continues to receive treatment in hospital.  Th… https://t.co/KPfMBQvpku
1229411393897738200,Mon Feb 17 14:24:52 +0000 2020,It was a pleasure to speak at the Global Women’s Forum Dubai about the contribution of women to business and societ… https://t.co/FCbRkEfVqs
1229315151129694200,Mon Feb 17 08:02:26 +0000 2020,RT @DXBMediaOffice: .@HHShkMohd, in the presence of @HamdanMohammed, @sheikhmansoor &amp; @MMbinRashid, meets with  @theresa_may, on the sideli…
1223292541556183000,Fri Jan 31 17:10:44 +0000 2020,At 11pm tonight, Britain will leave the European Union. After more than three years, we can finally say that we hav… https://t.co/b7kJVzsFeS
1200139015170736000,Thu Nov 28 19:46:53 +0000 2019,When Nancy Astor became the first woman to take her seat in the House of Commons, our country and our democracy wer… https://t.co/V3cfagWK6T
1197595022801227800,Thu Nov 21 19:17:58 +0000 2019,Particularly enjoyed campaigning with @ScotTories colleagues this week @KerrForStirling, @LukeGrahamOSP,… https://t.co/ck9kRCNyy1
1197592111757119500,Thu Nov 21 19:06:24 +0000 2019,I’ve been out supporting our great @Conservatives candidates across the UK the last couple of weeks. The message on… https://t.co/ohUQ6yqvjn
1196909300700078000,Tue Nov 19 21:53:09 +0000 2019,Tonight’s #LeadersDebate has shown very clearly: the only way to get Brexit done and move our country forward is to… https://t.co/mKxMerlNAs
1194946315572134000,Thu Nov 14 11:52:57 +0000 2019,On #WorldDiabetesDay I’m supporting the 420 million people worldwide living with #diabetes, many of whom do not hav… https://t.co/PbzOTgusMW
1190585406867300400,Sat Nov 02 11:04:15 +0000 2019,Well done @EnglandRugby. Not the outcome we were hoping for today but incredibly proud of your performance througho… https://t.co/sAXhqPX1gs
1179705458845720600,Thu Oct 03 10:31:13 +0000 2019,I'm pleased the Domestic Abuse Bill has passed its second reading in the House of Commons. Around 2 million adults… https://t.co/afyyDsYRmo
1167019873987432400,Thu Aug 29 10:23:14 +0000 2019,Sorry to see @RuthDavidsonMSP step down as Leader of @ScotTories. Thank you for all you've done for our party and o… https://t.co/dhr9473ZmT
1154034955539796000,Wed Jul 24 14:25:48 +0000 2019,I will continue to do all I can to serve the national interest, and play my part in making our United Kingdom a gre… https://t.co/uxriDZ3iKN
1154021364514402300,Wed Jul 24 13:31:48 +0000 2019,RT @10DowningStreet: WATCH LIVE: PM @Theresa_May makes her final statement as Prime Minister https://t.co/2lScHKecRq
1153999851270627300,Wed Jul 24 12:06:19 +0000 2019,At its heart, politics is about the difference we make every day to the lives of people up and down this country.… https://t.co/3uYykE6197
1153677412317745200,Tue Jul 23 14:45:04 +0000 2019,Many congratulations to our new @Conservatives candidates on their selection: 🔵@simonfell in Barrow and Furness 🔵… https://t.co/eVy7GtlUlV
1153622066157015000,Tue Jul 23 11:05:08 +0000 2019,Many congratulations to @BorisJohnson on being elected leader of @Conservatives - we now need to work together to d… https://t.co/F0ugZw9UE1
1153580479234355200,Tue Jul 23 08:19:53 +0000 2019,At a time of unimaginable loss, no parent should have to worry about meeting the costs of their child’s funeral. Th… https://t.co/87ikRNknY2
