id,created_at,text
1259645639236911000,Mon May 11 00:44:58 +0000 2020,A clever and worthwhile read... Cops Break Up an Amish Barn Party for Violating Ohio's Stay-at-Home Order https://t.co/yCVsCFlOYu
1259252109243015200,Sat May 09 22:41:13 +0000 2020,@JamesAGagliano @Comey @ChuckRossDC Apparently the standard of justice is: “it’s a close one.” Sounds a lot like: “… https://t.co/pxLXDMC5ai
1259122882539634700,Sat May 09 14:07:43 +0000 2020,Did The Mueller Team Violate Brady and Flynn Orders? – JONATHAN TURLEY https://t.co/gC9HR9vGxs
1258993764628078600,Sat May 09 05:34:39 +0000 2020,RT @CraigRSawyer: Grateful to see the reactions to pur team’s hard work over the past 3 years. I hope everyone takes a moment to TAKE ACTIO…
1258993586672205800,Sat May 09 05:33:56 +0000 2020,RT @CraigRSawyer: After 3 long years of hard work &amp; overcoming every attack against us, #Contraland, our child trafficking expose’ document…
1258988411978997800,Sat May 09 05:13:22 +0000 2020,RT @CraigRSawyer: Here’s my 1-min INTRO vid for #Contraland. Please visit our TAKE ACTION page on our https://t.co/wF3ZJn4Zfe  site after y…
1258986032013488000,Sat May 09 05:03:55 +0000 2020,@maxmartinila @CraigRSawyer Well, c’mon, Martini, help put it out there. You’re almost like a kind of a famous dude… https://t.co/o8GgE3XtEG
1258904042861998000,Fri May 08 23:38:07 +0000 2020,@CraigRSawyer Thanks for doing what you’re doing. 🙏
1258900064614920200,Fri May 08 23:22:19 +0000 2020,Please watch #Contraland and support the cause in any way you can. Spread the message! #Retweet #post @CraigRSawyer… https://t.co/WDEM6N0Lxh
1258774286644514800,Fri May 08 15:02:31 +0000 2020,RT @JamesAGagliano: Excellent @Heminator deep-dive into Flynn interview FD-302 irregularities. Quoted @bakeassociates and me on FBI process…
1258575399732293600,Fri May 08 01:52:13 +0000 2020,@ShannonBream Anyone invested in justice and the rule of law has high hopes, but sadly, low expectations of what co… https://t.co/oSDa9Bghff
1258571222167814100,Fri May 08 01:35:37 +0000 2020,RT @GenFlynn: My grandson Travis...“and JUSTICE for ALL” ⚖️❤️🙏🇺🇸 https://t.co/IuOGugjOC3
1258570702577455000,Fri May 08 01:33:33 +0000 2020,RT @JamesAGagliano: Two men involved in fatal shooting of Ahmaud Arbery have been arrested, GBI says. https://t.co/amiX0YQ9xp
1258477106549440500,Thu May 07 19:21:38 +0000 2020,@JamesAGagliano @keithboykin Have you read the actual motion to dismiss (with prejudice)?  Pretty damning stuff in… https://t.co/CCYcegGoFf
1258470298590077000,Thu May 07 18:54:35 +0000 2020,Apparently the link didn't stick the first time... https://t.co/ua6MMVRojr
1258266669715251200,Thu May 07 05:25:26 +0000 2020,@therachelife https://t.co/GdAJPaGa36
1258247050157789200,Thu May 07 04:07:28 +0000 2020,Interesting results from law enforcement officers who were polled about their opinions regarding enforcement decree… https://t.co/G2J65veyWB
1258154470850138000,Wed May 06 21:59:35 +0000 2020,Seems to be exactly the type of high-threat situation where a mine resistant armored personnel carrier was the only… https://t.co/gIvdDyVPo0
1258069933424103400,Wed May 06 16:23:40 +0000 2020,@JamesAGagliano Agreed. It’s just sad we are currently faced with so many instances where the truth must be spoken… https://t.co/HpGo72jxlk
1258068289374339000,Wed May 06 16:17:08 +0000 2020,@JamesAGagliano is not one to speak these words lightly... Michael Flynn was railroaded by Comey's FBI https://t.co/u42JtAvPBg
1257759513962336300,Tue May 05 19:50:10 +0000 2020,Interesting take... #BackTheBlue https://t.co/UAznu4igm8
1257422144318902300,Mon May 04 21:29:35 +0000 2020,Jim Clemente &amp; Tim Clemente Go Over "Call Me God," Their Audible Audiobook https://t.co/p42ZQl2q1v via @YouTube
1257303663032316000,Mon May 04 13:38:47 +0000 2020,@CarnivoreMD @unlocklevels is doing just that.  @joshuasforrest
1257303121363157000,Mon May 04 13:36:38 +0000 2020,@CarnivoreMD @joshuasforrest @unlocklevels
1257151810185330700,Mon May 04 03:35:22 +0000 2020,Is this not the definition of doublespeak? The second paragraph sure seems to counter the first. Is there consensus… https://t.co/Ko03BYe5Cn
1256958735743963100,Sun May 03 14:48:10 +0000 2020,People need to be treated like free, thinking, adults, not as the sheep-like subjects of omnipotent royal overlords… https://t.co/cOGWGKUhrJ
1256811964954787800,Sun May 03 05:04:57 +0000 2020,#ChooseASide #NYPD Support the liberty of the people you serve, or enforce edicts that violate those people’s… https://t.co/dGwMatz08A
1256795192306348000,Sun May 03 03:58:18 +0000 2020,⁦@Twitter⁩ is its own worst enemy. Either #LetPeopleSpeak or #ShutTwitterDown. All this #Censoring of differing opi… https://t.co/0AH5XmjAPF
1256792846255960000,Sun May 03 03:48:59 +0000 2020,RT @TimRunsHisMouth: San Diego County now has an INDEFINITE stay-at-home order.  They have a population of 3.3 million with 3,711 confirmed…
1256792318046240800,Sun May 03 03:46:53 +0000 2020,The #facts about #COVID__19 become clearer by the day. The #hysteria has led to #tyranny and the tyranny is leading… https://t.co/D1NScNatM2
1256790505544921000,Sun May 03 03:39:41 +0000 2020,This was very easy to predict. #ChooseASide https://t.co/ARxn70RhO4
1256689565223567400,Sat May 02 20:58:35 +0000 2020,#ChooseASide
1256632839925305300,Sat May 02 17:13:10 +0000 2020,RT @dbongino: The Constitution is not a suggestion. And it has no asterisks.
