id,created_at,text
984588347665469400,Fri Apr 13 00:25:29 +0000 2018,#bethekali #bethedurga...
484127170827395100,Wed Jul 02 00:11:26 +0000 2014,@VIA_Rail details emailed.
484123793087287300,Tue Jul 01 23:58:01 +0000 2014,@VIA_Rail thanks I can buy my own food I was waiting for the car5 meal cart to at least come and ask us if we wanted anything.
484123007074709500,Tue Jul 01 23:54:54 +0000 2014,@VIA_Rail they just announced saying we will get discount next trip... That's it.
484122735053131800,Tue Jul 01 23:53:49 +0000 2014,@VIA_Rail ...they moved us to car1.. For meals they said you can come and buy it from us anytime. It should have been informed.
484109440313225200,Tue Jul 01 23:00:59 +0000 2014,@VIA_Rail ... Don't we deserve our meal service? Very disappointed with the service at end of my trip..
484108470661414900,Tue Jul 01 22:57:08 +0000 2014,Montreal-Toronto train#67 car5 no AC, we were then moved to car1... We have not even been offered meal service yet cause we were moved car1?
484104813068963840,Tue Jul 01 22:42:36 +0000 2014,@VIA_Rail ...we got moved to car#1 but no meal service for those who got scattered in the train.. Perfect! Thanks@VIA_Rail  good service 👎
484082736832192500,Tue Jul 01 21:14:52 +0000 2014,@via_rail... You can't have full train capacity and half air conditioning capacity 👎 Montreal-Toronto train #67
437314256225460200,Sat Feb 22 19:53:38 +0000 2014,#WhatsApp ... So you sold your soul? 😡
437095179515076600,Sat Feb 22 05:23:06 +0000 2014,Imtiaz Ali, highway was a disappointment! You can do better.
414978963472384000,Mon Dec 23 04:41:09 +0000 2013,@TorontoHydro ... Any updates on power around Mabelle Avenue?
414428557121970200,Sat Dec 21 16:14:02 +0000 2013,Lazy weekend 😍
361623539067002900,Sun Jul 28 23:05:45 +0000 2013,Just completed a 4.92 km walk with @RunKeeper. Check it out! http://t.co/expp8W4MSr #RunKeeper
360889495308087300,Fri Jul 26 22:28:55 +0000 2013,Just completed a 1.81 km walk with @RunKeeper. Check it out! http://t.co/ce2YGFnfQf #RunKeeper
360525589238657000,Thu Jul 25 22:22:53 +0000 2013,Just completed a 2.70 km walk with @RunKeeper. Check it out! http://t.co/XZOF7G8VoH #RunKeeper
360155699117953000,Wed Jul 24 21:53:04 +0000 2013,Just completed a 1.08 km walk with @RunKeeper. Check it out! http://t.co/5FXQs6mePv #RunKeeper
355355049280536600,Thu Jul 11 15:57:00 +0000 2013,@hormazbaria really?
347851649190080500,Thu Jun 20 23:01:10 +0000 2013,Just completed a 0.67 km walk with @RunKeeper. Check it out! http://t.co/nTQT8wN8JZ #RunKeeper
346755838142210050,Mon Jun 17 22:26:48 +0000 2013,Just completed a 3.24 km walk with @RunKeeper. Check it out! http://t.co/gjzkpFKtR1 #RunKeeper
346351645279535100,Sun Jun 16 19:40:41 +0000 2013,Just completed a 1.98 km walk with @RunKeeper. Check it out! http://t.co/k3tXie1Emp #RunKeeper
345663601878630400,Fri Jun 14 22:06:39 +0000 2013,Just completed a 0.30 km walk with @RunKeeper. Check it out! http://t.co/Zj9lcZlO8H #RunKeeper
342770570548613100,Thu Jun 06 22:30:47 +0000 2013,Just completed a 2.26 km walk with @RunKeeper. Check it out! http://t.co/AH0J3ULv5C #RunKeeper
342764159445893100,Thu Jun 06 22:05:18 +0000 2013,Just completed a 3.41 km walk with @RunKeeper. Check it out! http://t.co/JplajSxOp7 #RunKeeper
341684400074915840,Mon Jun 03 22:34:43 +0000 2013,Just completed a 3.48 km walk with @RunKeeper. Check it out! http://t.co/ULSGoVHHZH #RunKeeper
340693409746530300,Sat Jun 01 04:56:53 +0000 2013,Just completed a 4.79 km walk with @RunKeeper. Check it out! http://t.co/vUL4Pnseb3 #RunKeeper
339872212834205700,Wed May 29 22:33:44 +0000 2013,Achieved a new personal record with @RunKeeper: Average pace... http://t.co/9PJa5Gb2DJ #FitnessAlerts
339872136804069400,Wed May 29 22:33:26 +0000 2013,Just completed a 3.63 km walk with @RunKeeper. Check it out! http://t.co/KBSdKcirdN #RunKeeper
338075562797060100,Fri May 24 23:34:29 +0000 2013,Just completed a 1.39 km walk with @RunKeeper. Check it out! http://t.co/cGWnIVQowI #RunKeeper
337701897320398850,Thu May 23 22:49:41 +0000 2013,Just completed a 3.16 km walk with @RunKeeper. Check it out! http://t.co/hq03iFvVT1 #RunKeeper
337366458969505800,Thu May 23 00:36:46 +0000 2013,Just completed a 1.48 km walk - Feel so lame walked only for 15 mins today :(  http://t.co/BdSiKeO5JD #RunKeeper
336666947066404860,Tue May 21 02:17:09 +0000 2013,@AshishSidapara .. Always ;)
336666303173640200,Tue May 21 02:14:36 +0000 2013,@AshishSidapara, lol.. all I need is to know the right direction towards Singapore ;) considering how geographically challenged I am ;)
336634977225674750,Tue May 21 00:10:07 +0000 2013,Just completed a 4.16 km run with @RunKeeper. Check it out! http://t.co/wYxny1wcff #RunKeeper
336338407733223400,Mon May 20 04:31:39 +0000 2013,Just completed a 6.38 km run with @RunKeeper. Check it out! http://t.co/Z28QVJTz9O #RunKeeper
335951607369973760,Sun May 19 02:54:39 +0000 2013,Just completed a 5.08 km run with @RunKeeper. Check it out! http://t.co/pyoqHiYotx #RunKeeper
335184201286578200,Fri May 17 00:05:15 +0000 2013,Just completed a 3.16 km run with @RunKeeper. Check it out! http://t.co/g4woetfMKf #RunKeeper
334458456222359550,Wed May 15 00:01:24 +0000 2013,Just completed a 1.37 km walk with @RunKeeper. Check it out! http://t.co/zgn5RakkJQ #RunKeeper
334426232684945400,Tue May 14 21:53:21 +0000 2013,Just completed a 1.51 km walk - Not so happy walking  in this cold weather :(  http://t.co/Z65pqCK512 #RunKeeper
334078051379994600,Mon May 13 22:49:48 +0000 2013,Just completed a 3.54 km walk - Legs hurting :(  http://t.co/3e0YvlH4pz #RunKeeper
334077966126559200,Mon May 13 22:49:28 +0000 2013,Achieved a new personal record with @RunKeeper: Average pace... http://t.co/RhYVFLZU9n #FitnessAlerts
333313985719959550,Sat May 11 20:13:41 +0000 2013,90 mins of hot Hatha... Simply amazing :)
333243990314999800,Sat May 11 15:35:33 +0000 2013,@cutebabein ... Thank you love...
333056917805088800,Sat May 11 03:12:11 +0000 2013,@AshishSidapara ... I know ;)
333055886622875650,Sat May 11 03:08:05 +0000 2013,@AshishSidapara ... App to count your calorie mote .. Tu bhi Kaam kar..
333054733273137150,Sat May 11 03:03:30 +0000 2013,@AshishSidapara ...yeah got him on salad to start with... Slow and steady ;)
333053757409595400,Sat May 11 02:59:38 +0000 2013,@AshishSidapara ... Done :)
333046970262384640,Sat May 11 02:32:40 +0000 2013,@AshishSidapara ... Hahahaha... That's going to be a long wait..
333026194838667260,Sat May 11 01:10:06 +0000 2013,@AshishSidapara thanks dude... Hope to stay strong and continue :) tomorrow hot yoga ;)
332991574394929150,Fri May 10 22:52:32 +0000 2013,My first 5k :) http://t.co/KUImmsnTKx
332991529314578400,Fri May 10 22:52:21 +0000 2013,Just completed a 5.70 km walk - Painful http://t.co/RbdmbBM4Fb #RunKeeper
332656500285775900,Fri May 10 00:41:04 +0000 2013,First day :( already dead :(  http://t.co/7Y0omAMnSi
292800191294214140,Sun Jan 20 01:06:20 +0000 2013,@AshishSidapara you bet...
292797346473996300,Sun Jan 20 00:55:01 +0000 2013,@AshishSidapara ... Nope just wanna bypass few unwanted things during the journey ... I'm not worried about aging :)
292786649333628900,Sun Jan 20 00:12:31 +0000 2013,need an express lane in life ...
288788764480917500,Tue Jan 08 23:26:21 +0000 2013,@Jisshesh love you my brother
243505777137037300,Thu Sep 06 00:27:56 +0000 2012,Hate these unending demands...
208753171571556350,Sat Jun 02 02:53:29 +0000 2012,Now I wish I was in ontoes!!!!
208752714983809020,Sat Jun 02 02:51:40 +0000 2012,Dire Straits on Friday evening... Loving it...
205831631808901120,Fri May 25 01:24:19 +0000 2012,@AshishSidapara happywala birrrrday dude!!!
205828838876381200,Fri May 25 01:13:13 +0000 2012,Tom Hardy... I dream of you !!! :)
