id,created_at,text
1259497747356496000,Sun May 10 14:57:17 +0000 2020,RT @topos_ai: 1/ We took a look at the #COVID19 testing levels of re-opened states and how well they are doing compared to the recommended…
1259251999423565800,Sat May 09 22:40:47 +0000 2020,RT @topos_ai: Here we examine testing, #COVID19 related deaths, and populations below the poverty line  Many counties with a high percentag…
1258903946334212000,Fri May 08 23:37:44 +0000 2020,7/ Explore more mapping of #COVID19 and demographic data at https://t.co/jB2A0y33wx
1258903820287041500,Fri May 08 23:37:14 +0000 2020,6/ We use https://t.co/6eKFLRW9cc @COVID19Tracking daily test increase values to track the 3-week period between April 24  to May 8.
1258903262494949400,Fri May 08 23:35:01 +0000 2020,5/ Most of the states fail to meet the recommended number and haven’t really increased testing levels after reopeni… https://t.co/osFPrCodSS
1258902957921271800,Fri May 08 23:33:49 +0000 2020,4/ #NorthDakota is the only state in this group that has an upward testing trend, even going beyond the recommended… https://t.co/iV3jYMKrMW
1258902769567744000,Fri May 08 23:33:04 +0000 2020,Overview of all states: those that have lighter backgrounds and black borders (#Alaska, #SouthDakota, #NorthDakota,… https://t.co/MJ5HssS8db
1258900665453219800,Fri May 08 23:24:42 +0000 2020,According to Harvard (https://t.co/5H9m7iOMER), the number of tests needed to safely re-open our economy is 152 tes… https://t.co/36z0FhMcSr
1258899588616007700,Fri May 08 23:20:25 +0000 2020,1/ We took a look at the #COVID19 testing levels of re-opened states and how well they are doing compared to the re… https://t.co/bM9TlSxQsv
1258539796974071800,Thu May 07 23:30:44 +0000 2020,5/ Side by side view of the percentage of the population under the poverty line and #COVID19 tests per 100K people… https://t.co/pwbIlM32PT
1258537429973098500,Thu May 07 23:21:20 +0000 2020,4/ Randolph County, #GA and Lowndes County, #AL are showing the highest fatality rates. Explore more mapping of… https://t.co/Joiburxkwr
1258537266344939500,Thu May 07 23:20:41 +0000 2020,3/ As well as high #COVID19-related fatality rates. https://t.co/E8bmzL71gk
1258537133851070500,Thu May 07 23:20:09 +0000 2020,2/ Some of these same counties are also displaying high #COVID19 cases per capita. https://t.co/LjVZ0z16Lh
1258537010580484000,Thu May 07 23:19:40 +0000 2020,Here we examine testing, #COVID19 related deaths, and populations below the poverty line  Many counties with a high… https://t.co/GpGp1THCh5
1258484114182877200,Thu May 07 19:49:28 +0000 2020,We are using HIFLD and USDA data. See  https://t.co/HMEAmFBC2x for full list of our data sources
1258482852674646000,Thu May 07 19:44:28 +0000 2020,We are mapping US locations of meat processing plants, prisons/jails, and nursing homes with county-level #COVID19… https://t.co/4IulLoEvlv
1258229921870200800,Thu May 07 02:59:24 +0000 2020,you can explore more mapping of #COVID19 and other related data and insights on https://t.co/HMEAmFBC2x
1258229723697684500,Thu May 07 02:58:37 +0000 2020,We also mapped the location of meat processing plants, prisons/jails and nursing homes in Nebraska where #COVID19 i… https://t.co/wAAexwsWoy
1258229549567037400,Thu May 07 02:57:56 +0000 2020,Here is a current snapshot of #Nebraska in #COVID19 cases per capita https://t.co/uzDm73gPg1
1258229110771507200,Thu May 07 02:56:11 +0000 2020,As of 5/4/2020: Top 20 highest #COVID19 growth counties and Top 20 highest #COVID19 total case counties in #Nebraska https://t.co/KlbA8uzBoL
1258228357218664400,Thu May 07 02:53:11 +0000 2020,Governor Pete Ricketts’ main criteria for re-opening was the health care capacity in the state (e.g., hospital beds… https://t.co/bqF8J9srs4
1258228005438214100,Thu May 07 02:51:47 +0000 2020,On May 4, #Nebraska re-opened places of worship, restaurants, and personal care businesses in 10 out of 17 localiti… https://t.co/SlWI5GFmob
1258227808146423800,Thu May 07 02:51:00 +0000 2020,We used county-level data to identify where in the country the growth of new #COVID19 cases is the highest. The top… https://t.co/L3YMiYWAuQ
1258184297732849700,Wed May 06 23:58:07 +0000 2020,Using aggregated job postings from @EmsiData, we analyzed how demand for U.S. jobs shifted in response to milestone… https://t.co/jQqiKVO6b3
1257822844026839000,Wed May 06 00:01:49 +0000 2020,Explore more mapping of #COVID19 and demographic data https://t.co/HMEAmFBC2x
1257822711503638500,Wed May 06 00:01:18 +0000 2020,Close-ups on a few states in the process of reopening, but who could see cases rise if these facilities help spread… https://t.co/WMh1IVX6EP
1257820456142475300,Tue May 05 23:52:20 +0000 2020,Counties where the population is more than 30,000 https://t.co/9StX6W1sX0
1257818343295369200,Tue May 05 23:43:56 +0000 2020,Here’s a breakdown of each layer: counties with 10 or fewer cases, locations of nursing homes, locations of meat pr… https://t.co/9E4slNlBep
1257818049190727700,Tue May 05 23:42:46 +0000 2020,The next wave of #COVID19? These are counties with 10 or fewer cases (as of today), showing locations of nursing ho… https://t.co/PmSVgu9IiH
1257744110737330200,Tue May 05 18:48:58 +0000 2020,You can explore our #COVID19 map and see more insights on https://t.co/HMEAmFBC2x
1257695639250468900,Tue May 05 15:36:21 +0000 2020,As was indicated 1 week ago, https://t.co/TSXOxzXImt, a worrisome trend in case rates and preexisting vulnerabiliti… https://t.co/EUaqTdLCdI
1257481669004734500,Tue May 05 01:26:07 +0000 2020,We use @COVID19Tracking daily values to track the 14-day period between April 19 to May 2.   source: https://t.co/6eKFLRW9cc
1257481264929607700,Tue May 05 01:24:31 +0000 2020,Overview of new case trends in all states (the ones opening today are highlighted) https://t.co/ntlY0vck8o
1257480246443626500,Tue May 05 01:20:28 +0000 2020,#Nebraska (fail) #NewHampshire (fail) #WestVirginia (fail) https://t.co/m7LjXfPf3L
1257479794234720300,Tue May 05 01:18:40 +0000 2020,#Florida (fail) #Indiana (fail) #Kansas (fail) #Missouri (fail) https://t.co/wtKUNHRuz1
1257478627656118300,Tue May 05 01:14:02 +0000 2020,The CDC’s proposed criteria for reopening states (https://t.co/gsqg8mkLnm) recommends a downward trajectory of… https://t.co/KQA8kx1hO6
1256605601947365400,Sat May 02 15:24:56 +0000 2020,We worked on a SIRD model with county-level spatial features related to #COVID19  to develop an understanding of th… https://t.co/LzAeEbXkCg
1256320609069314000,Fri May 01 20:32:29 +0000 2020,We took a look at mobility data in #Georgia after reopening. Two weekends compared: the change in the percentage of… https://t.co/de18sHQrtI
1255642550443970600,Wed Apr 29 23:38:07 +0000 2020,High COVID-19 Vulnerability Seen In and Near Navajo Nation and Hopi Reservation in Arizona https://t.co/xcABg8ywi0… https://t.co/4CK7wqTh4i
1255582934381105200,Wed Apr 29 19:41:13 +0000 2020,In partnership with @EmsiData we're continuing to explore the impact of COVID-19 on nationwide jobs and will be mon… https://t.co/Z88WMVyEjB
1253802657896005600,Fri Apr 24 21:47:02 +0000 2020,RT @mahir_nyc: We are partnering with @SafeGraph and adding mobility data to our #COVID19 compiler.   The image below shows % of Mobile Dev…
1253759128524087300,Fri Apr 24 18:54:04 +0000 2020,RT @WillShap: Really nice write-up on the #covid19 compiler the team at @topos_ai  has been working on from @cooperunion: https://t.co/bvBb…
