id,created_at,text
1253788050745892900,Fri Apr 24 20:49:00 +0000 2020,Y 400081 is not serviced by any grocery delivery apps @mybmc @mybmcWardT https://t.co/AEfHCHwxjT
1245427570692092000,Wed Apr 01 19:07:26 +0000 2020,RT @DjokerNole: Checking in. How’s everyone doing at home? https://t.co/oQy9aSZJRp
1245427299152879600,Wed Apr 01 19:06:21 +0000 2020,RT @DrRebellious: My mom is a #DOCTOR. She stays away from ME to Help u. Can you please #StayAtHome to HELP Her ?? #COVID19Pandemic #Lockdo…
1245427200616059000,Wed Apr 01 19:05:58 +0000 2020,RT @friendsofrss: Jihadis attacked on health workers in Silawat Pura area, Indore. Health workers were on duty to find out the positive cas…
1245426951335997400,Wed Apr 01 19:04:58 +0000 2020,India we are yet not "flatnning the curve" stay home,stay safe! https://t.co/k1UAqxsdVk
1245377263215861800,Wed Apr 01 15:47:32 +0000 2020,https://t.co/XObIYRFZVh
1227109716016283600,Tue Feb 11 05:58:49 +0000 2020,@airindiain Why does national carrier wants Indians to travel to Singapore at the risk of Corona Virus threat to In… https://t.co/UyC1S3FqBR
1211302560805441500,Sun Dec 29 15:06:50 +0000 2019,RT @atptour: "If you're enjoying the process, trying to embrace the pain then I guess it hurts less. But it definitely hurts, I mean they s…
1208090615033909200,Fri Dec 20 18:23:42 +0000 2019,@DjokerNole @MubadalaWTC One fun superstition fact @DjokerNole since your comeback, whenever you have changed your… https://t.co/TrgELhJSRh
1172137568495755300,Thu Sep 12 13:19:08 +0000 2019,@DjokerNole Yess, do get back and let world order stay correct the way it is! Best wishes for recovery @DjokerNole
1167371677468110800,Fri Aug 30 09:41:11 +0000 2019,@ATP_Tour @DjokerNole Ohh yes!
1154380459683401700,Thu Jul 25 13:18:43 +0000 2019,RT @udaykotak: For time immemorial, India and China each accounted for over 25% of global GDP. During the colonial era, their share shrunk…
1148781947465822200,Wed Jul 10 02:32:14 +0000 2019,@Wimbledon @DjokerNole The Best Elastic Robot on Planet!
1127979796946800600,Mon May 13 16:51:55 +0000 2019,@KedarRele @ImRo45 @mipaltan Damm cool!
