id,created_at,text
1261434836469739500,Fri May 15 23:14:35 +0000 2020,@splashthatcat @CeceTea4 Hahaha, i don’t think it’s your energy but just that the combo of CBD and coke makes ones… https://t.co/SO6G0ExwsM
1261402403745575000,Fri May 15 21:05:43 +0000 2020,I hate that learning new things also means finding out how dumb you were before.
1261394390796218400,Fri May 15 20:33:52 +0000 2020,Would be a nice day for Robert Pattinson to say something crazy. JUST SAYIN.
1261387288887488500,Fri May 15 20:05:39 +0000 2020,If they're going to put red tape around student loan forgiveness, do everything you can to make sure you qualify.
1261387288174452700,Fri May 15 20:05:39 +0000 2020,I applied for general forbearance just in case bc idk.
1261386471329525800,Fri May 15 20:02:24 +0000 2020,My loans are on a "COVID-19-related administrative forbearance" and idk if that's included in the bill?
1261385826623053800,Fri May 15 19:59:51 +0000 2020,Apply for deferment or forbearance today. https://t.co/sI14f7qfPn
1261372074569764900,Fri May 15 19:05:12 +0000 2020,I truly didn’t have money on haircuts being politicalized during the pandemic. https://t.co/KwE4G5ob5t
1261363392230469600,Fri May 15 18:30:42 +0000 2020,@splashthatcat I thought you meant the drug at first!!!
1261358028961403000,Fri May 15 18:09:23 +0000 2020,@splashthatcat The fact that tweets about layoffs are intercut with tweets about Bezos being a trillionaire is so bleak.
1261353974763937800,Fri May 15 17:53:17 +0000 2020,The layoffs this week have been devastating.
1261345299030671400,Fri May 15 17:18:48 +0000 2020,RT @treytylor: What do we do now that there are 32 editors left and 253789439 freelance writers
1261172940239859700,Fri May 15 05:53:55 +0000 2020,I’m going to be living room-bound for so long and that living room could be in Iowa and I’d be paying much less in rent is all I’m saying!!!
1261172935873577000,Fri May 15 05:53:54 +0000 2020,I’ve always had a vision of myself as a “city girl” and it’s like what will that even mean for the unforeseeable future?
1261172925119361000,Fri May 15 05:53:51 +0000 2020,It’s just dawning on me that I pay LA rent bc I like having access to the weird events that happen here and I proba… https://t.co/iFvK60cvXK
1261114150958203000,Fri May 15 02:00:18 +0000 2020,Sharing this piece by @waouwwaouw bc I think about it all the time.  https://t.co/m01qv4HEte
1261112030179676200,Fri May 15 01:51:52 +0000 2020,@clairecdowns This was a great read! ❤️❤️
1261111869051269000,Fri May 15 01:51:14 +0000 2020,RT @clairecdowns: “What Calloway and other celebrity drop-ins to OnlyFans fail to realize is that sex work is actual, serious labor, not a…
1261105371751477200,Fri May 15 01:25:25 +0000 2020,@LaurenRowello Yes!!! I had to tap out of those press briefings/rallies, but her lip syncs really tap into the absu… https://t.co/a1s3z1F0zH
1261104108917805000,Fri May 15 01:20:24 +0000 2020,https://t.co/V68rxTb9zG https://t.co/qpBfVZ1zb9
1261103067551821800,Fri May 15 01:16:16 +0000 2020,At this point, Sarah Cooper’s videos are the only digestible way to listen to Trump talk about the pandemic. https://t.co/FKYcSJFfGl
1260985264740069400,Thu May 14 17:28:09 +0000 2020,@gabebergado I'm so sorry, Gabe! You're such a talent and I can't wait to see what you do next! ❤️❤️
1260633206761508900,Wed May 13 18:09:12 +0000 2020,Honestly the added privacy looks like an improvement. https://t.co/XnTQ9DeJeR
1260390775491158000,Wed May 13 02:05:52 +0000 2020,Snack Factory put her whole pussy into these. https://t.co/HqG7msFskN
1260373940091801600,Wed May 13 00:58:58 +0000 2020,~~ my tweet made it babies ~~ https://t.co/x2EFS9jMCe
1260319255226007600,Tue May 12 21:21:40 +0000 2020,@roxana_hadadi @pajiba YES!!! When Archie died, I was like... does this show even know what this show is?
