id,created_at,text
1210232480772640800,Thu Dec 26 16:14:43 +0000 2019,EL-KUUMBA TAPE VOL. 1  @oliverelkhatib    https://t.co/1M4Jdf6y6D
1157002907449008000,Thu Aug 01 18:59:23 +0000 2019,October’s Very Own proudly presents the grand opening of our OVO Eaton Centre location.  Saturday, August 3 at 9:30… https://t.co/bDFKexaq4T
1149340321064661000,Thu Jul 11 15:31:00 +0000 2019,October’s Very Own presents the Ninth Annual OVO Fest.  Tickets available via @Ticketmaster Friday at 10am. https://t.co/uSmgBkeuR7
1143610249959657500,Tue Jun 25 20:01:45 +0000 2019,Dream it. Live it. Breathe it. Earn it.  Please welcome October's Very Own co-founder Oliver El-Khatib… https://t.co/HYHGKEqFHI
1135271944864043000,Sun Jun 02 19:48:18 +0000 2019,Nike Air Jordan “Final Fours” https://t.co/gt4IAK5WLY
1128696586832437200,Wed May 15 16:20:11 +0000 2019,OVO x DSQUARED2 2019.  Available exclusively in-store and online at OVO Friday, May 17. https://t.co/5fRLHblwHV
1111717080024404000,Fri Mar 29 19:49:41 +0000 2019,OVO Kids now available online.  https://t.co/v0cxFfcpqM https://t.co/RCsIRKexgZ
1095742232760602600,Wed Feb 13 17:51:20 +0000 2019,So Far Gone: 10th anniversary. Available for streaming on all platforms Thursday at midnight. https://t.co/B1td5eggv4
1092832399522709500,Tue Feb 05 17:08:42 +0000 2019,OVO x BE@RBRICK by MEDICOM TOY.  1000% size and a set of 400% &amp; 100% available Friday, February 8. https://t.co/55MDTVr60E
1072868840747360300,Wed Dec 12 15:00:39 +0000 2018,The OVO x Murakami Collection will be exclusively available at our new Vancouver store opening this Saturday, Decem… https://t.co/Co3Ls4Cjue
1056588696265351200,Sun Oct 28 16:49:10 +0000 2018,OVO SOUND RADIO: EPISODE 69 (Explicit) Now Playing on Apple Music. https://t.co/r8G2LIJKmV https://t.co/m3Y8aXK6nP
1055897199022878700,Fri Oct 26 19:01:24 +0000 2018,Tune into OVO Sound Radio Episode 69 tomorrow at 3pm PST / 6pm EST / 10pm GMT @applemusic @beats1 #ovosoundradio https://t.co/zKsLxVqVYc
1046413871093878800,Sun Sep 30 14:58:02 +0000 2018,OVO SOUND RADIO: EPISODE 68 (Explicit) Now Playing on Apple Music. https://t.co/ntHhZQUnJ4 https://t.co/xCnZFG3Ff9
1045827320576127000,Sat Sep 29 00:07:18 +0000 2018,Tune into OVO Sound Radio Episode 68 tomorrow at 3pm PST / 6pm EST / 10pm GMT @applemusic @beats1 #ovosoundradio https://t.co/j4PCoanA4w
1041434409520386000,Sun Sep 16 21:11:26 +0000 2018,OVO SOUND RADIO: EPISODE 67 (Explicit) Now Playing on Apple Music. https://t.co/w9yXbHT1Tw https://t.co/jYpAx6xdb7
1040676671257497600,Fri Sep 14 19:00:27 +0000 2018,Tune into OVO Sound Radio Episode 67 tomorrow at 3pm PST / 6pm EST / 10pm GMT @applemusic @beats1 #ovosoundradio https://t.co/z5wz5IcL8Y
1040633128203763700,Fri Sep 14 16:07:26 +0000 2018,Govi &amp; Lou Val in Kensington Market. Team OVO Chenille Hoodie and more available now.   https://t.co/oTf5OX67Ps https://t.co/Pwpu5Zn10C
1035559175538044900,Fri Aug 31 16:05:21 +0000 2018,OVO Collegiate Collection.  New colours available now.  https://t.co/v0cxFfcpqM https://t.co/SuqNy8sCen
1033021400884359200,Fri Aug 24 16:01:09 +0000 2018,OVO x Canada Goose 2018.   Available In-store and Online now.   https://t.co/oTf5OX67Ps https://t.co/4TjZWR3csR
1032295122031890400,Wed Aug 22 15:55:10 +0000 2018,OVO x Canada Goose 2018.   Available In-store and Online Friday, August 24. https://t.co/a7UsQC1B6o
1031903706092978200,Tue Aug 21 13:59:50 +0000 2018,OVO x Canada Goose 2018  Available In-store and Online Friday, August 24. https://t.co/sMsSD8qJIs
1031571244813041700,Mon Aug 20 15:58:45 +0000 2018,OVO x Canada Goose 2018.   Coming Soon. https://t.co/IuIGikQ850
1026531361060880400,Mon Aug 06 18:12:03 +0000 2018,OVO SOUND RADIO: EPISODE 66 Now Playing on Apple Music. https://t.co/v1wistdPqy https://t.co/lj4EHVufTg
1025457336444313600,Fri Aug 03 19:04:15 +0000 2018,OVO Sound Radio Episode 66 tomorrow at 3pm PST / 6pm EST / 10pm GMT @applemusic @beats1 #OVOSOUNDRADIO https://t.co/5Fi5sUodYD
1024778235505254400,Wed Aug 01 22:05:45 +0000 2018,Available In-store and Online Friday, August 3. https://t.co/tuX2slisra
1022558009493475300,Thu Jul 26 19:03:22 +0000 2018,OVO “City Pack” Windbreaker Suits.   Available Tomorrow. https://t.co/OmqyQHXv9y
1017211594940518400,Thu Jul 12 00:58:37 +0000 2018,OVO SOUND RADIO: EPISODE 65 Now Playing on the OVO Blog. https://t.co/jNSUpDEDM3 https://t.co/tFaJrlRO8E
1015369929867096000,Fri Jul 06 23:00:30 +0000 2018,Tune into OVO Sound Radio Episode 65 tomorrow at 3pm PST / 6pm EST / 10pm GMT @applemusic @beats1 #ovosoundradio https://t.co/MTtTnrkXQx
1005886745580359700,Sun Jun 10 18:57:43 +0000 2018,OVO SOUND RADIO: EPISODE 64 Now Playing on the OVO Blog. https://t.co/vqFL46Nw9s https://t.co/L6jBzEWf1R
1005164002568126500,Fri Jun 08 19:05:47 +0000 2018,Tune into OVO Sound Radio Episode 64 tomorrow at 3pm PST / 6pm EST / 10pm GMT @applemusic @beats1 #ovosoundradio https://t.co/3IM5OKxg90
1001163937499435000,Mon May 28 18:10:58 +0000 2018,OVO SOUND RADIO: EPISODE 63 Now Playing on the OVO Blog. https://t.co/3CAWa52SRw https://t.co/vQTl7fEess
1000143920712433700,Fri May 25 22:37:47 +0000 2018,Drake - Duppy Freestyle now playing on the OVO Blog. https://t.co/NnHrLbCvie https://t.co/BVnuIyc6N2
