id,created_at,text
1260021514314723300,Tue May 12 01:38:33 +0000 2020,RT @jimcramer: I think it is sad that you can't just cheer on @Elon and hope that the local officials say "we will make this happen."  Peop…
1259684507382190000,Mon May 11 03:19:25 +0000 2020,RT @davidehrlich: someone tell Michael Jordan the coronavirus said it was better than him
1259613702342365200,Sun May 10 22:38:03 +0000 2020,Stayed up till 3 last night with the kids, catching Mother’s Day dinner. 🐸 https://t.co/t9GsAZNliz
1259301675212259300,Sun May 10 01:58:10 +0000 2020,2019 me would have thought my wife was about to rob a cookie store. https://t.co/FG65FlccKN
1259198661361193000,Sat May 09 19:08:50 +0000 2020,@ScottWarner18 This guy @PhillyD
1259173281426403300,Sat May 09 17:27:59 +0000 2020,@JazzedPodcast Hot Rod Hundley
1258976453019877400,Sat May 09 04:25:51 +0000 2020,Went golfing with my buddies today. Shot an 80 and had a good time. Get outside (safely), it’s therapeutic. https://t.co/XdvVjOLKJU
1258943044591616000,Sat May 09 02:13:06 +0000 2020,Happy #VEDay! 🇺🇸  We had the privilege to see what’s inside the WWII Memorial in Washington, DC. Thanks to all our… https://t.co/k3pJrtJqbU
1258936629546242000,Sat May 09 01:47:37 +0000 2020,@erikanderslang Keep the Vlogs coming!
1258914094175805400,Sat May 09 00:18:04 +0000 2020,This guy @DALLMYD knows all the scuba tricks! 🤿⌚️ https://t.co/xXhOcE0Zxh https://t.co/6oqh9HFXGE
1258905751365402600,Fri May 08 23:44:55 +0000 2020,@MarkRober I like where this is headed.
1258898450122289200,Fri May 08 23:15:54 +0000 2020,@ShaunMcKnight8 @KamriNoel @BYU https://t.co/MRktK6EQ6W
1258876438523990000,Fri May 08 21:48:26 +0000 2020,@BenSullins @XpengMotors I advise you to not go to China rn
1258856387234283500,Fri May 08 20:28:45 +0000 2020,RT @DALLMYD: Checkout @whatsinside's rescue mission video!! I can't believe I found his gold Apple Watch underwater after is was lost 9 mon…
1258855215286980600,Fri May 08 20:24:06 +0000 2020,@TeslaratiApp @Teslarati True.
1258790430419726300,Fri May 08 16:06:40 +0000 2020,@DALLMYD @elonmusk Scuba Jake ➡️ Moon Jake https://t.co/bxJrbKD0ix
1258756635834511400,Fri May 08 13:52:23 +0000 2020,My video of the final RESCUE MISSION for my Gold Apple Watch that I (such a dummy) dropped to the bottom of a lake:… https://t.co/flWnRlvJKi
1258754268305080300,Fri May 08 13:42:58 +0000 2020,Unreal! @DALLMYD Found my watch in a lake, @ZacksJerryRig freaking fixed it!!! Zacks video here:… https://t.co/15AqMMm7iZ
1258746836048769000,Fri May 08 13:13:26 +0000 2020,Legend. Jake Found my Lost Gold Apple Watch!!!!!!! 👇🏼👇🏼 https://t.co/ROB0XnRp3a
1258649250734370800,Fri May 08 06:45:40 +0000 2020,@ZacksJerryRig Why would you put an Apple watch under water for 9 months? Geez.
1258579673723752400,Fri May 08 02:09:12 +0000 2020,@BenSullins @dezmondOliver The best food!!!
1258553940330770400,Fri May 08 00:26:56 +0000 2020,Elon announced today the Next Gen Roadster is pushed to 2022. The Founders series deposit in 2017 was a crazy $250k… https://t.co/i8dnZbWlau
1258499565952499700,Thu May 07 20:50:52 +0000 2020,pushed back to 2022....play sad music.... https://t.co/zJSSu6IBZy
1258491119765094400,Thu May 07 20:17:19 +0000 2020,@MKBHD But....what’s inside?
1258137759811657700,Wed May 06 20:53:11 +0000 2020,🚜🔊🚙 https://t.co/MY3CC9OBAN https://t.co/icJ8cOZ1FL
