id,created_at,text
1253275963770769400,Thu Apr 23 10:54:09 +0000 2020,RT @WarnerMusicSwe: Finish the Sentence med otroligt talangfulla @wiffygriffy finns att se nu!💥 https://t.co/1R2KZk3jUs https://t.co/wi1ve3…
1253275372994601000,Thu Apr 23 10:51:48 +0000 2020,RT @ClashMagazine: Get to know Griff - pop's most switched-on newcomer...  https://t.co/2qQ3gVkdFb https://t.co/4jDTX4LFBD
1253266947648770000,Thu Apr 23 10:18:19 +0000 2020,When @AppleMusic puts good stuff my song on hottest songs https://t.co/AmOYLGFSMS
1246856823145214000,Sun Apr 05 17:46:46 +0000 2020,Giving trims now https://t.co/JxyfExsBDV
1246441046168526800,Sat Apr 04 14:14:37 +0000 2020,#facemask #QuaranQueen https://t.co/EgZ5kKOkII
1245130918710427600,Tue Mar 31 23:28:39 +0000 2020,RT @WEAMusic: Après sa participation sur l’album de @ninhosdt, découvrez le “Take Away Show” de la @blogotheque du dernier titre du talent…
1245130622328279000,Tue Mar 31 23:27:28 +0000 2020,@sophnorton Ah yes this makes me happy. Thankyou x
1245130556968501200,Tue Mar 31 23:27:12 +0000 2020,@Introducingbhb @quarrywastaken @ottamusic @Jay_Lewn @KbandWiin @GraceAckerman @holidayoscar @TheAmberSimone… https://t.co/1gFf1jJsGG
1245130497241555000,Tue Mar 31 23:26:58 +0000 2020,RT @Introducingbhb: And we played tracks from  @quarrywastaken @ottamusic @Jay_Lewn  @KbandWiin  @GraceAckerman  @holidayoscar  @theambersi…
1245130303338938400,Tue Mar 31 23:26:12 +0000 2020,Quarantine outfit https://t.co/cY9bxWj5WB
1245129559021936600,Tue Mar 31 23:23:14 +0000 2020,RT @connorfranta: Black&amp;White  *portraits, by me https://t.co/0WpMjDYblq
1243204157374369800,Thu Mar 26 15:52:23 +0000 2020,https://t.co/zenoz5ZVyp  @blogotheque thanks for having me!!
1240946796454707200,Fri Mar 20 10:22:26 +0000 2020,‼️‼️UPDATE‼️‼️🔈 Next week has been postponed, but I’m gonna live stream next week instead cus I don’t have anything… https://t.co/wGrqSEnM3p
1237817893565464600,Wed Mar 11 19:09:18 +0000 2020,@sevenrings__ SO HAPPY YOU LOLE THE NUSKC
1236424913453551600,Sat Mar 07 22:54:05 +0000 2020,RT @jamesbatum: @wiffygriffy congrats for your song with @ninhosdt ! Fire 🔥👏
1236424842477539300,Sat Mar 07 22:53:48 +0000 2020,@xmegananniex Thankyou!! ❤️❤️
1232035508131369000,Mon Feb 24 20:12:09 +0000 2020,RT @BBCR1MusicBot: Now Playing Griff - Good Stuff @wiffygriffy
1228044415329034200,Thu Feb 13 19:52:59 +0000 2020,RT @Introducingbhb: #np Griff - Good Stuff @wiffygriffy   https://t.co/P7BHL99Qqw
1227610041131376600,Wed Feb 12 15:06:56 +0000 2020,Big big thank you to @BBCR1, @MayaJama, @dev_101, @Alicelevine, @grimmers, @AnnieMac &amp; @claraamfo for playing Good… https://t.co/Sh3QU2Ewjd
1227563710245458000,Wed Feb 12 12:02:50 +0000 2020,I’m one of @rebecca_judd ’s #AscendingArtists on @Beats1 this week! Listen in at 3pm to discover #MeIn10 🙂 https://t.co/Y3WtV2d9wI
1226957580414718000,Mon Feb 10 19:54:17 +0000 2020,@BBCR1MusicBot So surreal!!! Thankyou!!!!
1226957525720936400,Mon Feb 10 19:54:04 +0000 2020,RT @BBCR1MusicBot: Now Playing Griff - Good Stuff @wiffygriffy
1225858070804410400,Fri Feb 07 19:05:14 +0000 2020,Good stuff is out now!! Really really hope you like https://t.co/SJEcpNwYm3
1225830292432224300,Fri Feb 07 17:14:51 +0000 2020,RT @SpotifyUK: @AnneMarie @larouxofficial @GreenDay @raye @YoungAdz1 @POPSMOKE10 @obongjayar Give #GoodStuff the thumbs up, the new track f…
1225830223465324500,Fri Feb 07 17:14:34 +0000 2020,@Introducingbhb @BBCR1 ❤️
1225830194524627000,Fri Feb 07 17:14:27 +0000 2020,RT @bbcintroducing: Raw, empowered pop with a global reach and a homespun touch - meet the newest addition to the @BBCR1: @wiffygriffy You…
1225830153282031600,Fri Feb 07 17:14:18 +0000 2020,RT @complex_uk: Premiere: Multi-disciplined soul singer Griff (@wiffygriffy) copes with separation by remembering the "Good Stuff"  https:/…
1223184720068071400,Fri Jan 31 10:02:17 +0000 2020,‼️🎫hey check out this link for tickets to my show on march 25th @omearalondon 🎫‼️https://t.co/Th0Qc4tUvC https://t.co/vWBCkordYv
1221734729914966000,Mon Jan 27 10:00:33 +0000 2020,‼️‼️LONDON SHOW. SAVE THE DATE AND TELL ALL YOUR FRIENDS ‼️‼️TICKETS ON SALE FRIDAY https://t.co/HEJEQMmPlW
1219232579586420700,Mon Jan 20 12:17:53 +0000 2020,Big big big thanks to @HenrieVIII for having me on @ReprezentRadio the other weeekkk https://t.co/ODsIrgWxnf
1213182739467440000,Fri Jan 03 19:37:59 +0000 2020,RT @NME: @wiffygriffy Congrats! You're in the #NME100 – the essential new artists set to take over 2020. Check out the full list https://t.…
1205520777375895600,Fri Dec 13 16:12:05 +0000 2019,Thankyou @Deezer !!! https://t.co/WHuRnQkL0e
1194673044683460600,Wed Nov 13 17:47:04 +0000 2019,EP ARTWORKKKK https://t.co/iqEFugzt3K
1194528252934709200,Wed Nov 13 08:11:43 +0000 2019,Fun fact I wrote paradise coming up to 3 years ago https://t.co/yN7xZOnI8H
1190289351109959700,Fri Nov 01 15:27:50 +0000 2019,RT @AmazonMusicUK: No need to look any further, #Paradise is right 👇 @wiffygriffy brings pure delight to your ears. Listen to her latest tr…
1189572352339632000,Wed Oct 30 15:58:44 +0000 2019,Live version of paradise!! Up now https://t.co/35NflfnT1b https://t.co/qO5wBqh5tR
1187331433326633000,Thu Oct 24 11:34:07 +0000 2019,Single number 3 coming Fridayyyyy friends https://t.co/gx3czquulg
1187331308541874200,Thu Oct 24 11:33:38 +0000 2019,RT @LiveNationUK: #LNpresale: Don't miss @wiffygriffy at London's @HoxtonHall on 27th November ❤️️ Grab tickets 👉 https://t.co/ck5scPtqw3 h…
1186215998325690400,Mon Oct 21 09:41:47 +0000 2019,RT @LiveNationUK: NEW: @wiffygriffy will take over London's  @HoxtonHall on 27 Nov! Grab tickets in our #LNpresale starting 9am Thursday 👉…
1186215974019719200,Mon Oct 21 09:41:41 +0000 2019,RT @LNSource: NEW: @wiffygriffy will take over London's @HoxtonHall on 27th November ❤️️  Our presale starts Thursday at 9am &gt; https://t.co…
1182416911696572400,Thu Oct 10 22:05:34 +0000 2019,@aimie12xx Yessss defo more music real soon xxx
1182416643999355000,Thu Oct 10 22:04:30 +0000 2019,@SRA @brckhmptn @emawk8 @weareweslee @PurpleDiscoM @RealHamzaa @ianndior @BombayBicycle @maemuller_ @SandTGofficial Thankyou !! ☺️☺️
1182416576357773300,Thu Oct 10 22:04:14 +0000 2019,RT @haveYheard: RADAR: @wiffygriffy is the multi-hyphenate, London-based artist you need to keep an eye on. https://t.co/aGMI3ZPI6Y https:/…
1182416482191495200,Thu Oct 10 22:03:52 +0000 2019,@sunsetsari Thanks for your support!! 🥰
1182416415074279400,Thu Oct 10 22:03:36 +0000 2019,RT @JaguarWorldwide: 🔥 Issa #BBCMusicDay Hot List 🔥   @iamphoebeaxa  @wearellovers  @wiffygriffy  @MasterPeaceLDN  @olihannaford  @soda_nao…
1182416306039087000,Thu Oct 10 22:03:10 +0000 2019,@nbhap @SportsTeam_ @TadhgDalyMusic @squidbanduk Ahhh thankyou!!! ❤️
1182416237265064000,Thu Oct 10 22:02:53 +0000 2019,@ListOf_Erins Yessss thankyou 😘😘
1182416183804473300,Thu Oct 10 22:02:41 +0000 2019,@sad_ryugi Hahah thankssssss!!! 😄🥰
1182416072655462400,Thu Oct 10 22:02:14 +0000 2019,@lisanlah @faouziaofficial @hitzdotmy No way!! 😱😱thanks!! @hitzdotmy
1182415873681830000,Thu Oct 10 22:01:27 +0000 2019,RT @Introducingbhb: A busy show this evening with @Danny_Fullbrook and @JaguarWorldwide 🤯  The lovely @wiffygriffy stops by, @tommyMeles pr…
1182415854157348900,Thu Oct 10 22:01:22 +0000 2019,@Introducingbhb @Danny_Fullbrook @JaguarWorldwide @tommyMeles @DeclanMcKenna @byfyn1 @onlysunofficial… https://t.co/Fxzr5Xg51W
1180862650776989700,Sun Oct 06 15:09:29 +0000 2019,Made a feathered number https://t.co/28DOWhk3lH
1180149509663395800,Fri Oct 04 15:55:43 +0000 2019,@MollieKing thank you so so much for all the support!! https://t.co/ndLboCsdQN
1175051892398989300,Fri Sep 20 14:19:37 +0000 2019,1000 head nods from @IziahYarde https://t.co/ncttbOMJzK
1172063261220593700,Thu Sep 12 08:23:52 +0000 2019,RT @AudiationMag: My mind is all over the place. Husky verses turn into sweet, exquisite highs. Pulling herself up through a difficult time…
1172063240119050200,Thu Sep 12 08:23:46 +0000 2019,@AudiationMag Thankyou!!
1172063103200235500,Thu Sep 12 08:23:14 +0000 2019,RT @Introducingbhb: YAAAS thank you @huwstephens for playing some of our local acts on his @bbcintroducing show on @BBCR1 ❤️  👑 @JGrrey13 👑…
1171176437325414400,Mon Sep 09 21:39:56 +0000 2019,Click on the link if you wanna see how we got 10000000 pearls to fall from thin air https://t.co/jpdIIxxQk8
1171113320801345500,Mon Sep 09 17:29:08 +0000 2019,@laurenaquilina @whereisMUNA @orlagartland @taylorswift13 @MileyCyrus @PostMalone @deyyessmusic @GabrielleAplin… https://t.co/F4exykA9gr
1170996754327773200,Mon Sep 09 09:45:56 +0000 2019,@sunsetsari Thankyou !!!☺️☺️☺️
1170022619380408300,Fri Sep 06 17:15:05 +0000 2019,RT @melisonfire: New Friday home for @BBCR1 Best New Pop &amp; BIG start for @MollieKing   TY POPSTARS 🙏🏻💘👏🏻  @Camila_Cabello  @Louis_Tomlinson…
1170022306401439700,Fri Sep 06 17:13:50 +0000 2019,Can’t get enough of a polaroid can I https://t.co/QMEFM7YLAr
1169311904516497400,Wed Sep 04 18:10:57 +0000 2019,I hope you’re loving the new single this much https://t.co/mn6nygKVDR
1168807484649353200,Tue Sep 03 08:46:34 +0000 2019,@lilmoonlight24 Glad you found it too ☺️❤️
1168807450440622000,Tue Sep 03 08:46:26 +0000 2019,@aimie12xx Heyy!! Thankyou ☺️☺️
1168807374137827300,Tue Sep 03 08:46:08 +0000 2019,@A1234music @eakayamusic @YourGirlGrae @sum1dateme @tomtripp @milk4eva @BennySingsmusic @wethecoterie @tatemcrae… https://t.co/pq7yoPsSh9
1168807244374429700,Tue Sep 03 08:45:37 +0000 2019,RT @FMSmag: On Repeat!! Griff Shares 'Didn't Break It Enough' &amp; We Can't Stop Listening To It... #onrepeat #griff @wiffygriffy #didntbreaki…
1168807228276711400,Tue Sep 03 08:45:33 +0000 2019,@kasual_kook @inglewoodSiR @DUCKWRTH @tatemcrae @iamDelaneyJane @astridsofficial @charli_xcx @HAIMtheband @oneruel… https://t.co/hqMuWMtehk
1168484460872044500,Mon Sep 02 11:22:59 +0000 2019,RT @warnermusicde: "Didn’t Break It Enough", stellt Griff @wiffygriffy mit Blick auf ihr gebrochenes Herz fest. Hier gibt's das Musikvideo…
1168281708992577500,Sun Sep 01 21:57:19 +0000 2019,@NylonMag @ezrafurman @deb_never @vagabonvagabon @SherylCrow @sudanarchives @sasamiashworth @madge_music… https://t.co/SsDwM9zuI1
1168281564083630000,Sun Sep 01 21:56:45 +0000 2019,RT @NylonMag: A roundup of our favorite releases this week, including @ezrafurman @deb_never @vagabonvagabon @wiffygriffy @sherylcrow @suda…
1167477362663051300,Fri Aug 30 16:41:08 +0000 2019,https://t.co/c9heJ4fQ4s go have a watch🤟🏼
1167415401891979300,Fri Aug 30 12:34:55 +0000 2019,Single number 2. Wrote this by myself a few months back. Go on, have a listen cus it’s out right now… https://t.co/ks5lsBd9aL
1167396979850252300,Fri Aug 30 11:21:43 +0000 2019,@MissVogueUK THANKS FOR PREMIERING SINGLE #2 !!!
1167396750954520600,Fri Aug 30 11:20:49 +0000 2019,RT @MissVogueUK: "I was looking around shops and felt uninspired so I thought I’d make my own clothes. My best friend and I bought a bunch…
1167101088463560700,Thu Aug 29 15:45:57 +0000 2019,@MTVMusicUK BIG THANKYOU ☺️
1167101031261585400,Thu Aug 29 15:45:44 +0000 2019,RT @MTVMusicUK: Fresh off her A-levels and now fresh in our ears, we're chatting to @wiffygriffy in this week's #MTVPUSH Get To Know &gt;&gt;&gt; ht…
1166739462791073800,Wed Aug 28 15:48:59 +0000 2019,Videos out on Friday. Until then enjoy 11 seconds of teaser 🤟🏼🤟🏼 https://t.co/Ch6zPYqSG4
