id,created_at,text
1260991669735837700,Thu May 14 17:53:36 +0000 2020,Maggots one Maggots all https://t.co/UuPYWQer6H
1260991485899534300,Thu May 14 17:52:52 +0000 2020,RT @atrupar: Dr Rick Bright: "Without better planning, 2020 could be the darkest winter in modern history ... we have the world's greatest…
1260991418807378000,Thu May 14 17:52:36 +0000 2020,RT @mkraju: Lindsey Graham announces broad probe into how the Russia probe got started and whether Mueller was needed. “The Judiciary Commi…
1260991404861354000,Thu May 14 17:52:33 +0000 2020,RT @Patta47cake: @mkraju Individual 1 tagged lapdog Lindsey in his tweet, and so he just jump at it.
1260991240021016600,Thu May 14 17:51:54 +0000 2020,RT @atrupar: With the economy in ruins thanks to a coronavirus pandemic he was unprepared for and has no plan to get the country out of, Tr…
1260827142989873200,Thu May 14 06:59:50 +0000 2020,RT @gregolear: Excellent thread:
1260826601521942500,Thu May 14 06:57:41 +0000 2020,RT @PaulaChertok: @joshtpm This was Burr 2 years ago sounding the alarm on Russia’s ongoing political warfare/interference before 2018 elec…
1260826280817123300,Thu May 14 06:56:25 +0000 2020,RT @joshtpm: Hard to know what to make of the Burr news. He’s likely guilty of bad acts. Whether these are crimes is less certain. Cld be l…
1260825709166997500,Thu May 14 06:54:08 +0000 2020,RT @SpiroAgnewGhost: @TomJChicago https://t.co/KJp706rOT3
1260825630708347000,Thu May 14 06:53:50 +0000 2020,RT @TomJChicago: You can smell fear in Trumpworld. It’s not power,  it’s panic. -Trump deteriorating badly from dementia -He can’t describe…
1260825391977005000,Thu May 14 06:52:53 +0000 2020,RT @Mikel_Jollett: My thoughts on Obamagate are that 83,000 Americans are dead because of Trump’s mishandling of covid-19 and he’s trying t…
1260823944283611100,Thu May 14 06:47:07 +0000 2020,What Happens If the President Tests Positive for Coronavirus -  I can’t speak for anyone but myself I’d celebrate l… https://t.co/gpoEfhYkww
1260822685463883800,Thu May 14 06:42:07 +0000 2020,RT @vincentconway: Huh, mike Vick trending and white folks being petty . I wish they kept this same energy when their own killed innocent b…
1260822106754781200,Thu May 14 06:39:49 +0000 2020,@MysterySolvent Shit on a stick
1260816619296526300,Thu May 14 06:18:01 +0000 2020,RT @JCTheResistance: So, the @SenateGOP are back in session. Instead of worrying about the 85, 197 people who lost their lives, or the 35 m…
1260816435728674800,Thu May 14 06:17:17 +0000 2020,RT @DenbrotS: Are we seeing a precursor to Trumpist White Nationalist Terrorism? Armed Domestic Insurrection?  Armed militia-style proteste…
1260816219592028200,Thu May 14 06:16:26 +0000 2020,RT @MindfulMajority: #FlynnIsFree, unmasking, #Obamagate, China, Hunter Biden investigation, anti-social distancing protests.  The @GOP is…
1260816098070392800,Thu May 14 06:15:57 +0000 2020,RT @paz4u: Wisconsin Supreme Court conservative majority sided w Republican legislators on Wednesday 4-3 &amp; struck down #StayAtHome order ex…
1260815923084095500,Thu May 14 06:15:15 +0000 2020,RT @j2dumfounded: FFS there are no known cases at his (now former) prison.   #WheresManafort🏡.     🤬🤬 😡🤬🤬 https://t.co/Ha7O7wHPGD
1260815629012963300,Thu May 14 06:14:05 +0000 2020,@CosimoPiovascod @LincolnsBible Corporations  To scared to follow up One reporter Huff post  Wrote bout Dossier Ros… https://t.co/hVRPpfQI72
1260813168563024000,Thu May 14 06:04:18 +0000 2020,RT @AYATOMM_COM: @LincolnsBible https://t.co/GC0aMuBw74
1260812521105027000,Thu May 14 06:01:44 +0000 2020,@LincolnsBible Also, we know busted 2X’s allowing Ru mob Money launder at Casinos  2012 last time $10M fine $60M gi… https://t.co/mLJJyBFsjg
1260810445297823700,Thu May 14 05:53:29 +0000 2020,RT @LincolnsBible: (tonight is a very scary night for donnie 2 scoops.)
1260810429233655800,Thu May 14 05:53:25 +0000 2020,RT @LincolnsBible: I’d venture out again on the very strong limb &amp; say... Anyone in EDNY Justice from 1985-1994, who prosecuted Gambino &amp; G…
1260810340566098000,Thu May 14 05:53:04 +0000 2020,@Lincoln1710 @RandPaul FFS Flynn wrote book In book said only way save  Western Civilization join with  Russia and… https://t.co/XwODt6ihxw
1260809449242951700,Thu May 14 05:49:32 +0000 2020,RT @Lincoln1710: @RandPaul The Obama administration knew Michael Flynn was not working for America.  Obama warned Trump about Michael Flynn…
1260809381249081300,Thu May 14 05:49:15 +0000 2020,@clearing_fog IP3’s top ma,  big shot n LNG shipping and ports  Have 411 in my research of  Crooked Flynn Also Flyn… https://t.co/PmrOjw17Mb
1260808189865365500,Thu May 14 05:44:31 +0000 2020,RT @clearing_fog: “with officials in Russia and the Middle East—including Russian President Vladimir Putin and Saudi Deputy Crown Prince Mo…
1260808079190311000,Thu May 14 05:44:05 +0000 2020,RT @clearing_fog: Michael Flynn memory lane.  Remember what Elijah Cummings’ Oversight report told us:  “2015 to 2016: General Michael Flyn…
1260801434620031000,Thu May 14 05:17:41 +0000 2020,RT @BarackObama: Despite all the time that’s been lost, we can still make real progress against the virus, protect people from the economic…
1260801354261344300,Thu May 14 05:17:22 +0000 2020,RT @RobertMaguire_: Trump seems to think that children live at school and all their teachers are young and healthy
1260801297181098000,Thu May 14 05:17:08 +0000 2020,RT @atrupar: Over 1,700 Americans died from the coronavirus today. This "Obamagate" stuff is one of Trump's most desperate distraction camp…
1260801020239597600,Thu May 14 05:16:02 +0000 2020,RT @RepKatiePorter: A new whistleblower report shows that our tax dollars aren't being used to find cures or shore up the national stockpil…
1260800556957749200,Thu May 14 05:14:11 +0000 2020,RT @DenbrotS: @brucewilson @worldflood1 Compelling State Interest is a legal term used in Constitutional Law that has no meaning without Th…
1260799938981539800,Thu May 14 05:11:44 +0000 2020,RT @RobertCooper58: A former chemical industry executive nominated to be the nation’s top consumer safety watchdog was involved in sidelini…
1260767787829457000,Thu May 14 03:03:59 +0000 2020,GOP  No plan  Out of hand In Wisconsin the Republican supreme court ruled no regulations, no masks, open the bars-… https://t.co/O37VNybeql
1260760086256816000,Thu May 14 02:33:23 +0000 2020,Ever wonder how Greenwood District aka black Wall Street in Tulsa Oklahoma was reduced to rubble by 10,000 men many… https://t.co/MQetBBMCOM
1260758087155150800,Thu May 14 02:25:26 +0000 2020,@gapadroroh @PuestoLoco Be nice if picked each other one Alt Right after another
1260757950068486100,Thu May 14 02:24:53 +0000 2020,RT @gapadroroh: @worldflood1 @PuestoLoco They're going after him because of he chaired the Senate investigation into the 2016 campaign, the…
1260756976599879700,Thu May 14 02:21:01 +0000 2020,Exactly https://t.co/OQgqHtXzZj
1260756678007328800,Thu May 14 02:19:50 +0000 2020,RT @threadreaderapp: @worldflood1 Saluti, here is your unroll: @renato_mariotti: THREAD: What should we make of the news that Judge Sulliva…
1260756627646378000,Thu May 14 02:19:38 +0000 2020,RT @DenbrotS: @worldflood1 A pattern &amp;logic tell us that Fred Trump was also a member of The American Bund. (I can’t find documentation). T…
1260755969992056800,Thu May 14 02:17:01 +0000 2020,@PuestoLoco He’s out door in Nov—well, by Jan 20th. Still, a crime is a crime At least it use to be Before The gran… https://t.co/j1490k8t4I
1260755520161382400,Thu May 14 02:15:14 +0000 2020,RT @PuestoLoco: Senator Burr served a search warrant related to FBI investigation into his stock trades. https://t.co/VBqZHGLuaj
1260755452708532200,Thu May 14 02:14:58 +0000 2020,RT @mterr337: Folks this is happening. This is reality. This isn't happening undercover... it's happening in broad daylight right before ou…
1260755345896423400,Thu May 14 02:14:32 +0000 2020,RT @TeamPelosi: Under Trump's erratic mishandling of the #coronavirus crisis, there have been:  ▪️Over 83,000 deaths; ▪️33 million jobs los…
1260754868358115300,Thu May 14 02:12:38 +0000 2020,RT @DenbrotS: Thread America’s Trouble Just Worsened /1  We are in even deeper trouble, than yesterday. @GOP has totally committed to polit…
1260754746027110400,Thu May 14 02:12:09 +0000 2020,RT @DenbrotS: Wisconsin Supreme Court Rules That Public Health And Safety Is Not A Compelling State Interest.  Governor’s “Stay At Home” Or…
1260752338983116800,Thu May 14 02:02:35 +0000 2020,@B52Malmet 84T now and as Fauci said—undercount
1260752236054868000,Thu May 14 02:02:11 +0000 2020,RT @B52Malmet: Trump can ask the CDC to dial down its death count, but America has lost more than 83,000 people. Even one is too many. For…
1260752185052156000,Thu May 14 02:01:59 +0000 2020,@B52Malmet Don has only one plan—back to full on open—damn the Torpedoes it’s the economy stupid
1260752005405872000,Thu May 14 02:01:16 +0000 2020,RT @B52Malmet: We are well past containment. States have tried to mitigate but are battling each other for PPE. We aren’t over the first wa…
1260742266064265200,Thu May 14 01:22:34 +0000 2020,Shot 8 times killed by Police While guy trying serve warrant on already in custody  I’m so Fucking sick and tired… https://t.co/LJQmJXbJcx
1260734272777810000,Thu May 14 00:50:48 +0000 2020,Please unroll THREAD: What should we make of the news @threadreaderapp https://t.co/4h0ng14O4O
1260732925814825000,Thu May 14 00:45:27 +0000 2020,RT @PuestoLoco: @glennkirschner2 This, it seems to me, is Judge Sullivan's agenda. Make AG Barr, Trump Autocrat Regime &amp; DOJ disrobe all th…
1260732854067052500,Thu May 14 00:45:10 +0000 2020,RT @PuestoLoco: @glennkirschner2 Judge appoints a retired judge to do Trump Autocrat Regime AG Bill Barr’s job. Asks him to argue if Flynn…
1260732824539152400,Thu May 14 00:45:03 +0000 2020,RT @glennkirschner2: The country owes Judge Emmet Sullivan a debt of gratitude for refusing to allow Bill Barr’s abject perversion of the c…
1260731436253892600,Thu May 14 00:39:32 +0000 2020,@PuestoLoco @renato_mariotti @TheJusticeDept Should do it for sure Trumps using Barr  Set the bar that he Wasn’t ai… https://t.co/7Gy98vWjyC
1260730815337476000,Thu May 14 00:37:04 +0000 2020,RT @PuestoLoco: @renato_mariotti This, it seems to me, is Judge Sullivan's agenda. Make AG Barr, Trump Autocrat Regime &amp; DOJ disrobe all th…
1260729401110478800,Thu May 14 00:31:27 +0000 2020,RT @BorisDirnbach: @worldflood1 https://t.co/Lj9xs2cFpy @realDonaldTrump
