id,created_at,text
1250581356880388000,Thu Apr 16 00:26:44 +0000 2020,RT @MommaR11: Its OFFICIAL 🏀🙏🏽 Proud momma❤️ https://t.co/610bWkS8j9
1247370015038271500,Tue Apr 07 03:46:01 +0000 2020,Congrats baby boy! It’s your time      ❤️♾ @RathanMayes https://t.co/FjUrcWJnWN
1246116518594674700,Fri Apr 03 16:45:04 +0000 2020,Drake a genius
1245491520033050600,Wed Apr 01 23:21:33 +0000 2020,RT @Hoopmixtape: 2 plays of @xrm_22 showing out at Huntington HS. https://t.co/o2VM7FtX4Y
1245422521505071000,Wed Apr 01 18:47:22 +0000 2020,RT @danajacobson: On a day where I would have been getting ready to head to The Final Four, instead of sadness..a little 😃as I’m reminded o…
1243008705521582000,Thu Mar 26 02:55:44 +0000 2020,You’re an idiot bro, he’s 2 passes away.. His responsibility isn’t to be hugged up to Kyle it’s to be in help.. If… https://t.co/WLYs0Lfljz
1242949694474424300,Wed Mar 25 23:01:14 +0000 2020,Y’all ppl that put shit up like this are so damn stupid. If you know nothing about rotations and defense just pleas… https://t.co/ekNi17OXpX
1242487119014006800,Tue Mar 24 16:23:08 +0000 2020,Heardjuuuu🤣🤣🤣 https://t.co/Mbj4uGI20t
1241844555697098800,Sun Mar 22 21:49:49 +0000 2020,RT @Scottcrates: Literally ever person in the United States needs to watch this.  PLEASE RETWEET   https://t.co/3IglZtOVgL
1241571564409081900,Sun Mar 22 03:45:02 +0000 2020,We real deal bout to be on Quarantine for a LONG time cuz ppl don’t listen. Y’all still outside smh
1241219612185735200,Sat Mar 21 04:26:30 +0000 2020,Missinnnn hoop💔
1239940876211634200,Tue Mar 17 15:45:16 +0000 2020,No sports Day 7! Practice social distancing they said... 🤣🤣🤣🤣🤣 https://t.co/MMkSBVscc2
1239587564631117800,Mon Mar 16 16:21:20 +0000 2020,So @Walmart y’all selling cases of water for 42 dollars now??? Y’all have lost ya MF minds.
1239459871726002200,Mon Mar 16 07:53:56 +0000 2020,I’ll never understand 🤣🤣🤣🤣 https://t.co/Yl5PTkI6WC
1239005243288871000,Sun Mar 15 01:47:24 +0000 2020,RT @ForzaJuveEN: Cristiano Ronaldo will transform his hotels in Portugal into hospitals to help in the fight against Coronavirus - He has c…
1238341487911288800,Fri Mar 13 05:49:52 +0000 2020,RT @ILoveMyCulture: Listen what this doctor said about coronavirus: https://t.co/e9Mv1a5AFo
1238195427159105500,Thu Mar 12 20:09:29 +0000 2020,RT @DwyaneWade: This is what Leadership looks like. Katie Porter!
1233848043503419400,Sat Feb 29 20:14:32 +0000 2020,RT @RexChapman: Before getting off the bus, this little girl told the bus driver that “Shake It Off” was her favorite song. He stopped ever…
1232419299333038000,Tue Feb 25 21:37:12 +0000 2020,RT @TheDailyNole: It didn’t end in a win, but on this day five years ago, #FSU guard Xavier Rathan-Mayes had a spurt for the ages, scoring…
1232352869614964700,Tue Feb 25 17:13:14 +0000 2020,Thank you lord for another day
1232153136946536400,Tue Feb 25 03:59:34 +0000 2020,@LouisvilleMBB Have a safe flight home 🤣🤣👋🏾👋🏾
1232150962778689500,Tue Feb 25 03:50:56 +0000 2020,@LouisvilleMBB Have a safe flight home y’all 🤣🤣👋🏽👋🏽
1232084356627189800,Mon Feb 24 23:26:16 +0000 2020,RT @TheHoopCentral: This has got to be the best Kobe tribute video I have ever seen  Must watch❤️🙏 https://t.co/JQn79IuGbQ
1230978116467609600,Fri Feb 21 22:10:28 +0000 2020,Top 5 bucket getter I’ve EVER seen. Nothing you can do to guard him. https://t.co/rhd3ZVpE9O
1230031023221567500,Wed Feb 19 07:27:03 +0000 2020,Mannnnn❤️❤️❤️ https://t.co/HdiLL4Rsxy
1229294465774280700,Mon Feb 17 06:40:14 +0000 2020,RT @MattReynolds___: 157 - 155 = 2 1 + 5 + 7 + 1 + 5 + 5 = 24  😳😳😳😳😳😳😳
1229257840574881800,Mon Feb 17 04:14:42 +0000 2020,All Star Game is LITTTT
1229218433167790000,Mon Feb 17 01:38:06 +0000 2020,Wait hold on 🤣🤣🤣🤣 Ain’t no way She wildin 🤣🤣
1226551813286969300,Sun Feb 09 17:01:55 +0000 2020,Come suit up with us.. We’ll show you a bad basketball player. You a clown https://t.co/jkRsmB7xRw
1226262332902428700,Sat Feb 08 21:51:37 +0000 2020,RT @CEBLeague: 37 points in 32 minutes.  Xavier Rathan-Mayes put his mark on the league in his @HM_HoneyBadgers debut against the @ED_Sting…
1226224410475950000,Sat Feb 08 19:20:56 +0000 2020,Have a safe flight home @CanesHoops 🤣🤣👋🏾👋🏾
1226024292325806000,Sat Feb 08 06:05:44 +0000 2020,I can’t believe the refs blew that game ... That’s sick
1225817293738979300,Fri Feb 07 16:23:12 +0000 2020,RT @ACClippers: ICYMI: @xrm_22, led the AC Clippers with 23 points last night against the Texas Legends. 🙌  🎥: https://t.co/bGFUdx7xUP #WeA…
1225635939126399000,Fri Feb 07 04:22:33 +0000 2020,RT @nbagleague: doin' it all | @xrm_22   23 PTS | 5 AST | 5 REB | 2 STL  @FSUHoops ↗️ @ACClippers https://t.co/MLRuWPBGu8
1224782188350066700,Tue Feb 04 19:50:03 +0000 2020,RT @nbagleague: triple-double secured ✅ @xrm_22   13 PTS | 12 AST | 11 REB | 3 👌  @FSUHoops ↗️ @ACClippers https://t.co/rU1sGUjBWc
1224524964205908000,Tue Feb 04 02:47:56 +0000 2020,Should have bet you a G all 1s🤣🤣🤣 https://t.co/dcZ4yab0Kf
1224515115778822100,Tue Feb 04 02:08:48 +0000 2020,Aye man y’all have a safe trip home to NC🤣🤣🤣  Y’all boys suck https://t.co/UAUTjBCeaQ
1224498480590344200,Tue Feb 04 01:02:42 +0000 2020,This @BaconDwayne1000 Special my brother ❤️❤️❤️🤞🏾🤞🏾🤞🏾 https://t.co/fiJchDGZ3S
1224428096746655700,Mon Feb 03 20:23:01 +0000 2020,Hereeee you gooooo🤣🤣🤣🤣 https://t.co/UAUTjBCeaQ
1224427767007236000,Mon Feb 03 20:21:43 +0000 2020,Mannnn y’all suckkkk! You think y’all bout to come to Tally and beat us???? https://t.co/82nhpfTxWs
1224140747718393900,Mon Feb 03 01:21:12 +0000 2020,Oh my J-Lo 🤦🏽‍♂️😍
1224039279619453000,Sun Feb 02 18:38:00 +0000 2020,@UncleOB_ Ayeeeeeee maybe someone should hire you since you know how to stop Dame 🤣🤣🤣🤣🤣🤣
1223847231469637600,Sun Feb 02 05:54:52 +0000 2020,Dame the MVP I don’t wanna hear it
1223479061667819500,Sat Feb 01 05:31:54 +0000 2020,Yeah we know coach O.. 🤣🤣 FOH https://t.co/2Ifx7eDEqP
1223477199942176800,Sat Feb 01 05:24:30 +0000 2020,Mannnn you go try 🤣🤣🤣 Stop with tweets like these 🤣 https://t.co/ycIte1p5cJ
1223473332298944500,Sat Feb 01 05:09:08 +0000 2020,RT @balldontstop: “He was given a load of God-given talent, but he paid back God everyday with his preparation”   - Matt Barnes with one of…
1222677813129597000,Thu Jan 30 00:28:01 +0000 2020,RT @TomerAzarly: Lou Williams recalls story were Kobe took Kobe’s from Lakers players and tossed them - “He came into the locker room, he s…
1221965913739522000,Tue Jan 28 01:19:11 +0000 2020,RT @HoopMixOnly: To all my hoopers!!! No more playing 21... for now on we play 24‼️‼️ RULES: 1’s and 2’s up to 24. If u miss the game winni…
1221942142668402700,Mon Jan 27 23:44:44 +0000 2020,RT @JWepp: Let’s keep this spreading https://t.co/BO1ZWIEhmH
1221897851225006000,Mon Jan 27 20:48:44 +0000 2020,Wearing TwoFour for you tomorrow Kob @kobebryant https://t.co/T8hS4u7rCs
1221829833216290800,Mon Jan 27 16:18:27 +0000 2020,RT @KyleNYY: This tribute on @NBATV was bone chilling... https://t.co/w5DJVAy0eZ
1221653597747679200,Mon Jan 27 04:38:09 +0000 2020,Rest in paradise 8/24 ❤️
1221618395872759800,Mon Jan 27 02:18:16 +0000 2020,RT @TheMavsQueen: This is the one.  https://t.co/mLdCWaJCvG
1221616677063774200,Mon Jan 27 02:11:27 +0000 2020,RT @ComplexSports: #MambaMentalityForever   https://t.co/wlEotqEWwD
1221556369737732000,Sun Jan 26 22:11:48 +0000 2020,RT @DinkinFlicka_FC: In case anyone needs to hear this today. You’ll be missed Kobe.    https://t.co/BlCDnftCMg
1221555064520593400,Sun Jan 26 22:06:37 +0000 2020,RT @JimmyRandazzo: Kobe talking about Gianna literally just broke my heart https://t.co/bID5k7Gvn6
1221519467122835500,Sun Jan 26 19:45:10 +0000 2020,No way .. fuck that, no way
1221284862939652000,Sun Jan 26 04:12:56 +0000 2020,RT @nbagleague: 4 of the top performances from Saturday's #NBAGLeague action 👏  @Calebmartin14 | @simon_Says_so | Stephan Hicks | @xrm_22 h…
1217102577181036500,Tue Jan 14 15:14:01 +0000 2020,Dope af! Love it https://t.co/8hc6pkCgUQ
1216844643930906600,Mon Jan 13 22:09:05 +0000 2020,RT @NipseyFanpage: Nipsey said, “You better fix your hair, that shit look weak and your teeth fucked up bro, you gotta get your shit togeth…
1214573416709099500,Tue Jan 07 15:44:02 +0000 2020,RT @marchmadness: 🚨 NEW AP POLL 🚨  1. Gonzaga 2. Duke 3. Kansas 4. Baylor 5. Auburn 6. Butler 7. San Diego State 8. Michigan State 9. Orego…
1213294510937190400,Sat Jan 04 03:02:07 +0000 2020,RT @francismmaxwell: A church catches fire and the entire world stops, news is everywhere and billions are raised overnight. But when our p…
1212212840330940400,Wed Jan 01 03:23:57 +0000 2020,RT @saquon: 2020 gonna be just like 2019 if you got the same work ethic... SIMPLE
1212035636502376400,Tue Dec 31 15:39:48 +0000 2019,RT @NBACanada: Xavier Rathan-Mayes 🇨🇦 dropped a team-high 25 PTS and knocked down 5 3PT in the @ACClippers road win!  #ChangeTheGame | @nba…
