id,created_at,text
1259607024175730700,Sun May 10 22:11:31 +0000 2020,RT @larrybrilliant: 40 years ago, all the nations of the world gathered to declare the first disease in history eradicated—smallpox. Today…
1259606777970086000,Sun May 10 22:10:32 +0000 2020,RT @happiestbaby: To all moms, thank you, thank you, thank you!🌷 SNOO is on sale for Mother's Day! Sale ends tomorrow - tap the link in our…
1259236726481928200,Sat May 09 21:40:05 +0000 2020,RT @mattwridley: A fascinating example of dystopian, pessimistic fiction displacing the hopeful, optimistic truth.  Turns out that Lord of…
1259236005703348200,Sat May 09 21:37:13 +0000 2020,🙏🏼🙏🏼🙏🏼 and your are children’s champions @verbienMX !! https://t.co/NB6cUuoZEZ
1259235590417141800,Sat May 09 21:35:34 +0000 2020,Just another year around the 🌞, or the 🌚?...I am so grateful for spending this life filled with my little humans, f… https://t.co/SOygygaeZt
1258881069413089300,Fri May 08 22:06:50 +0000 2020,https://t.co/SIFDgmsByf
1258881052115734500,Fri May 08 22:06:46 +0000 2020,💥 Forme personal strength studio for body and mind is officially in Pre-order https://t.co/jxkd2YaIVx ! It’s so exc… https://t.co/ItD4UnoR97
1258845189524856800,Fri May 08 19:44:16 +0000 2020,Here it is 💥: Forme is officially in Pre-order (link in my Bio). It’s so exciting to see what was just an idea 3+ y… https://t.co/HwVqCTXVdl
1258789322485985300,Fri May 08 16:02:16 +0000 2020,RT @atlasBLK: @yvesbehar thats the cutest thing😍 ever
1258126578380243000,Wed May 06 20:08:45 +0000 2020,RT @iamsandilya: @yvesbehar With no salons around, I will be that sheep when I get back to work.
1258108673815011300,Wed May 06 18:57:37 +0000 2020,I can’t think of a better design story 🤗 🐑 https://t.co/0M0SAyz4Gj
1258108031960670200,Wed May 06 18:55:03 +0000 2020,RT @scottbelsky: Meta advice here: “You don't have to turn hard to survive the wolves, just be really, really soft and fluffy.”
1258082016483917800,Wed May 06 17:11:41 +0000 2020,RT @tasarimbienali: As part of '74PODCAST's "How Can We All Make It Into The Future?" series, Istanbul Design Biennial Director Deniz Ova t…
1257884520100982800,Wed May 06 04:06:54 +0000 2020,RT @gtconway3d: I guess we know what keeps the president of the United States up at night. It isn’t the Americans who are dying once every…
1257376923682058200,Mon May 04 18:29:54 +0000 2020,RT @EmbodiedInc: The @wallpapermag calls Moxie "a sophisticated companion for the curious child."  Read about our collaboration with @yvesb…
1257363194449969200,Mon May 04 17:35:20 +0000 2020,So it’s Monday, and health workers are back at work, they likely worked though the weekend...days and nights for th… https://t.co/Pdp6Sb2SUG
1257335478388392000,Mon May 04 15:45:12 +0000 2020,RT @km: via @TheEconomist https://t.co/kazAoCsXDG
1257016554153111600,Sun May 03 18:37:55 +0000 2020,RT @DesignMuseum: Will you be tuning in for this Saturday's #DesignDispatches discussion?  | Catch the latest conversation with acclaimed d…
1256736542078337000,Sun May 03 00:05:15 +0000 2020,RT @happiestbaby: “I rented [SNOO] to see what the fuss was about because we had a lot of clients who were using them. I wanted to get my h…
1256666708040794000,Sat May 02 19:27:45 +0000 2020,Great to be with the @DesignMuseum on the museum's Instagram TV today at 14.00 GMT+1 &gt; https://t.co/FKnIvrIWPp #DesignFromHome
1256389422553067500,Sat May 02 01:05:55 +0000 2020,RT @wonderofscience: Schools of Striped Eel Catfish take turns watching for predators while feeding on the ocean floor.  Credit: Abyss Dive…
1256278644252536800,Fri May 01 17:45:43 +0000 2020,Tomorrow I will join Tim Marlow, Chief Executive and Director of London's @DesignMuseum ! We’ll be in conversation… https://t.co/FVqMUEgtk2
1256278109168398300,Fri May 01 17:43:36 +0000 2020,RT @CamronPR: Tomorrow @yvesbehar will join Chief Executive and Director of London's @DesignMuseum Tim Marlow, in conversation as part of t…
1255933345009033200,Thu Apr 30 18:53:38 +0000 2020,No bottom for #tRump Trump seizes on pandemic to speed up opening of public lands to industry - The Guardian https://t.co/E7uWExGo6T
1255928082189279200,Thu Apr 30 18:32:43 +0000 2020,Thank you @DesignMuseum , a great chat! https://t.co/hv7kmNgCwO
1255545563052826600,Wed Apr 29 17:12:43 +0000 2020,RT @AzureMagazine: The eclectic @yvesbehar &amp; @fuseproject turn to robotics: https://t.co/lk5RmbHVVL
1255391410041376800,Wed Apr 29 07:00:10 +0000 2020,RT @dorskuler: During these times of #COVID19, we are especially concerned about the older adults who are combating loneliness and insolati…
1255386058004586500,Wed Apr 29 06:38:54 +0000 2020,“Over the long term, the future is decided by optimists. To be an optimist you don’t have to ignore all the many pr… https://t.co/pdFpZMaauq
1255257043419779000,Tue Apr 28 22:06:15 +0000 2020,Moxie is here 👋 ! https://t.co/zeWJWb0jIi
1255251831854370800,Tue Apr 28 21:45:32 +0000 2020,After years of development with the amazing team at embodiedinc , here is #Moxie ! Moxie is a socially assistive ro… https://t.co/ytvOuU6gRF
1255207145441648600,Tue Apr 28 18:47:58 +0000 2020,RT @EamesOffice: "Art resides in the quality of doing; process is not magic."  - Charles #Eames  https://t.co/seaqza7xdo https://t.co/bcYJd…
1254652040485245000,Mon Apr 27 06:02:11 +0000 2020,Happy 6 bday to my creative powerhouse Soleyl 🌞!!  No one can forget that infectious laugh 😆, constant smile 😃, and… https://t.co/U5brlx3bWR
1253710418943438800,Fri Apr 24 15:40:31 +0000 2020,RT @slowdownmedia: “At the end of the day, it’s all about how fast we can adapt. That’s a sign of intelligence, whether you have a company,…
1253710067246829600,Fri Apr 24 15:39:07 +0000 2020,RT @business: Lysol and Dettol maker Reckitt Benckiser says that “under no circumstance” should its disinfectant products be administered i…
1253505194307932200,Fri Apr 24 02:05:01 +0000 2020,100% truth https://t.co/ARQN8bSSwh
1253504356856418300,Fri Apr 24 02:01:42 +0000 2020,RT @Bakari_Sellers: Y’all worried about Bidens brain and Trump told y’all to pop a Tide Pod and call him in the morning.
1253423273741705200,Thu Apr 23 20:39:30 +0000 2020,RT @madebyroom: 🎙The #WorkspaceOfTomorrow podcast is back, ft designer/entrepreneur @yvesbehar discussing COVID life, collaboration in isol…
1253422955763138600,Thu Apr 23 20:38:14 +0000 2020,RT @slowdownmedia: “If you go to Burning Man, the after–Burning Man time, you call the ‘default world.’ ...I'm re-evaluating how I'll do th…
1253402195497595000,Thu Apr 23 19:15:45 +0000 2020,Great discussion with @Spencer_Bailey and the @slowdownmedia !! https://t.co/rzwHq5ogtx
1253189826012053500,Thu Apr 23 05:11:52 +0000 2020,RT @wonderofscience: A beautiful aurora beneath the stars seen from space.  Credit: NASA Johnson / Riccardo Rossi (ISAA) https://t.co/YydEP…
1253188897787359200,Thu Apr 23 05:08:11 +0000 2020,RT @JoeBiden: Our planet cannot afford four more years of Donald Trump.
1253056921436745700,Wed Apr 22 20:23:45 +0000 2020,'We hope to be a model': the California town testing every resident for coronavirus | US news | The Guardian  https://t.co/krrheSugKQ
1253015561178615800,Wed Apr 22 17:39:24 +0000 2020,Today on the 50 years of #earthday I am supporting the “Patch The Planet” campaign to regenerate California’s endan… https://t.co/vN4r2oYM2D
1253011527453438000,Wed Apr 22 17:23:22 +0000 2020,RT @wonderofscience: Rare sighting of a majestic white moose in Sweden.  Credit: Hans Nilsson / Storyful https://t.co/506nMkBx6K
1252772645340237800,Wed Apr 22 01:34:08 +0000 2020,RT @DrEricDing: New epidemiology estimates that 90% of US death could have been prevented by just acting 2 weeks earlier. The estimated num…
1252047506747412500,Mon Apr 20 01:32:42 +0000 2020,Stay close to the ones you love...a beautiful bike ride with my daughter and a break on a sculpted bench. ❤️… https://t.co/9AGc5YuY0K
1252026404306161700,Mon Apr 20 00:08:50 +0000 2020,RT @LaurenGoode: 1/ I was curious about the environmental protections that have been rolled back in the US since Covid-19 has occupied much…
1251981398421852200,Sun Apr 19 21:10:00 +0000 2020,RT @michaelbierut: Remarkable photo by @tomerappelbaum: Thousands of Israelis maintain social distancing while protesting Netanyahu in Tel…
1251257460683190300,Fri Apr 17 21:13:20 +0000 2020,Happy designer 🙏🏼 https://t.co/Xr0oj2E582
1251254103864275000,Fri Apr 17 21:00:00 +0000 2020,Grazie ⁦@ElleDecorItaly !⁩ cc ⁦@THISISFORMELIFE⁩  https://t.co/rprVZP2fCu
1251173800319742000,Fri Apr 17 15:40:54 +0000 2020,@NewStoryCharity continues to innovate at the service of homeless families 🙏🏼🙏🏼 https://t.co/VDMeddQSFA
1251166648578347000,Fri Apr 17 15:12:29 +0000 2020,RT @wonderofscience: Jaguar eating underwater. https://t.co/nsyHf6dLz2
1251166544798773200,Fri Apr 17 15:12:04 +0000 2020,RT @DLDConference: From now through June, @dezeen is bringing together renowned #artists, #designers, #architects for the first online #des…
1250881636578680800,Thu Apr 16 20:19:57 +0000 2020,That’s amazing to hear @DonWolfi007 ! 🙏🏼🙏🏼🙏🏼 https://t.co/uIkw4VmwuK
1250878197236809700,Thu Apr 16 20:06:17 +0000 2020,Merci @iCaleb7 !! https://t.co/kI9tBOKsIx
1250862174404137000,Thu Apr 16 19:02:36 +0000 2020,RT @chamath: 14.5% unemployment in the United States of America right now.   Less than $0.03 of every stimulus dollar has gone to US Worker…
1250852397687074800,Thu Apr 16 18:23:45 +0000 2020,👋😉 https://t.co/PqfAJ4kf1x
1250818749873053700,Thu Apr 16 16:10:03 +0000 2020,True republicans: “The stakes are too high to do anything less.” We’ve never backed a Democrat for president. But T… https://t.co/jstJ5VNMYW
1250812922441285600,Thu Apr 16 15:46:54 +0000 2020,RT @schneik80: @carlbass @markdytham @yvesbehar @cameronsinclair That was great 👍
1250622073757593600,Thu Apr 16 03:08:32 +0000 2020,Thank you! And credit goes to @PechaKucha and @dezeen for organizing! https://t.co/ywX74cEsV9
1250578870668947500,Thu Apr 16 00:16:52 +0000 2020,Yea it will be on the @PechaKucha site after the presentation https://t.co/nGf1VNy5Ru
1250483904240222200,Wed Apr 15 17:59:30 +0000 2020,RT @Bill_Gross: And now that new solar is finally cheaper than any fossil-fuel produced electricity or heat we need to scale it as fast as…
1250483634512949200,Wed Apr 15 17:58:25 +0000 2020,RT @casinclair: #VirtualDesignFestival tonight: I’ll be presenting @JupeInc and our #covid19 response at @PechaKucha with many global desig…
